,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,skewnessValue,coefficientOfVariation,averageAnnualMonthsSampled,inductionRatio,RainZone,changeRPD,percentOriginal
0,n=5,0.1,0.24959999024868013,0.07485009243618751,26.80508360834974,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,0.0,11.363636363636363
1,n=5,0.25,0.30000001192092896,0.09506927562076169,22.11365835881133,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,0.0,11.363636363636363
2,n=5,0.5,0.3700000047683716,0.1399234339861325,22.601470280442506,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,0.0,11.363636363636363
3,n=5,0.75,0.4699999988079071,0.19127254044245356,32.98166319672139,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,0.0,11.363636363636363
4,n=5,0.9,0.7187999844551086,0.25342150622152226,28.49140186823097,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,0.0,11.363636363636363
5,n=10,0.1,0.21799999922513963,0.044064732813995304,16.859894478118484,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,9.945189130231256,22.727272727272727
6,n=10,0.25,0.28000000864267355,0.04684446717982197,13.382856950845914,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,8.730801407965414,22.727272727272727
7,n=10,0.5,0.3739999979734421,0.07845308794066715,14.146566733133708,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,8.454903547308797,22.727272727272727
8,n=10,0.75,0.6024999916553497,0.14712893691792786,23.257391982208805,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,9.724271214512587,22.727272727272727
9,n=10,0.9,0.7851999878883361,0.1604323416190949,16.69458497756296,-1242007014_CO,Inflow,Phosphorus,44,0,0,heavy_right_skew,IGAMMA,2.012474363490273,0.6388515878013894,4,13.292308524656613,9,11.796816890668008,22.727272727272727
