,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,10.600000000000001,4.4319641302817665,38.45107431626821,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,0.0,29.411764705882355
1,n=5,0.25,13.0,5.552242681799417,28.945583883952292,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,0.0,29.411764705882355
2,n=5,0.5,22.0,6.075045378654001,19.481420085419256,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,0.0,29.411764705882355
3,n=5,0.75,26.0,24.483295110727198,25.337325787147037,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,0.0,29.411764705882355
4,n=5,0.9,74.80000000000001,138.9169596396028,83.71634000967694,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,0.0,29.411764705882355
5,n=10,0.1,8.7,2.7885250121680762,27.833797602589318,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,10.617276713678894,58.82352941176471
6,n=10,0.25,13.75,3.01254474683836,15.519755230001891,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,13.4258286539504,58.82352941176471
7,n=10,0.5,21.5,2.7617491770676903,10.39159930090566,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,9.089820784513595,58.82352941176471
8,n=10,0.75,26.75,6.024257307104699,10.524176591808093,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,14.813149195338944,58.82352941176471
9,n=10,0.9,77.39999999999982,47.7758961282959,51.56790905405308,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,32.14843095562386,58.82352941176471
10,n=15,0.1,7.2,1.2722220473941457,11.903326923996664,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,15.930470678592654,88.23529411764706
11,n=15,0.25,12.5,0.9672471939832843,4.2394790220988545,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,11.280276207903036,88.23529411764706
12,n=15,0.5,22.0,1.1454606760254336,3.946666666666656,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,6.444932634239004,88.23529411764706
13,n=15,0.75,26.5,0.4457537355822963,1.5028238909741303,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,9.021352700833962,88.23529411764706
14,n=15,0.9,84.79999999999998,19.9019000553119,26.39281334405343,-1242007014_CO,Outflow,TSS,17,0,0,heavy_right_skew,IGAMMA,25.175095709999653,88.23529411764706
