,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,9.960000228881837,14.896460219556394,70.33068440076492,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,0.0,5.376344086021505
1,n=5,0.25,13.0,24.984198336624964,62.869888526110685,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,0.0,5.376344086021505
2,n=5,0.5,31.20000076293945,43.58452679571104,67.14122201174274,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,0.0,5.376344086021505
3,n=5,0.75,87.0,67.91927724805542,63.051914500569914,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,0.0,5.376344086021505
4,n=5,0.9,137.60000000000002,93.38619293192524,53.11563144105062,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,0.0,5.376344086021505
5,n=10,0.1,7.6,5.41158414476488,52.27679747197976,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,18.05388692878516,10.75268817204301
6,n=10,0.25,12.212499856948853,11.040089342038105,44.58924553825615,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,18.280642987854534,10.75268817204301
7,n=10,0.5,37.15000057220459,30.80790686706119,53.50358485991107,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,13.637637151831669,10.75268817204301
8,n=10,0.75,109.875,53.29207593803308,41.49382280616727,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,21.55809169440264,10.75268817204301
9,n=10,0.9,175.7,78.88481447102383,35.413082233601436,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,17.70254920744918,10.75268817204301
10,n=15,0.1,6.659999990463257,3.3573829135751048,42.831262839686445,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,9.445534632293317,16.129032258064516
11,n=15,0.25,11.0,7.885293905918699,34.43393836038852,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,10.155307177867634,16.129032258064516
12,n=15,0.5,32.0,24.91897332862472,44.138741843092454,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,9.364843016818618,16.129032258064516
13,n=15,0.75,108.5,37.86712903913886,31.252831585897678,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,10.240991220269596,16.129032258064516
14,n=15,0.9,169.99999999999997,52.14196661938951,26.27311987700956,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,9.139962356591877,16.129032258064516
15,n=20,0.1,6.47499988079071,2.8483033898867665,39.52992669695558,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,3.301336142730868,21.50537634408602
16,n=20,0.25,11.5,5.2585465000800875,28.709854283689246,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,5.72408407669927,21.50537634408602
17,n=20,0.5,32.94999980926514,18.47518707712837,33.9892977201731,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,10.149444122919355,21.50537634408602
18,n=20,0.75,111.5,32.31773273286056,25.461608946025628,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,5.79122263987205,21.50537634408602
19,n=20,0.9,179.00000000000017,47.46035158918299,21.6952063380486,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,4.57791353896096,21.50537634408602
20,n=25,0.1,6.2399999618530275,2.2431660118553944,34.01095007057251,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,5.518976626383065,26.881720430107524
21,n=25,0.25,10.0,4.4237031779522376,23.232845341158242,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,5.477008942531004,26.881720430107524
22,n=25,0.5,32.0,16.665307049787323,31.158558430261284,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,2.830739289911815,26.881720430107524
23,n=25,0.75,112.0,29.341803466084286,22.80677513776779,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,2.6548338082578375,26.881720430107524
24,n=25,0.9,183.10000000000008,39.898681107033696,17.930654838023,-1290174122_FL,Inflow,TSS,93,0,0,heavy_right_skew,GIG,3.7645515000256005,26.881720430107524
