,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,3.2,1.8539696685312335,38.65329467092175,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.0,5.617977528089887
1,n=5,0.25,4.0,2.6202064464459314,43.46375676282584,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.0,5.617977528089887
2,n=5,0.5,7.0999999046325675,3.5967446556308835,35.78871768782449,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.0,5.617977528089887
3,n=5,0.75,10.5,5.6619474079000875,34.7678620106504,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.0,5.617977528089887
4,n=5,0.9,14.600000000000001,8.699287195173175,41.88218943446312,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.0,5.617977528089887
5,n=10,0.1,2.9,0.8825611806711007,20.795632920636283,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,17.85766175028547,11.235955056179774
6,n=10,0.25,3.674999952316284,1.452710735819123,29.908762439028763,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,13.554994323797075,11.235955056179774
7,n=10,0.5,7.024999976158142,2.1703531060234678,24.13807747280821,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,11.650640215016278,11.235955056179774
8,n=10,0.75,11.062500119209291,3.61468963263763,25.258754556012946,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,9.509107454637451,11.235955056179774
9,n=10,0.9,16.79500017166138,6.707833516011916,28.517770984656863,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,13.364418449806259,11.235955056179774
10,n=15,0.1,3.0,0.6767367117357614,20.021531506760464,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.7741014138758189,16.853932584269664
11,n=15,0.25,3.5,1.1297676537434342,23.850758674656422,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,6.058003764372341,16.853932584269664
12,n=15,0.5,7.0,1.8450512712412919,21.191274862796316,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,2.9468026100118934,16.853932584269664
13,n=15,0.75,11.224999904632568,2.9637730770759894,20.382287150792266,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,4.87646740522068,16.853932584269664
14,n=15,0.9,16.660000610351563,5.797190202838101,24.108381256335708,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,4.409389728321155,16.853932584269664
15,n=20,0.1,2.9000000000000004,0.5633722173441281,16.486443920315473,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,3.535087586444991,22.47191011235955
16,n=20,0.25,3.75,0.8990917528849783,20.121818157274674,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,3.728940517381748,22.47191011235955
17,n=20,0.5,7.049999952316284,1.5367489647696329,17.927732035955035,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,3.263542826841281,22.47191011235955
18,n=20,0.75,11.149999856948856,2.545197158302722,17.227493598051606,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,3.15479355274066,22.47191011235955
19,n=20,0.9,16.930000686645506,4.400750298346717,19.519834482061267,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,4.588546774274441,22.47191011235955
20,n=25,0.1,3.0,0.4635622287026409,16.051109349320846,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,0.4353345709946268,28.08988764044944
21,n=25,0.25,3.0,0.8361159117082635,18.566846867401622,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,1.5549712898730519,28.08988764044944
22,n=25,0.5,7.0999999046325675,1.3080665452262752,13.93424947397425,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,3.9934825619807857,28.08988764044944
23,n=25,0.75,11.5,2.3350983410108563,15.533473914648802,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,1.6940196834028036,28.08988764044944
24,n=25,0.9,17.779999923706058,3.8806038417072766,16.936949075472764,-1290174122_FL,Outflow,TSS,89,0,0,heavy_right_skew,exGAUS,2.5828854065885025,28.08988764044944
