,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,1.25,0.8164352109135321,18.6892088925066,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.0,19.230769230769234
1,n=5,0.25,1.25,1.565854440549993,22.41815725530671,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.0,19.230769230769234
2,n=5,0.5,2.505000114440918,2.849529212026224,67.82977603138326,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.0,19.230769230769234
3,n=5,0.75,7.006199836730957,7.103813087170759,50.210774129067936,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.0,19.230769230769234
4,n=5,0.9,11.935999679565429,12.682511503171243,62.04283140063382,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.0,19.230769230769234
5,n=10,0.1,1.2375,0.1292969400868689,3.0354438809324384,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,15.65376501157416,38.46153846153847
6,n=10,0.25,1.25,0.5209902050892391,7.760764566659244,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,14.657392688647466,38.46153846153847
7,n=10,0.5,3.2051236629486084,1.850192178303248,47.79540000356254,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,20.03437602782072,38.46153846153847
8,n=10,0.75,8.082499861717224,2.8032620774114223,27.666593819122347,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,22.544180309945588,38.46153846153847
9,n=10,0.9,13.514099597930905,9.428459604687932,39.94297419685418,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,22.099857203779642,38.46153846153847
10,n=15,0.1,1.25,0.03507831918655613,1.9917525773195819,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,1.0436913036128566,57.692307692307686
11,n=15,0.25,1.25,0.14802120842680716,0.9932876357372176,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,6.767476930922026,57.692307692307686
12,n=15,0.5,2.505000114440918,1.7244109677349193,52.47794677880039,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,4.682546775237846,57.692307692307686
13,n=15,0.75,7.900212049484253,1.7440295613286991,17.772776003807202,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,9.893817815315145,57.692307692307686
14,n=15,0.9,16.487999725341794,7.7229132680136425,34.85116272263003,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,5.091811474224151,57.692307692307686
15,n=20,0.1,1.2375,0.006194644642309086,0.5728643216080371,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,1.4188882557115448,76.92307692307693
16,n=20,0.25,1.25,0.0,0.0,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.9932876357372176,76.92307692307693
17,n=20,0.5,3.2051236629486084,1.228048840786678,33.555637269223304,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,18.922309509577083,76.92307692307693
18,n=20,0.75,7.504649877548218,1.113458015117352,12.837460793924969,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,4.9353152098822335,76.92307692307693
19,n=20,0.9,15.05399999618534,4.19288277894281,24.279219436528823,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,10.571943286101206,76.92307692307693
20,n=25,0.1,1.25,0.0,0.0,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.5728643216080371,96.15384615384616
21,n=25,0.25,1.25,0.0,0.0,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,0.0,96.15384615384616
22,n=25,0.5,3.2051236629486084,0.7008247239948985,22.107604711425047,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,11.448032557798257,96.15384615384616
23,n=25,0.75,8.739999771118164,0.7740647725479993,8.345647855161111,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,4.491812938763857,96.15384615384616
24,n=25,0.9,16.487999725341805,1.5154709620209021,6.941383452218207,-986553804_PA,Outflow,Copper,26,11,11,heavy_right_skew,BCPEo,17.337835984310615,96.15384615384616
