,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,8.582819747924805,7.057597990994828,77.02373013617367,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,0.0,3.937007874015748
1,n=5,0.25,12.50132465362549,10.57808479315863,53.40792051710858,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,0.0,3.937007874015748
2,n=5,0.5,23.47235488891602,15.116760962980862,45.67546817663202,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,0.0,3.937007874015748
3,n=5,0.75,39.33528137207031,60.1285691060944,50.258280732047886,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,0.0,3.937007874015748
4,n=5,0.9,65.8698543548584,152.26712450195885,66.35167727636635,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,0.0,3.937007874015748
5,n=10,0.1,6.890330290794373,4.718490052433285,72.03430631865156,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,4.989423817522109,7.874015748031496
6,n=10,0.25,11.181964874267578,6.098432582721427,36.87041409938017,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,16.53750641772841,7.874015748031496
7,n=10,0.5,22.741246223449707,10.258711090223752,32.76771991234777,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,12.907748264284251,7.874015748031496
8,n=10,0.75,43.31635761260986,28.131122386633137,36.28084987686971,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,13.977430855178177,7.874015748031496
9,n=10,0.9,83.81549377441404,85.03078007789253,48.91949840309918,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,17.432178873267162,7.874015748031496
10,n=15,0.1,6.150397205352784,3.1218025930146167,55.38403556578356,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,16.650270752867996,11.811023622047244
11,n=15,0.25,11.117561340332031,4.327051783767315,29.917021137829607,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,6.953392961550563,11.811023622047244
12,n=15,0.5,23.47235488891602,7.571673376561936,26.003517379246173,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,6.764202533101599,11.811023622047244
13,n=15,0.75,45.42933464050293,19.10627295529834,26.7428147047985,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,9.538035172071208,11.811023622047244
14,n=15,0.9,84.46308593749998,63.920812377556175,39.99395313843794,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,8.925545264661245,11.811023622047244
15,n=20,0.1,5.004038643836975,2.9009269363149457,51.82559065197808,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,3.558444913805481,15.748031496062993
16,n=20,0.25,10.894294261932377,3.591509252396687,24.439919749204837,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,5.477101388624771,15.748031496062993
17,n=20,0.5,22.70593786239624,6.6763751220816845,23.041356367993917,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,2.962161011252256,15.748031496062993
18,n=20,0.75,44.749053955078125,16.253928646565278,23.593686996572302,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,3.1491277082261995,15.748031496062993
19,n=20,0.9,86.54906845092778,38.580871493430706,33.860372200553165,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,6.133580937884773,15.748031496062993
20,n=25,0.1,5.014140510559082,2.5096208803595554,47.88902607896336,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,3.9365645730147207,19.68503937007874
21,n=25,0.25,10.329832077026369,2.813451214561026,20.02418453234438,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,4.415735216860458,19.68503937007874
22,n=25,0.5,22.61892127990723,5.92321005466501,19.557316989896204,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,3.4840393780977124,19.68503937007874
23,n=25,0.75,44.64338302612305,13.69241800177377,20.679800093789662,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,2.9138869027826395,19.68503937007874
24,n=25,0.9,92.93956604003907,38.348978798338514,30.323924704746634,1376313964_MD,Inflow,TSS,127,0,0,heavy_right_skew,PARETO2o,3.536447495806531,19.68503937007874
