,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,4.514045321941376,2.996128529148804,62.18820843275221,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.0,10.638297872340425
1,n=5,0.25,7.022348880767822,3.877209778304909,39.06661027165765,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.0,10.638297872340425
2,n=5,0.5,8.958105087280273,7.7908598956448305,32.92766633815438,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.0,10.638297872340425
3,n=5,0.75,12.588874816894528,15.764064387473354,45.47701445426913,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.0,10.638297872340425
4,n=5,0.9,34.03543567657471,25.665905102905448,58.594991083125414,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.0,10.638297872340425
5,n=10,0.1,3.419293513894081,2.0406655201646284,58.29933575498034,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,3.8888726777718716,21.27659574468085
6,n=10,0.25,6.284641683101654,2.006083338826017,27.87274819500849,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,11.193862076649161,21.27659574468085
7,n=10,0.5,9.537315845489502,3.085910003593387,20.62214983398559,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,12.305516504168793,21.27659574468085
8,n=10,0.75,13.761545658111576,11.136125967059991,36.839488234474366,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,8.637526219794765,21.27659574468085
9,n=10,0.9,39.91703872680664,18.455101991020143,44.61756803788517,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,13.977423045240243,21.27659574468085
10,n=15,0.1,3.4833973884582523,1.7199134097122388,48.587349256394354,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,9.711986498585986,31.914893617021278
11,n=15,0.25,6.392256259918213,1.3898925734203884,18.033790830296052,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,9.838957364712439,31.914893617021278
12,n=15,0.5,8.958105087280273,1.865350566178479,15.89295947040659,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,4.729190363578999,31.914893617021278
13,n=15,0.75,13.78314781188965,9.58285111128659,31.956949718035162,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,4.882538516439205,31.914893617021278
14,n=15,0.9,42.12656517028808,14.155451634656115,32.19704372986483,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,12.42052430802034,31.914893617021278
15,n=20,0.1,3.3130862832069403,1.4948907435729808,47.59570168359973,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.9916475727946263,42.5531914893617
16,n=20,0.25,6.251116991043092,1.1674193219117428,15.762662398765439,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,2.271128431530613,42.5531914893617
17,n=20,0.5,9.107210636138916,1.4958496054144714,13.658446721222472,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,2.234512749184118,42.5531914893617
18,n=20,0.75,14.174432516098019,7.751266309433965,24.454357416012943,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,7.502592302022219,42.5531914893617
19,n=20,0.9,46.45456123352051,12.336258017859247,24.86449303201275,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,7.332550697852081,42.5531914893617
20,n=25,0.1,2.4000390529632574,1.2640833219454675,39.45681141505682,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,8.138890268542909,53.191489361702125
21,n=25,0.25,6.3330626487731925,0.981848958146536,12.673601244143045,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,3.089061154622394,53.191489361702125
22,n=25,0.5,8.958105087280273,1.4800040154500675,12.925401203217076,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,0.7330455180053956,53.191489361702125
23,n=25,0.75,14.2174243927002,7.3450651383230445,22.368380806249398,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,2.085976609763545,53.191489361702125
24,n=25,0.9,45.30925750732423,10.110962366989916,18.73702276005281,1376313964_MD,Outflow,TSS,47,0,0,heavy_right_skew,GB2,6.12747027195994,53.191489361702125
