,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,2.7996000051498413,0.7279165270590255,25.64899382875121,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,0.0,12.82051282051282
1,n=5,0.25,3.2999999523162837,0.9525624836537554,22.413307291975936,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,0.0,12.82051282051282
2,n=5,0.5,4.320000171661377,1.318076702932986,19.10850415080121,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,0.0,12.82051282051282
3,n=5,0.75,6.25,2.096866915555248,24.352422193970238,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,0.0,12.82051282051282
4,n=5,0.9,7.44399995803833,2.5354994762605765,30.02921556003537,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,0.0,12.82051282051282
5,n=10,0.1,2.5202000617980955,0.4623919775887052,15.60241097784971,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,10.0465828509015,25.64102564102564
6,n=10,0.25,3.1978501081466675,0.5726518862834158,14.374229389331717,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,8.03907790264422,25.64102564102564
7,n=10,0.5,4.298650026321411,0.7829194929630788,13.067607891659192,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,6.040896259142018,25.64102564102564
8,n=10,0.75,6.064999938011169,1.603824058725022,17.694122044762896,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,6.658300149207342,25.64102564102564
9,n=10,0.9,8.346000051498411,2.5744532895029324,25.23531131445148,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,4.793904245583892,25.64102564102564
10,n=15,0.1,2.35120005607605,0.31523532990850184,10.208035275871557,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,5.394375701978152,38.46153846153847
11,n=15,0.25,3.101300001144409,0.42702557208702735,10.452170841215844,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,3.9220585481158725,38.46153846153847
12,n=15,0.5,4.320000171661377,0.5719232691671311,8.59000438130711,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,4.477603510352081,38.46153846153847
13,n=15,0.75,6.259999990463257,0.9312749706982157,12.19563716267557,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,5.498484882087325,38.46153846153847
14,n=15,0.9,9.771679973602293,2.106179836248664,20.905435104909127,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,4.329876209542352,38.46153846153847
15,n=20,0.1,2.2899999618530273,0.2551441335678571,7.892349917690615,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,2.315685358180942,51.28205128205128
16,n=20,0.25,3.08367508649826,0.33384371355393383,8.282699614526457,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,2.169471226689387,51.28205128205128
17,n=20,0.5,4.337300062179565,0.41891668185503017,6.8955853470483275,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,1.6944190342587833,51.28205128205128
18,n=20,0.75,6.377499938011169,0.7643276208048254,9.369463749420499,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,2.8261734132550718,51.28205128205128
19,n=20,0.9,8.859000205993658,2.037367820244172,18.82029120544615,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,2.0851438994629774,51.28205128205128
20,n=25,0.1,2.284000062942505,0.1758955609595451,5.599170202844342,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,2.293179714846273,64.1025641025641
21,n=25,0.25,3.170000076293945,0.25683071598367346,6.678706317607422,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,1.6039932969190351,64.1025641025641
22,n=25,0.5,4.320000171661377,0.26185015138512335,3.8489080552485864,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,3.046677291799741,64.1025641025641
23,n=25,0.75,6.39169979095459,0.5511396028025466,6.190571767899601,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,3.1788919815208976,64.1025641025641
24,n=25,0.9,10.150000190734866,1.6640536196861853,16.70737132350008,1601357644_FL,Outflow,TSS,39,0,0,heavy_right_skew,IGAMMA,2.1129198819460697,64.1025641025641
