,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,9.0,3.0173713227574104,27.082012102699515,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,0.0,7.462686567164178
1,n=5,0.25,10.0,4.199976619841404,22.783329404423135,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,0.0,7.462686567164178
2,n=5,0.5,15.0,6.63026974970912,26.100352406884557,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,0.0,7.462686567164178
3,n=5,0.75,18.0,11.816468247479339,31.201478004531637,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,0.0,7.462686567164178
4,n=5,0.9,33.0,16.806162296678096,47.28267931051291,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,0.0,7.462686567164178
5,n=10,0.1,8.7,1.9925301384685283,21.133789868586074,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,5.948222234113441,14.925373134328357
6,n=10,0.25,10.0,2.03298273174544,13.603333080978198,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,9.179996323444938,14.925373134328357
7,n=10,0.5,15.0,3.0857567612466084,16.672532125970786,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,9.427820280913771,14.925373134328357
8,n=10,0.75,20.875,8.64780394239208,25.068735929948254,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,6.132742074583383,14.925373134328357
9,n=10,0.9,34.69999999999999,14.169495275157315,34.62820773690293,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,12.654471573609982,14.925373134328357
10,n=15,0.1,8.0,1.4444988729618224,15.858101408896427,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,5.275688459689647,22.388059701492537
11,n=15,0.25,10.0,1.4199283055089698,9.68647264202275,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,3.9168604389554478,22.388059701492537
12,n=15,0.5,15.0,2.5469507093447388,14.963119758193702,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,1.7094123677770838,22.388059701492537
13,n=15,0.75,19.5,6.244232529283284,18.733450300014916,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,6.335285629933338,22.388059701492537
14,n=15,0.9,37.79999999999999,12.16867464950275,29.942467439982963,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,4.685740296919967,22.388059701492537
15,n=20,0.1,7.9,1.2774731446377026,14.481001820592576,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,1.3770995883038513,29.850746268656714
16,n=20,0.25,9.75,1.1819843162443808,7.7376694510586095,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,1.9488031909641403,29.850746268656714
17,n=20,0.5,14.5,2.182737888382102,12.763450105871478,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,2.1996696523222248,29.850746268656714
18,n=20,0.75,20.0,5.19012039353605,15.784881368300935,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,2.9485689317139805,29.850746268656714
19,n=20,0.9,41.300000000000004,10.707077372079805,25.938676460721304,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,4.003790979261659,29.850746268656714
20,n=25,0.1,7.800000000000001,1.166621623331253,12.856511225242285,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,1.6244905953502915,37.3134328358209
21,n=25,0.25,10.0,0.9338415926914378,6.14745570727263,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,1.5902137437859798,37.3134328358209
22,n=25,0.5,15.0,1.9933868621932695,11.63977301134601,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,1.1236770945254673,37.3134328358209
23,n=25,0.75,20.0,4.233758782317874,13.333586285096247,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,2.4512950832046876,37.3134328358209
24,n=25,0.9,39.80000000000002,8.847280990329386,20.969249285791232,1671569331_MN,Inflow,TSS,67,0,0,heavy_right_skew,IGAMMA,4.969427174930072,37.3134328358209
