,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,61.0,51.52378979451705,70.996988419481,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,0.0,13.513513513513514
1,n=5,0.25,105.0,81.06414976272502,52.72319032865723,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,0.0,13.513513513513514
2,n=5,0.5,166.0,153.28775402839636,39.43495059855195,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,0.0,13.513513513513514
3,n=5,0.75,274.0,242.18797266629164,61.00077141703034,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,0.0,13.513513513513514
4,n=5,0.9,608.4000000000001,246.817409890571,41.31505421732234,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,0.0,13.513513513513514
5,n=10,0.1,47.9,30.81895369433601,58.21142328011313,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,12.785565139367868,27.027027027027028
6,n=10,0.25,81.375,38.81478519649051,37.292722883962206,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,15.430467444695026,27.027027027027028
7,n=10,0.5,163.5,77.29124502241004,23.352118176963106,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,16.082832421588844,27.027027027027028
8,n=10,0.75,415.0,204.4363064178266,47.262294331363336,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,13.738477085667007,27.027027027027028
9,n=10,0.9,707.8999999999997,208.95034648651264,27.31249524184209,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,14.002558975480252,27.027027027027028
10,n=15,0.1,37.00000000000001,19.403539784078173,40.0855838228649,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,18.125839457248233,40.54054054054054
11,n=15,0.25,76.25,29.233014028978204,27.781159986924486,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,9.51156289703772,40.54054054054054
12,n=15,0.5,161.0,45.5208895648311,14.079764302736672,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,9.272353874226434,40.54054054054054
13,n=15,0.75,400.0,181.78971495915235,40.48206780421288,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,6.780226527150454,40.54054054054054
14,n=15,0.9,734.8,139.8670063506436,16.18250491517184,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,11.12999032667025,40.54054054054054
15,n=20,0.1,38.1,16.92682702653905,42.477004692230565,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,2.3914208693656676,54.054054054054056
16,n=20,0.25,68.5,24.408586253935965,22.259558725979613,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,5.521601260944873,54.054054054054056
17,n=20,0.5,159.5,21.634787427985238,9.513538910072217,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,4.566225392664455,54.054054054054056
18,n=20,0.75,398.75,160.23674840709967,35.891632833589995,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,4.590434970622887,54.054054054054056
19,n=20,0.9,768.4000000000001,109.84813369736233,11.598611373755492,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,4.583893541416348,54.054054054054056
20,n=25,0.1,32.20000000000001,12.411839321820981,29.935510992712377,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,12.541493699518188,67.56756756756756
21,n=25,0.25,70.0,18.48364656610706,14.383944534389165,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,7.875614191590447,67.56756756756756
22,n=25,0.5,161.0,10.976334353128246,4.8601999357949754,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,4.653338974277242,67.56756756756756
23,n=25,0.75,476.0,144.59828146283078,28.564808511448938,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,7.326824322141057,67.56756756756756
24,n=25,0.9,780.4000000000001,70.74569251919192,7.383964328932753,1708200120_CO,Inflow,TSS,37,0,0,heavy_right_skew,EXP,4.2146470448227396,67.56756756756756
