,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,7.4,3.158771964014067,28.61821282527814,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,0.0,15.625
1,n=5,0.25,8.0,5.04886899773728,28.792509005253887,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,0.0,15.625
2,n=5,0.5,14.0,9.783413225899096,38.303015861172,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,0.0,15.625
3,n=5,0.75,21.0,32.578199184796084,48.19568465646574,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,0.0,15.625
4,n=5,0.9,46.2,66.5001374223722,71.2299259727342,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,0.0,15.625
5,n=10,0.1,6.8,1.495729914106121,18.366942589552345,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,10.251270235725794,31.25
6,n=10,0.25,8.25,2.671871402891085,18.384966941278936,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,10.407542063974951,31.25
7,n=10,0.5,16.0,5.025296728993112,27.24439586060242,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,11.05862000056958,31.25
8,n=10,0.75,32.0,12.910169002664315,32.170037351379,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,16.025647305086736,31.25
9,n=10,0.9,59.69999999999992,62.84186842300112,48.656660304397356,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,22.573265668336838,31.25
10,n=15,0.1,6.4,0.9073090871137128,11.675423263400614,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,6.691519326151731,46.875
11,n=15,0.25,8.0,1.56434310132955,11.103257947169277,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,7.281708994109659,46.875
12,n=15,0.5,14.0,4.007433473695125,21.047271127958535,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,6.197124732643886,46.875
13,n=15,0.75,29.5,8.635857285882176,23.304882745644132,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,8.865154605734869,46.875
14,n=15,0.9,62.39999999999999,51.44779699492742,43.16094096651758,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,5.495719337879777,46.875
15,n=20,0.1,5.9,0.9207012227009184,13.17459769487677,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,1.4991744314761561,62.5
16,n=20,0.25,8.0,1.0437110066156532,7.678371329857316,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,3.4248866173119614,62.5
17,n=20,0.5,14.5,3.1163130159897703,16.838237650944244,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,4.209033477014291,62.5
18,n=20,0.75,28.5,6.611457611108685,18.70153248254557,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,4.603350263098562,62.5
19,n=20,0.9,71.30000000000001,22.18083257380882,29.925706399471718,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,13.235234567045861,62.5
20,n=25,0.1,6.4,0.6292106579709283,9.269796695995321,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,3.9048009988814485,78.125
21,n=25,0.25,8.0,0.6218306414880074,3.622676298589607,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,4.0556950312677085,78.125
22,n=25,0.5,14.0,2.7895913032698103,12.37451472357466,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,4.463722927369584,78.125
23,n=25,0.75,26.0,6.302568423862999,19.81990943749499,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,1.1183769549494187,78.125
24,n=25,0.9,62.40000000000003,12.541480615623664,16.995476988655987,1708200120_CO,Outflow,TSS,32,0,0,heavy_right_skew,IGAMMA,12.93022941081573,78.125
