,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,27.0,22.93135370896913,40.597635924650206,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
1,n=5,0.25,35.0,41.637119249520595,42.56100564820303,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
2,n=5,0.5,72.0,107.59460647581439,46.4846064772595,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
3,n=5,0.75,161.0,319.98782298349334,63.23625746513271,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
4,n=5,0.9,510.20000000000005,709.6946899423899,80.4869826220751,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
5,n=10,0.1,23.4,7.200674303205338,20.445677894147877,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,20.15195803050233,45.45454545454545
6,n=10,0.25,34.75,14.279026786231746,24.229697191647517,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,18.33130845655551,45.45454545454545
7,n=10,0.5,78.5,27.17909605790909,26.38018626776964,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,20.104420209489856,45.45454545454545
8,n=10,0.75,154.0,165.87885399639194,42.32927796498172,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,20.90697950015099,45.45454545454545
9,n=10,0.9,667.9999999999998,421.23405599240857,56.11154244067996,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,24.375440181395142,45.45454545454545
10,n=15,0.1,22.2,3.5995037734151163,12.561274586454319,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,7.8844033076935585,68.18181818181817
11,n=15,0.25,32.5,6.594737304869728,12.38486558855914,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,11.844831603088377,68.18181818181817
12,n=15,0.5,85.0,15.016477255946441,16.516825058306132,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,9.863361209463509,68.18181818181817
13,n=15,0.75,163.5,101.32564635480219,29.7489309099865,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,12.580347054995222,68.18181818181817
14,n=15,0.9,673.8,298.2207595413215,39.43917235783567,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,16.67237008284429,68.18181818181817
15,n=20,0.1,20.7,1.68211961905973,5.466584411937117,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,7.0946901745172015,90.9090909090909
16,n=20,0.25,33.75,2.068962048447441,6.372657909514108,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,6.012207679045033,90.9090909090909
17,n=20,0.5,78.5,6.399990919332234,5.885008358421257,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,10.631816699884876,90.9090909090909
18,n=20,0.75,172.25,11.589326716314233,4.962472945612693,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,24.786457964373806,90.9090909090909
19,n=20,0.9,778.7000000000008,92.0490955981693,11.409291083231972,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,28.029881274603703,90.9090909090909
