,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,skewnessValue,coefficientOfVariation,averageAnnualMonthsSampled,inductionRatio,RainZone,changeRPD,percentOriginal
0,n=5,0.1,0.08860000073909759,0.02216719680444419,26.216368916703747,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,0.0,18.51851851851852
1,n=5,0.25,0.1000000014901161,0.03691504369421829,18.113423505341782,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,0.0,18.51851851851852
2,n=5,0.5,0.1299999952316284,0.06354630083258511,26.245826036314774,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,0.0,18.51851851851852
3,n=5,0.75,0.2000000029802322,0.11956893004493648,38.86230070561846,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,0.0,18.51851851851852
4,n=5,0.9,0.3400000035762787,0.14962807580907708,37.70619265604755,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,0.0,18.51851851851852
5,n=10,0.1,0.07950000017881394,0.013355720092106723,14.186785576815957,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,12.02958333988779,37.03703703703704
6,n=10,0.25,0.10250000096857548,0.01415390496229768,10.041983293591157,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,8.071440211750625,37.03703703703704
7,n=10,0.5,0.13499999791383738,0.03277763233407237,16.182230718239353,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,10.063595318075421,37.03703703703704
8,n=10,0.75,0.23750000074505806,0.08024744382779443,26.897021950875764,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,11.965278754742695,37.03703703703704
9,n=10,0.9,0.4000000059604645,0.11589236550661822,23.594278325273947,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,14.111914330773601,37.03703703703704
10,n=15,0.1,0.07440000027418137,0.009537449361381333,9.650305905333505,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,4.536479671482452,55.55555555555556
11,n=15,0.25,0.1000000014901161,0.009109613136207237,6.073302757266599,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,3.968680536324558,55.55555555555556
12,n=15,0.5,0.1299999952316284,0.018516915400148836,9.797226226571079,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,6.385004491668274,55.55555555555556
13,n=15,0.75,0.23500000685453415,0.05854320876468814,18.9092345142006,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,7.987787436675163,55.55555555555556
14,n=15,0.9,0.4000000059604645,0.08086392683496095,14.703140877211943,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,8.891137448062004,55.55555555555556
15,n=20,0.1,0.07179999724030495,0.007526626283409901,5.510922616058371,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,4.139383289275134,74.07407407407408
16,n=20,0.25,0.1000000014901161,0.0036342762468767943,1.9273527173173155,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,4.145950039949283,74.07407407407408
17,n=20,0.5,0.13499999791383738,0.012748138474655507,7.439467984780243,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,2.357758241790836,74.07407407407408
18,n=20,0.75,0.25,0.03746407944388618,11.79646777034225,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,7.1127667438583515,74.07407407407408
19,n=20,0.9,0.42000000774860413,0.041257587926860025,6.098156279011709,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,8.604984598200234,74.07407407407408
20,n=25,0.1,0.07079999893903732,0.0036688230127353777,2.637524468763237,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,2.873398147295134,92.5925925925926
21,n=25,0.25,0.1000000014901161,0.0,0.0,2011981340_NC,Inflow,Phosphorus,27,0,0,heavy_right_skew,GG,1.8919330979029056,0.8147976250071607,7,11.212121417371366,2,1.9273527173173155,92.5925925925926
