,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,18.4,8.666123749502045,31.975958568616186,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,0.0,18.51851851851852
1,n=5,0.25,21.0,12.074318960368453,28.014535832301718,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,0.0,18.51851851851852
2,n=5,0.5,44.0,16.62887015540414,36.968548069853405,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,0.0,18.51851851851852
3,n=5,0.75,60.0,19.130118632087864,28.778449788163297,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,0.0,18.51851851851852
4,n=5,0.9,72.80000000000001,22.012971493825546,27.750298782536824,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,0.0,18.51851851851852
5,n=10,0.1,16.3,3.4905390537525203,16.284558171144628,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,15.691400397471558,37.03703703703704
6,n=10,0.25,19.75,6.471066539165595,15.708029924749416,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,12.306505907552301,37.03703703703704
7,n=10,0.5,41.5,11.316792415749367,25.653863878578832,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,11.314684191274573,37.03703703703704
8,n=10,0.75,62.0,12.180412540193315,16.43485205769279,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,12.343597730470506,37.03703703703704
9,n=10,0.9,80.89999999999998,20.2734568850045,19.621479584021497,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,8.128819198515327,37.03703703703704
10,n=15,0.1,16.2,2.294236885278314,11.981056561524078,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,4.30350160962055,55.55555555555556
11,n=15,0.25,19.5,3.445957813221313,7.99920280692273,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,7.7088271178266865,55.55555555555556
12,n=15,0.5,44.0,9.290495714505367,17.882766319030434,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,7.771097559548398,55.55555555555556
13,n=15,0.75,63.0,8.292557447376293,10.905342485751737,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,5.529509571941054,55.55555555555556
14,n=15,0.9,82.39999999999999,15.256056800438193,14.548400230812526,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,5.073079353208971,55.55555555555556
15,n=20,0.1,15.5,1.2759947826581186,6.397375846778693,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,5.583680714745385,74.07407407407408
16,n=20,0.25,19.75,1.17520773757362,4.564832518774187,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,3.4343702881485427,74.07407407407408
17,n=20,0.5,41.5,6.175114174664327,12.153538060589772,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,5.729228258440662,74.07407407407408
18,n=20,0.75,63.75,5.1765265240030836,6.100356127643628,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,4.804986358108109,74.07407407407408
19,n=20,0.9,86.45000000000003,8.55990437597593,8.396416059944324,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,6.151984170868202,74.07407407407408
20,n=25,0.1,15.4,0.6186772365669292,2.8159644732986426,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,3.58141137348005,92.5925925925926
21,n=25,0.25,19.0,0.6428269229783483,2.9670983493768444,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,1.5977341693973428,92.5925925925926
22,n=25,0.5,44.0,2.161421635631038,2.987951807228911,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,9.16558625336086,92.5925925925926
23,n=25,0.75,66.0,1.917892756451858,2.714134754026231,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,3.386221373617397,92.5925925925926
24,n=25,0.9,88.80000000000001,3.824309963037353,3.4577509206987065,2011981340_NC,Inflow,TSS,27,0,0,heavy_right_skew,GA,4.938665139245617,92.5925925925926
