,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,4.3,3.1328749049939226,52.25784645815449,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,0.0,21.73913043478261
1,n=5,0.25,7.0,4.978911338458687,67.48041820103776,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,0.0,21.73913043478261
2,n=5,0.5,12.0,7.649103776074311,44.998108282784294,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,0.0,21.73913043478261
3,n=5,0.75,18.0,12.21443424017728,46.27530048011378,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,0.0,21.73913043478261
4,n=5,0.9,35.300000000000004,17.462033938190505,42.026169122367634,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,0.0,21.73913043478261
5,n=10,0.1,2.5,1.530751266168921,10.844128520832182,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,41.4137179373223,43.47826086956522
6,n=10,0.25,4.375,3.1576190977908456,46.495986117177075,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,20.98443208386069,43.47826086956522
7,n=10,0.5,12.5,3.984858491137265,23.93376464784978,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,21.064343634934513,43.47826086956522
8,n=10,0.75,26.25,7.502058685390169,25.11696883117106,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,21.158331648942717,43.47826086956522
9,n=10,0.9,37.39999999999998,12.12558049929527,26.3929009110454,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,15.633268211322235,43.47826086956522
10,n=15,0.1,2.5,0.6237187588812453,3.967035412563068,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,6.877093108269115,65.21739130434783
11,n=15,0.25,4.25,2.2436505823928417,35.224459682467625,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,11.27152643470945,65.21739130434783
12,n=15,0.5,12.0,2.1955128223506715,13.501581845563537,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,10.432182802286244,65.21739130434783
13,n=15,0.75,26.5,5.398653714014977,18.255617253757986,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,6.861351577413075,65.21739130434783
14,n=15,0.9,41.599999999999994,8.423565103809443,17.5497216710509,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,8.843179239994498,65.21739130434783
15,n=20,0.1,2.5,0.0,0.0,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,3.967035412563068,86.95652173913044
16,n=20,0.25,5.125,1.7123765552394914,36.7431404188636,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,1.5186807363959716,86.95652173913044
17,n=20,0.5,12.5,1.2074003608010582,8.659705666163225,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,4.8418761794003125,86.95652173913044
18,n=20,0.75,25.25,3.723825519946661,12.231882993049519,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,6.023734260708467,86.95652173913044
19,n=20,0.9,47.20000000000002,5.552338747873934,12.105594715452506,2011981340_NC,Outflow,TSS,23,6,8,heavy_right_skew,BCPE,5.444126955598394,86.95652173913044
