,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,skewnessValue,coefficientOfVariation,averageAnnualMonthsSampled,inductionRatio,RainZone,changeRPD,percentOriginal
0,n=5,0.1,1.0,0.2834889977769366,21.79082331591217,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,0.0,16.129032258064516
1,n=5,0.25,1.0,0.3986651113783722,15.873618290462272,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,0.0,16.129032258064516
2,n=5,0.5,1.6000000238418581,0.591742614489317,34.51056927894394,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,0.0,16.129032258064516
3,n=5,0.75,2.299999952316284,0.6627668928748508,24.788242178437585,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,0.0,16.129032258064516
4,n=5,0.9,2.719999980926514,0.7779311632629594,24.098857968068764,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,0.0,16.129032258064516
5,n=10,0.1,0.95,0.2032801162178001,16.75287156056576,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,5.037951755346409,32.25806451612903
6,n=10,0.25,1.0,0.15312064879904339,3.7857536289659905,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,12.087864661496281,32.25806451612903
7,n=10,0.5,1.5,0.4421416325659402,25.80106286893788,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,8.70950641000606,32.25806451612903
8,n=10,0.75,2.375,0.409132645930243,13.969165051683872,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,10.819077126753713,32.25806451612903
9,n=10,0.9,3.0,0.5036705879066866,12.921553601594596,459063142_WI_proprietary,Outflow,Copper,31,14,26,heavy_right_skew,IG,1.1326676801798805,0.5938935203296457,5,10.0,1,11.177304366474168,32.25806451612903
