,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,skewnessValue,coefficientOfVariation,averageAnnualMonthsSampled,inductionRatio,RainZone,changeRPD,percentOriginal
0,n=5,0.1,34.2,11.186998723557709,30.667148243443386,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,0.0,33.33333333333333
1,n=5,0.25,44.0,11.361575012890912,21.313062502510494,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,0.0,33.33333333333333
2,n=5,0.5,57.0,16.27645372591289,18.335567869619315,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,0.0,33.33333333333333
3,n=5,0.75,85.0,28.12281425040399,25.583496166439488,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,0.0,33.33333333333333
4,n=5,0.9,119.80000000000001,29.489162477888282,25.734195669355447,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,0.0,33.33333333333333
5,n=10,0.1,28.900000000000002,5.941887836548601,13.971524231327463,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,16.69562401211592,66.66666666666666
6,n=10,0.25,41.75,6.439619721249745,12.489530717089186,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,8.823531785421308,66.66666666666666
7,n=10,0.5,56.0,6.352508774922784,7.310684265409079,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,11.024883604210235,66.66666666666666
8,n=10,0.75,88.0,11.684513027481238,11.254415043199883,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,14.329081123239606,66.66666666666666
9,n=10,0.9,106.29999999999998,27.718829773423277,22.64001284455567,6_CACTA002,Inflow,TSS,15,0,0,heavy_right_skew,GA,1.077283816900658,0.6152075397691954,3,16.3,6,3.094182824799777,66.66666666666666
