,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,36.0,19.35351361555526,59.20459902129013,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,0.0,9.433962264150944
1,n=5,0.25,55.0,22.01484514735647,43.64337257662504,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,0.0,9.433962264150944
2,n=5,0.5,73.0,26.225926378849962,24.139541483170145,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,0.0,9.433962264150944
3,n=5,0.75,92.0,90.1814442431011,28.834119822622323,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,0.0,9.433962264150944
4,n=5,0.9,131.60000000000002,268.2229554139279,58.709540576650575,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,0.0,9.433962264150944
5,n=10,0.1,27.3,14.905117237115144,44.95747116197569,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,14.247127859314439,18.867924528301888
6,n=10,0.25,48.375,15.191265573192902,29.41095139847798,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,14.23242117814706,18.867924528301888
7,n=10,0.5,72.5,13.151852243500526,13.502703341862981,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,10.636838141307164,18.867924528301888
8,n=10,0.75,95.75,40.79775108983308,21.32950285739571,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,7.504616965226614,18.867924528301888
9,n=10,0.9,164.0,236.68412027303145,43.951303483914536,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,14.758237092736039,18.867924528301888
10,n=15,0.1,25.6,11.54437503383333,38.39359872959012,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,6.563872432385573,28.30188679245283
11,n=15,0.25,45.0,12.450853444764578,23.466361023166257,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,5.944590375311723,28.30188679245283
12,n=15,0.5,72.0,9.236448449480994,8.909132693705839,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,4.593570648157142,28.30188679245283
13,n=15,0.75,99.5,22.31674254894724,16.090227562422218,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,5.239275294973492,28.30188679245283
14,n=15,0.9,156.0,188.0394052319884,38.90580434019098,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,5.0454991437235535,28.30188679245283
15,n=20,0.1,23.7,8.99784833658854,29.281599986246277,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,9.11199874334384,37.735849056603776
16,n=20,0.25,45.0,11.025172634168884,21.589187007606643,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,1.8771740155596142,37.735849056603776
17,n=20,0.5,72.0,7.748579286677257,7.647709272348494,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,1.2614234213573452,37.735849056603776
18,n=20,0.75,100.25,18.187079637244207,13.45039415475103,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,2.639833407671187,37.735849056603776
19,n=20,0.9,155.00000000000006,103.56362329360374,27.62457322750841,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,11.281231112682573,37.735849056603776
20,n=25,0.1,23.800000000000004,7.5048208988761065,26.006003608212165,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,3.2755963780341126,47.16981132075472
21,n=25,0.25,43.0,10.286908426244494,20.512293265154298,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,1.076893742452345,47.16981132075472
22,n=25,0.5,72.0,5.608288669782183,5.586685176178185,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,2.061024096170309,47.16981132075472
23,n=25,0.75,98.0,16.318483072257642,12.129085002300192,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,1.321309152450839,47.16981132075472
24,n=25,0.9,156.0,77.42151021834304,25.349648236345633,919103477_CA,Outflow,TSS,53,1,2,heavy_right_skew,BCPEo,2.274924991162777,47.16981132075472
