,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,6.880000019073487,3.4384208998818795,41.76110956540244,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,0.0,14.705882352941178
1,n=5,0.25,8.800000190734863,5.139499767117297,36.814406356825415,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,0.0,14.705882352941178
2,n=5,0.5,15.199999809265142,8.221219786587254,34.822906968336035,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,0.0,14.705882352941178
3,n=5,0.75,18.0,14.97725754889763,41.05134559165465,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,0.0,14.705882352941178
4,n=5,0.9,34.44000015258789,33.81568720173185,55.78706148381541,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,0.0,14.705882352941178
5,n=10,0.1,5.720000004768371,1.970672958343312,28.222281163870992,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,13.53882840153145,29.411764705882355
6,n=10,0.25,8.49999976158142,2.66901851881831,24.717054242112845,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,12.09735211471257,29.411764705882355
7,n=10,0.5,14.600000381469732,3.9125207016848695,21.29887968993206,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,13.524027278403974,29.411764705882355
8,n=10,0.75,22.2000002861023,9.173752508418527,28.720915112189253,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,12.330430479465399,29.411764705882355
9,n=10,0.9,41.19999999999999,20.35492776144429,34.34539373406857,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,21.441667749746834,29.411764705882355
10,n=15,0.1,5.0400000572204595,1.2983233931517644,18.725654487205862,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,9.49662667666513,44.11764705882353
11,n=15,0.25,8.0,1.9833647474531928,18.133705860830233,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,6.583348381282612,44.11764705882353
12,n=15,0.5,15.199999809265142,2.664393660624667,14.354958578368388,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,6.943921111563673,44.11764705882353
13,n=15,0.75,22.800000190734863,6.722818517773941,22.43696452109702,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,6.283950591092232,44.11764705882353
14,n=15,0.9,42.599999999999994,15.248789198029796,28.559091842130897,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,5.786301891937676,44.11764705882353
15,n=20,0.1,5.439999914169312,1.0383229873467528,17.746642947832285,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,0.9790115393735768,58.82352941176471
16,n=20,0.25,8.100000143051147,1.4472216315618278,13.688198339047622,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,4.445507521782611,58.82352941176471
17,n=20,0.5,15.199999809265142,1.9349448568317065,10.161549334807429,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,4.193409243560959,58.82352941176471
18,n=20,0.75,23.5,5.288150586464605,17.602498178013267,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,4.834466343083754,58.82352941176471
19,n=20,0.9,43.40000000000006,10.9243157687917,20.00026222040359,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,8.558829621727305,58.82352941176471
20,n=25,0.1,4.880000019073487,0.7275775613931049,11.217749473639666,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,6.5288934741926195,73.52941176470588
21,n=25,0.25,8.0,1.1321274489900413,11.036449275705765,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,2.651749063341857,73.52941176470588
22,n=25,0.5,15.199999809265142,1.391476995356501,6.029477020013898,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,4.132072314793531,73.52941176470588
23,n=25,0.75,23.60000038146973,4.578945454388366,15.04712138056343,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,2.5553767974498367,73.52941176470588
24,n=25,0.9,43.80000000000001,8.093340427362534,15.50028627195801,920048328_VA,Outflow,TSS,34,0,0,heavy_right_skew,IGAMMA,4.499975948445581,73.52941176470588
