Location,Analyte,Flow,median_detection_limit
6_CACTA002,Phosphorus,inflow,0.16
6_CACTA002,TSS,inflow,
6_CACTA002,Copper,inflow,
6_AZMCA005,Phosphorus,inflow,
526858588_CO,Phosphorus,outflow,0.02999999932944774
526858588_CO,TSS,outflow,1.0
526858588_CO,Copper,outflow,2.0
1708200120_CO,TSS,inflow,
1708200120_CO,TSS,outflow,
1708200120_CO,Copper,inflow,
1708200120_CO,Copper,outflow,
-1242007014_CO,Phosphorus,inflow,
-1242007014_CO,Phosphorus,outflow,
-1242007014_CO,TSS,inflow,
-1242007014_CO,TSS,outflow,
-1242007014_CO,Copper,inflow,2.0
-1242007014_CO,Copper,outflow,3.5
1980780486_CA,TSS,inflow,
1980780486_CA,Copper,inflow,0.5
919103477_CA,Phosphorus,inflow,
919103477_CA,Phosphorus,outflow,0.009999999776482582
919103477_CA,TSS,inflow,
919103477_CA,TSS,outflow,1.0
459063142_WI_proprietary,Phosphorus,inflow,
459063142_WI_proprietary,Phosphorus,outflow,
459063142_WI_proprietary,TSS,inflow,
459063142_WI_proprietary,TSS,outflow,
459063142_WI_proprietary,Copper,inflow,2.0
459063142_WI_proprietary,Copper,outflow,2.0
973713662_ZZ,TSS,inflow,
973713662_ZZ,TSS,outflow,
1671569331_MN,Phosphorus,inflow,
1671569331_MN,Phosphorus,outflow,
1671569331_MN,TSS,inflow,
1671569331_MN,TSS,outflow,
-986553804_PA,Copper,inflow,2.5
-986553804_PA,Copper,outflow,2.5
1601357644_FL,Phosphorus,inflow,
1601357644_FL,Phosphorus,outflow,
1601357644_FL,TSS,inflow,0.5
1601357644_FL,TSS,outflow,
-1290174122_FL,Phosphorus,inflow,0.009999999776482582
-1290174122_FL,Phosphorus,outflow,0.009999999776482582
-1290174122_FL,TSS,inflow,
-1290174122_FL,TSS,outflow,
-1693589722_FL,Phosphorus,inflow,0.009999999776482582
-1693589722_FL,Phosphorus,outflow,0.009999999776482582
-1693589722_FL,TSS,inflow,0.5
-1693589722_FL,TSS,outflow,
920048328_VA,Phosphorus,inflow,
920048328_VA,Phosphorus,outflow,
920048328_VA,TSS,inflow,
920048328_VA,TSS,outflow,
2011981340_NC,Phosphorus,inflow,
2011981340_NC,Phosphorus,outflow,
2011981340_NC,TSS,inflow,
2011981340_NC,TSS,outflow,5.0
1376313964_MD,Phosphorus,inflow,
1376313964_MD,Phosphorus,outflow,
1376313964_MD,TSS,inflow,
1376313964_MD,TSS,outflow,
