Location,Analyte,Flow,NumSamples,Quartile,EMC
6_CACTA002,Phosphorus,Inflow,16,0.1,0.09
6_CACTA002,Phosphorus,Inflow,16,0.25,0.1275
6_CACTA002,Phosphorus,Inflow,16,0.5,0.16
6_CACTA002,Phosphorus,Inflow,16,0.75,0.2575
6_CACTA002,Phosphorus,Inflow,16,0.9,0.28500000000000003
6_CACTA002,TSS,Inflow,15,0.1,28.6
6_CACTA002,TSS,Inflow,15,0.25,41.5
6_CACTA002,TSS,Inflow,15,0.5,57.0
6_CACTA002,TSS,Inflow,15,0.75,89.5
6_CACTA002,TSS,Inflow,15,0.9,132.99999999999997
6_CACTA002,Copper,Inflow,16,0.1,5.199999999999999
6_CACTA002,Copper,Inflow,16,0.25,6.725
6_CACTA002,Copper,Inflow,16,0.5,9.1
6_CACTA002,Copper,Inflow,16,0.75,11.0
6_CACTA002,Copper,Inflow,16,0.9,13.5
6_AZMCA005,Phosphorus,Inflow,23,0.1,0.24000000000000002
6_AZMCA005,Phosphorus,Inflow,23,0.25,0.365
6_AZMCA005,Phosphorus,Inflow,23,0.5,0.53
6_AZMCA005,Phosphorus,Inflow,23,0.75,0.755
6_AZMCA005,Phosphorus,Inflow,23,0.9,0.9020000000000001
526858588_CO,Phosphorus,Outflow,162,0.1,0.05000000074505806
526858588_CO,Phosphorus,Outflow,162,0.25,0.07000000029802322
526858588_CO,Phosphorus,Outflow,162,0.5,0.1000000014901161
526858588_CO,Phosphorus,Outflow,162,0.75,0.16599999740719795
526858588_CO,Phosphorus,Outflow,162,0.9,0.3126999944448472
526858588_CO,TSS,Outflow,55,0.1,8.8
526858588_CO,TSS,Outflow,55,0.25,21.5
526858588_CO,TSS,Outflow,55,0.5,44.5
526858588_CO,TSS,Outflow,55,0.75,118.0
526858588_CO,TSS,Outflow,55,0.9,257.20000000000005
526858588_CO,Copper,Outflow,181,0.1,1.0
526858588_CO,Copper,Outflow,181,0.25,2.200000047683716
526858588_CO,Copper,Outflow,181,0.5,4.199999809265137
526858588_CO,Copper,Outflow,181,0.75,6.300000190734863
526858588_CO,Copper,Outflow,181,0.9,8.699999809265137
1708200120_CO,TSS,Inflow,37,0.1,32.400000000000006
1708200120_CO,TSS,Inflow,37,0.25,70.0
1708200120_CO,TSS,Inflow,37,0.5,161.0
1708200120_CO,TSS,Inflow,37,0.75,476.0
1708200120_CO,TSS,Inflow,37,0.9,775.5999999999999
1708200120_CO,TSS,Outflow,32,0.1,6.1
1708200120_CO,TSS,Outflow,32,0.25,8.0
1708200120_CO,TSS,Outflow,32,0.5,14.5
1708200120_CO,TSS,Outflow,32,0.75,28.5
1708200120_CO,TSS,Outflow,32,0.9,68.10000000000004
1708200120_CO,Copper,Inflow,96,0.1,3.099999904632568
1708200120_CO,Copper,Inflow,96,0.25,3.900000095367432
1708200120_CO,Copper,Inflow,96,0.5,5.300000190734863
1708200120_CO,Copper,Inflow,96,0.75,8.175000190734863
1708200120_CO,Copper,Inflow,96,0.9,11.44999980926514
1708200120_CO,Copper,Outflow,84,0.1,5.900000095367432
1708200120_CO,Copper,Outflow,84,0.25,7.174999833106995
1708200120_CO,Copper,Outflow,84,0.5,9.75
1708200120_CO,Copper,Outflow,84,0.75,14.0
1708200120_CO,Copper,Outflow,84,0.9,18.530000495910652
-1242007014_CO,Phosphorus,Inflow,44,0.1,0.20300000011920927
-1242007014_CO,Phosphorus,Inflow,44,0.25,0.2700000107288361
-1242007014_CO,Phosphorus,Inflow,44,0.5,0.3700000047683716
-1242007014_CO,Phosphorus,Inflow,44,0.75,0.6424999982118607
-1242007014_CO,Phosphorus,Inflow,44,0.9,0.8269999861717224
-1242007014_CO,Phosphorus,Outflow,37,0.1,0.2159999966621399
-1242007014_CO,Phosphorus,Outflow,37,0.25,0.25
-1242007014_CO,Phosphorus,Outflow,37,0.5,0.3199999928474426
-1242007014_CO,Phosphorus,Outflow,37,0.75,0.4160000085830688
-1242007014_CO,Phosphorus,Outflow,37,0.9,0.6331999897956847
-1242007014_CO,TSS,Inflow,15,0.1,12.000000000000002
-1242007014_CO,TSS,Inflow,15,0.25,28.5
