EMC,Location,Analyte,Flow
8.0,-1242007014_CO,Copper,Inflow
1.0,-1242007014_CO,Copper,Inflow
3.099999904632568,-1242007014_CO,Copper,Inflow
3.700000047683716,-1242007014_CO,Copper,Inflow
4.0,-1242007014_CO,Copper,Inflow
7.099999904632568,-1242007014_CO,Copper,Inflow
4.099999904632568,-1242007014_CO,Copper,Inflow
6.0,-1242007014_CO,Copper,Inflow
4.099999904632568,-1242007014_CO,Copper,Inflow
2.799999952316284,-1242007014_CO,Copper,Inflow
3.700000047683716,-1242007014_CO,Copper,Inflow
5.199999809265137,-1242007014_CO,Copper,Inflow
3.5,-1242007014_CO,Copper,Inflow
2.200000047683716,-1242007014_CO,Copper,Inflow
3.0,-1242007014_CO,Copper,Inflow
1.0,-1242007014_CO,Copper,Inflow
13.60000038146973,-1242007014_CO,Copper,Inflow
14.60000038146973,-1242007014_CO,Copper,Inflow
5.860000133514404,-1242007014_CO,Copper,Inflow
13.0,-1242007014_CO,Copper,Inflow
20.0,-1242007014_CO,Copper,Inflow
40.0,-1242007014_CO,Copper,Inflow
19.70000076293945,-1242007014_CO,Copper,Inflow
15.5,-1242007014_CO,Copper,Inflow
5.869999885559082,-1242007014_CO,Copper,Inflow
14.60000038146973,-1242007014_CO,Copper,Inflow
3.099999904632568,-1242007014_CO,Copper,Inflow
29.20000076293945,-1242007014_CO,Copper,Inflow
4.699999809265137,-1242007014_CO,Copper,Inflow
2.599999904632568,-1242007014_CO,Copper,Inflow
3.599999904632568,-1242007014_CO,Copper,Inflow
2.599999904632568,-1242007014_CO,Copper,Inflow
9.5,-1242007014_CO,Copper,Inflow
2.400000095367432,-1242007014_CO,Copper,Inflow
4.300000190734863,-1242007014_CO,Copper,Inflow
4.199999809265137,-1242007014_CO,Copper,Inflow
7.599999904632568,-1242007014_CO,Copper,Inflow
3.900000095367432,-1242007014_CO,Copper,Inflow
5.699999809265137,-1242007014_CO,Copper,Inflow
5.099999904632568,-1242007014_CO,Copper,Inflow
5.699999809265137,-1242007014_CO,Copper,Inflow
10.30000019073486,-1242007014_CO,Copper,Inflow
6.199999809265137,-1242007014_CO,Copper,Inflow
7.300000190734863,-1242007014_CO,Copper,Inflow
6.400000095367432,-1242007014_CO,Copper,Inflow
4.599999904632568,-1242007014_CO,Copper,Inflow
8.100000381469727,-1242007014_CO,Copper,Inflow
7.0,-1242007014_CO,Copper,Inflow
10.10000038146973,-1242007014_CO,Copper,Inflow
