EMC,Location,Analyte,Flow
3.0,-1242007014_CO,Copper,Outflow
2.5,-1242007014_CO,Copper,Outflow
2.5,-1242007014_CO,Copper,Outflow
3.0,-1242007014_CO,Copper,Outflow
1.0,-1242007014_CO,Copper,Outflow
3.200000047683716,-1242007014_CO,Copper,Outflow
5.199999809265137,-1242007014_CO,Copper,Outflow
3.099999904632568,-1242007014_CO,Copper,Outflow
3.700000047683716,-1242007014_CO,Copper,Outflow
3.700000047683716,-1242007014_CO,Copper,Outflow
3.400000095367432,-1242007014_CO,Copper,Outflow
4.400000095367432,-1242007014_CO,Copper,Outflow
2.599999904632568,-1242007014_CO,Copper,Outflow
3.0,-1242007014_CO,Copper,Outflow
2.700000047683716,-1242007014_CO,Copper,Outflow
2.200000047683716,-1242007014_CO,Copper,Outflow
8.34999942779541,-1242007014_CO,Copper,Outflow
6.930000305175781,-1242007014_CO,Copper,Outflow
6.029999732971191,-1242007014_CO,Copper,Outflow
5.0,-1242007014_CO,Copper,Outflow
15.39999961853027,-1242007014_CO,Copper,Outflow
13.5,-1242007014_CO,Copper,Outflow
28.39999961853027,-1242007014_CO,Copper,Outflow
10.30000019073486,-1242007014_CO,Copper,Outflow
2.5,-1242007014_CO,Copper,Outflow
12.10000038146973,-1242007014_CO,Copper,Outflow
2.799999952316284,-1242007014_CO,Copper,Outflow
2.900000095367432,-1242007014_CO,Copper,Outflow
3.900000095367432,-1242007014_CO,Copper,Outflow
2.799999952316284,-1242007014_CO,Copper,Outflow
2.799999952316284,-1242007014_CO,Copper,Outflow
3.5,-1242007014_CO,Copper,Outflow
2.299999952316284,-1242007014_CO,Copper,Outflow
3.099999904632568,-1242007014_CO,Copper,Outflow
3.900000095367432,-1242007014_CO,Copper,Outflow
3.400000095367432,-1242007014_CO,Copper,Outflow
3.599999904632568,-1242007014_CO,Copper,Outflow
5.400000095367432,-1242007014_CO,Copper,Outflow
3.400000095367432,-1242007014_CO,Copper,Outflow
3.5,-1242007014_CO,Copper,Outflow
2.599999904632568,-1242007014_CO,Copper,Outflow
3.900000095367432,-1242007014_CO,Copper,Outflow
3.099999904632568,-1242007014_CO,Copper,Outflow
