EMC,Location,Analyte,Flow
110,-1242007014_CO,TSS,Outflow
27,-1242007014_CO,TSS,Outflow
9,-1242007014_CO,TSS,Outflow
25,-1242007014_CO,TSS,Outflow
5,-1242007014_CO,TSS,Outflow
13,-1242007014_CO,TSS,Outflow
13,-1242007014_CO,TSS,Outflow
20,-1242007014_CO,TSS,Outflow
27,-1242007014_CO,TSS,Outflow
531,-1242007014_CO,TSS,Outflow
23,-1242007014_CO,TSS,Outflow
22,-1242007014_CO,TSS,Outflow
6,-1242007014_CO,TSS,Outflow
26,-1242007014_CO,TSS,Outflow
47,-1242007014_CO,TSS,Outflow
19,-1242007014_CO,TSS,Outflow
12,-1242007014_CO,TSS,Outflow
