EMC,Location,Analyte,Flow
19.05999946594238,-986553804_PA,Copper,Outflow
9.0,-986553804_PA,Copper,Outflow
0.8615000247955322,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
2.505000114440918,-986553804_PA,Copper,Outflow
6.110000133514404,-986553804_PA,Copper,Outflow
36.86999893188477,-986553804_PA,Copper,Outflow
8.739999771118164,-986553804_PA,Copper,Outflow
5.170000076293945,-986553804_PA,Copper,Outflow
1.125,-986553804_PA,Copper,Outflow
4.840000152587891,-986553804_PA,Copper,Outflow
12.63000011444092,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
7.006199836730957,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
6.800424098968506,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
10.91899967193604,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
1.25,-986553804_PA,Copper,Outflow
3.905247211456299,-986553804_PA,Copper,Outflow
56.03219985961914,-986553804_PA,Copper,Outflow
