EMC,Location,Analyte,Flow
32.0,1601357644_FL,TSS,Inflow
19.0,1601357644_FL,TSS,Inflow
38.40000152587891,1601357644_FL,TSS,Inflow
32.0,1601357644_FL,TSS,Inflow
51.09999847412109,1601357644_FL,TSS,Inflow
38.20000076293945,1601357644_FL,TSS,Inflow
144.0,1601357644_FL,TSS,Inflow
54.0,1601357644_FL,TSS,Inflow
75.73500061035156,1601357644_FL,TSS,Inflow
0.25,1601357644_FL,TSS,Inflow
76.69999694824219,1601357644_FL,TSS,Inflow
12.0,1601357644_FL,TSS,Inflow
13.0,1601357644_FL,TSS,Inflow
38.25799942016602,1601357644_FL,TSS,Inflow
4.059999942779541,1601357644_FL,TSS,Inflow
64.15699768066406,1601357644_FL,TSS,Inflow
12.10000038146973,1601357644_FL,TSS,Inflow
49.93000030517578,1601357644_FL,TSS,Inflow
21.65500068664551,1601357644_FL,TSS,Inflow
38.0,1601357644_FL,TSS,Inflow
42.0,1601357644_FL,TSS,Inflow
20.00774002075195,1601357644_FL,TSS,Inflow
46.69839859008789,1601357644_FL,TSS,Inflow
68.90899658203125,1601357644_FL,TSS,Inflow
35.22666931152344,1601357644_FL,TSS,Inflow
23.0,1601357644_FL,TSS,Inflow
239.0,1601357644_FL,TSS,Inflow
24.0,1601357644_FL,TSS,Inflow
46.0,1601357644_FL,TSS,Inflow
18.10000038146973,1601357644_FL,TSS,Inflow
35.20000076293945,1601357644_FL,TSS,Inflow
34.0,1601357644_FL,TSS,Inflow
63.07099914550781,1601357644_FL,TSS,Inflow
26.0,1601357644_FL,TSS,Inflow
10.0,1601357644_FL,TSS,Inflow
38.90000152587891,1601357644_FL,TSS,Inflow
44.0,1601357644_FL,TSS,Inflow
9.6899995803833,1601357644_FL,TSS,Inflow
65.41000366210938,1601357644_FL,TSS,Inflow
14.0,1601357644_FL,TSS,Inflow
22.68000030517578,1601357644_FL,TSS,Inflow
4.889999866485596,1601357644_FL,TSS,Inflow
35.59999847412109,1601357644_FL,TSS,Inflow
80.96299743652344,1601357644_FL,TSS,Inflow
15.60000038146973,1601357644_FL,TSS,Inflow
56.90000152587891,1601357644_FL,TSS,Inflow
42.09999847412109,1601357644_FL,TSS,Inflow
113.2409973144531,1601357644_FL,TSS,Inflow
91.0,1601357644_FL,TSS,Inflow
13.19999980926514,1601357644_FL,TSS,Inflow
42.97869873046875,1601357644_FL,TSS,Inflow
34.0,1601357644_FL,TSS,Inflow
