EMC,Location,Analyte,Flow
18,1671569331_MN,TSS,Inflow
12,1671569331_MN,TSS,Inflow
13,1671569331_MN,TSS,Inflow
16,1671569331_MN,TSS,Inflow
15,1671569331_MN,TSS,Inflow
17,1671569331_MN,TSS,Inflow
18,1671569331_MN,TSS,Inflow
17,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
4,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
14,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
50,1671569331_MN,TSS,Inflow
45,1671569331_MN,TSS,Inflow
28,1671569331_MN,TSS,Inflow
41,1671569331_MN,TSS,Inflow
46,1671569331_MN,TSS,Inflow
7,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
32,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
17,1671569331_MN,TSS,Inflow
12,1671569331_MN,TSS,Inflow
14,1671569331_MN,TSS,Inflow
20,1671569331_MN,TSS,Inflow
16,1671569331_MN,TSS,Inflow
18,1671569331_MN,TSS,Inflow
86,1671569331_MN,TSS,Inflow
18,1671569331_MN,TSS,Inflow
59,1671569331_MN,TSS,Inflow
19,1671569331_MN,TSS,Inflow
19,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
16,1671569331_MN,TSS,Inflow
20,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
12,1671569331_MN,TSS,Inflow
88,1671569331_MN,TSS,Inflow
44,1671569331_MN,TSS,Inflow
24,1671569331_MN,TSS,Inflow
22,1671569331_MN,TSS,Inflow
28,1671569331_MN,TSS,Inflow
22,1671569331_MN,TSS,Inflow
32,1671569331_MN,TSS,Inflow
12,1671569331_MN,TSS,Inflow
15,1671569331_MN,TSS,Inflow
7,1671569331_MN,TSS,Inflow
18,1671569331_MN,TSS,Inflow
8,1671569331_MN,TSS,Inflow
11,1671569331_MN,TSS,Inflow
6,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
9,1671569331_MN,TSS,Inflow
8,1671569331_MN,TSS,Inflow
10,1671569331_MN,TSS,Inflow
11,1671569331_MN,TSS,Inflow
13,1671569331_MN,TSS,Inflow
4,1671569331_MN,TSS,Inflow
16,1671569331_MN,TSS,Inflow
6,1671569331_MN,TSS,Inflow
51,1671569331_MN,TSS,Inflow
4,1671569331_MN,TSS,Inflow
