EMC,Location,Analyte,Flow
4,1671569331_MN,TSS,Outflow
14,1671569331_MN,TSS,Outflow
6,1671569331_MN,TSS,Outflow
4,1671569331_MN,TSS,Outflow
14,1671569331_MN,TSS,Outflow
21,1671569331_MN,TSS,Outflow
31,1671569331_MN,TSS,Outflow
11,1671569331_MN,TSS,Outflow
8,1671569331_MN,TSS,Outflow
24,1671569331_MN,TSS,Outflow
9,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
8,1671569331_MN,TSS,Outflow
8,1671569331_MN,TSS,Outflow
7,1671569331_MN,TSS,Outflow
24,1671569331_MN,TSS,Outflow
12,1671569331_MN,TSS,Outflow
38,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
9,1671569331_MN,TSS,Outflow
24,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
34,1671569331_MN,TSS,Outflow
71,1671569331_MN,TSS,Outflow
9,1671569331_MN,TSS,Outflow
12,1671569331_MN,TSS,Outflow
9,1671569331_MN,TSS,Outflow
90,1671569331_MN,TSS,Outflow
9,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
5,1671569331_MN,TSS,Outflow
6,1671569331_MN,TSS,Outflow
4,1671569331_MN,TSS,Outflow
3,1671569331_MN,TSS,Outflow
64,1671569331_MN,TSS,Outflow
15,1671569331_MN,TSS,Outflow
23,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
46,1671569331_MN,TSS,Outflow
9,1671569331_MN,TSS,Outflow
184,1671569331_MN,TSS,Outflow
53,1671569331_MN,TSS,Outflow
11,1671569331_MN,TSS,Outflow
8,1671569331_MN,TSS,Outflow
28,1671569331_MN,TSS,Outflow
7,1671569331_MN,TSS,Outflow
30,1671569331_MN,TSS,Outflow
20,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
16,1671569331_MN,TSS,Outflow
10,1671569331_MN,TSS,Outflow
16,1671569331_MN,TSS,Outflow
