EMC,Location,Analyte,Flow
9.699999809265137,1708200120_CO,Copper,Inflow
5.699999809265137,1708200120_CO,Copper,Inflow
4.099999904632568,1708200120_CO,Copper,Inflow
2.799999952316284,1708200120_CO,Copper,Inflow
7.5,1708200120_CO,Copper,Inflow
12.5,1708200120_CO,Copper,Inflow
5.699999809265137,1708200120_CO,Copper,Inflow
8.399999618530273,1708200120_CO,Copper,Inflow
3.099999904632568,1708200120_CO,Copper,Inflow
5.0,1708200120_CO,Copper,Inflow
8.699999809265137,1708200120_CO,Copper,Inflow
3.200000047683716,1708200120_CO,Copper,Inflow
4.800000190734863,1708200120_CO,Copper,Inflow
6.800000190734863,1708200120_CO,Copper,Inflow
17.39999961853027,1708200120_CO,Copper,Inflow
11.19999980926514,1708200120_CO,Copper,Inflow
5.400000095367432,1708200120_CO,Copper,Inflow
4.0,1708200120_CO,Copper,Inflow
8.100000381469727,1708200120_CO,Copper,Inflow
2.5,1708200120_CO,Copper,Inflow
2.299999952316284,1708200120_CO,Copper,Inflow
3.400000095367432,1708200120_CO,Copper,Inflow
3.299999952316284,1708200120_CO,Copper,Inflow
3.799999952316284,1708200120_CO,Copper,Inflow
4.800000190734863,1708200120_CO,Copper,Inflow
4.400000095367432,1708200120_CO,Copper,Inflow
3.900000095367432,1708200120_CO,Copper,Inflow
2.700000047683716,1708200120_CO,Copper,Inflow
6.300000190734863,1708200120_CO,Copper,Inflow
3.799999952316284,1708200120_CO,Copper,Inflow
2.5,1708200120_CO,Copper,Inflow
4.199999809265137,1708200120_CO,Copper,Inflow
3.099999904632568,1708200120_CO,Copper,Inflow
7.400000095367432,1708200120_CO,Copper,Inflow
3.400000095367432,1708200120_CO,Copper,Inflow
5.800000190734863,1708200120_CO,Copper,Inflow
10.19999980926514,1708200120_CO,Copper,Inflow
4.800000190734863,1708200120_CO,Copper,Inflow
7.599999904632568,1708200120_CO,Copper,Inflow
6.599999904632568,1708200120_CO,Copper,Inflow
4.300000190734863,1708200120_CO,Copper,Inflow
3.400000095367432,1708200120_CO,Copper,Inflow
5.0,1708200120_CO,Copper,Inflow
6.900000095367432,1708200120_CO,Copper,Inflow
6.0,1708200120_CO,Copper,Inflow
3.099999904632568,1708200120_CO,Copper,Inflow
4.199999809265137,1708200120_CO,Copper,Inflow
2.799999952316284,1708200120_CO,Copper,Inflow
4.599999904632568,1708200120_CO,Copper,Inflow
5.800000190734863,1708200120_CO,Copper,Inflow
3.400000095367432,1708200120_CO,Copper,Inflow
5.199999809265137,1708200120_CO,Copper,Inflow
4.599999904632568,1708200120_CO,Copper,Inflow
5.300000190734863,1708200120_CO,Copper,Inflow
6.199999809265137,1708200120_CO,Copper,Inflow
15.5,1708200120_CO,Copper,Inflow
7.199999809265137,1708200120_CO,Copper,Inflow
5.800000190734863,1708200120_CO,Copper,Inflow
4.199999809265137,1708200120_CO,Copper,Inflow
4.199999809265137,1708200120_CO,Copper,Inflow
3.799999952316284,1708200120_CO,Copper,Inflow
3.0,1708200120_CO,Copper,Inflow
2.900000095367432,1708200120_CO,Copper,Inflow
3.0,1708200120_CO,Copper,Inflow
5.300000190734863,1708200120_CO,Copper,Inflow
3.700000047683716,1708200120_CO,Copper,Inflow
8.600000381469727,1708200120_CO,Copper,Inflow
4.199999809265137,1708200120_CO,Copper,Inflow
3.599999904632568,1708200120_CO,Copper,Inflow
4.5,1708200120_CO,Copper,Inflow
7.699999809265137,1708200120_CO,Copper,Inflow
5.5,1708200120_CO,Copper,Inflow
5.199999809265137,1708200120_CO,Copper,Inflow
4.300000190734863,1708200120_CO,Copper,Inflow
9.899999618530273,1708200120_CO,Copper,Inflow
13.80000019073486,1708200120_CO,Copper,Inflow
8.600000381469727,1708200120_CO,Copper,Inflow
6.599999904632568,1708200120_CO,Copper,Inflow
4.900000095367432,1708200120_CO,Copper,Inflow
5.300000190734863,1708200120_CO,Copper,Inflow
148.0,1708200120_CO,Copper,Inflow
10.19999980926514,1708200120_CO,Copper,Inflow
12.30000019073486,1708200120_CO,Copper,Inflow
9.899999618530273,1708200120_CO,Copper,Inflow
6.199999809265137,1708200120_CO,Copper,Inflow
10.60000038146973,1708200120_CO,Copper,Inflow
6.300000190734863,1708200120_CO,Copper,Inflow
11.69999980926514,1708200120_CO,Copper,Inflow
16.10000038146973,1708200120_CO,Copper,Inflow
16.10000038146973,1708200120_CO,Copper,Inflow
9.0,1708200120_CO,Copper,Inflow
10.10000038146973,1708200120_CO,Copper,Inflow
11.19999980926514,1708200120_CO,Copper,Inflow
5.099999904632568,1708200120_CO,Copper,Inflow
3.900000095367432,1708200120_CO,Copper,Inflow
14.0,1708200120_CO,Copper,Inflow
