EMC,Location,Analyte,Flow
21,1980780486_CA,TSS,Inflow
96,1980780486_CA,TSS,Inflow
15,1980780486_CA,TSS,Inflow
85,1980780486_CA,TSS,Inflow
191,1980780486_CA,TSS,Inflow
1280,1980780486_CA,TSS,Inflow
24,1980780486_CA,TSS,Inflow
30,1980780486_CA,TSS,Inflow
72,1980780486_CA,TSS,Inflow
90,1980780486_CA,TSS,Inflow
49,1980780486_CA,TSS,Inflow
2870,1980780486_CA,TSS,Inflow
30,1980780486_CA,TSS,Inflow
36,1980780486_CA,TSS,Inflow
166,1980780486_CA,TSS,Inflow
35,1980780486_CA,TSS,Inflow
118,1980780486_CA,TSS,Inflow
600,1980780486_CA,TSS,Inflow
18,1980780486_CA,TSS,Inflow
161,1980780486_CA,TSS,Inflow
723,1980780486_CA,TSS,Inflow
66,1980780486_CA,TSS,Inflow
