EMC,Location,Analyte,Flow
18.0,2011981340_NC,TSS,Inflow
125.0,2011981340_NC,TSS,Inflow
76.0,2011981340_NC,TSS,Inflow
20.0,2011981340_NC,TSS,Inflow
5.0,2011981340_NC,TSS,Inflow
22.0,2011981340_NC,TSS,Inflow
63.0,2011981340_NC,TSS,Inflow
21.0,2011981340_NC,TSS,Inflow
50.0,2011981340_NC,TSS,Inflow
49.0,2011981340_NC,TSS,Inflow
16.0,2011981340_NC,TSS,Inflow
46.0,2011981340_NC,TSS,Inflow
68.0,2011981340_NC,TSS,Inflow
44.0,2011981340_NC,TSS,Inflow
44.0,2011981340_NC,TSS,Inflow
18.0,2011981340_NC,TSS,Inflow
92.0,2011981340_NC,TSS,Inflow
66.0,2011981340_NC,TSS,Inflow
132.0,2011981340_NC,TSS,Inflow
39.0,2011981340_NC,TSS,Inflow
84.0,2011981340_NC,TSS,Inflow
29.0,2011981340_NC,TSS,Inflow
11.0,2011981340_NC,TSS,Inflow
15.0,2011981340_NC,TSS,Inflow
60.0,2011981340_NC,TSS,Inflow
21.0,2011981340_NC,TSS,Inflow
19.0,2011981340_NC,TSS,Inflow
