EMC,Location,Analyte,Flow
35.0,2011981340_NC,TSS,Outflow
29.0,2011981340_NC,TSS,Outflow
32.0,2011981340_NC,TSS,Outflow
86.0,2011981340_NC,TSS,Outflow
46.0,2011981340_NC,TSS,Outflow
15.0,2011981340_NC,TSS,Outflow
18.0,2011981340_NC,TSS,Outflow
10.0,2011981340_NC,TSS,Outflow
2.5,2011981340_NC,TSS,Outflow
2.5,2011981340_NC,TSS,Outflow
2.5,2011981340_NC,TSS,Outflow
12.0,2011981340_NC,TSS,Outflow
10.0,2011981340_NC,TSS,Outflow
2.5,2011981340_NC,TSS,Outflow
11.0,2011981340_NC,TSS,Outflow
24.0,2011981340_NC,TSS,Outflow
14.0,2011981340_NC,TSS,Outflow
6.0,2011981340_NC,TSS,Outflow
2.5,2011981340_NC,TSS,Outflow
7.0,2011981340_NC,TSS,Outflow
2.5,2011981340_NC,TSS,Outflow
58.0,2011981340_NC,TSS,Outflow
18.0,2011981340_NC,TSS,Outflow
