EMC,Location,Analyte,Flow
1.799999952316284,459063142_WI_proprietary,Copper,Inflow
0.5,459063142_WI_proprietary,Copper,Inflow
1.899999976158142,459063142_WI_proprietary,Copper,Inflow
1.799999952316284,459063142_WI_proprietary,Copper,Inflow
2.700000047683716,459063142_WI_proprietary,Copper,Inflow
0.5,459063142_WI_proprietary,Copper,Inflow
0.5,459063142_WI_proprietary,Copper,Inflow
0.5,459063142_WI_proprietary,Copper,Inflow
2.5,459063142_WI_proprietary,Copper,Inflow
4.0,459063142_WI_proprietary,Copper,Inflow
2.099999904632568,459063142_WI_proprietary,Copper,Inflow
3.0,459063142_WI_proprietary,Copper,Inflow
1.899999976158142,459063142_WI_proprietary,Copper,Inflow
3.700000047683716,459063142_WI_proprietary,Copper,Inflow
2.599999904632568,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
2.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
1.0,459063142_WI_proprietary,Copper,Inflow
4.0,459063142_WI_proprietary,Copper,Inflow
4.0,459063142_WI_proprietary,Copper,Inflow
2.0,459063142_WI_proprietary,Copper,Inflow
4.0,459063142_WI_proprietary,Copper,Inflow
