EMC,Location,Analyte,Flow
1.899999976158142,459063142_WI_proprietary,Copper,Outflow
0.5,459063142_WI_proprietary,Copper,Outflow
1.700000047683716,459063142_WI_proprietary,Copper,Outflow
1.600000023841858,459063142_WI_proprietary,Copper,Outflow
2.400000095367432,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
0.5,459063142_WI_proprietary,Copper,Outflow
0.5,459063142_WI_proprietary,Copper,Outflow
2.599999904632568,459063142_WI_proprietary,Copper,Outflow
2.299999952316284,459063142_WI_proprietary,Copper,Outflow
2.0,459063142_WI_proprietary,Copper,Outflow
3.0,459063142_WI_proprietary,Copper,Outflow
2.200000047683716,459063142_WI_proprietary,Copper,Outflow
2.5,459063142_WI_proprietary,Copper,Outflow
2.5,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
3.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
1.0,459063142_WI_proprietary,Copper,Outflow
4.0,459063142_WI_proprietary,Copper,Outflow
5.0,459063142_WI_proprietary,Copper,Outflow
2.0,459063142_WI_proprietary,Copper,Outflow
3.0,459063142_WI_proprietary,Copper,Outflow
