EMC,Location,Analyte,Flow
14,459063142_WI_proprietary,TSS,Inflow
10,459063142_WI_proprietary,TSS,Inflow
42,459063142_WI_proprietary,TSS,Inflow
37,459063142_WI_proprietary,TSS,Inflow
34,459063142_WI_proprietary,TSS,Inflow
13,459063142_WI_proprietary,TSS,Inflow
68,459063142_WI_proprietary,TSS,Inflow
26,459063142_WI_proprietary,TSS,Inflow
35,459063142_WI_proprietary,TSS,Inflow
14,459063142_WI_proprietary,TSS,Inflow
42,459063142_WI_proprietary,TSS,Inflow
191,459063142_WI_proprietary,TSS,Inflow
5,459063142_WI_proprietary,TSS,Inflow
80,459063142_WI_proprietary,TSS,Inflow
102,459063142_WI_proprietary,TSS,Inflow
13,459063142_WI_proprietary,TSS,Inflow
14,459063142_WI_proprietary,TSS,Inflow
8,459063142_WI_proprietary,TSS,Inflow
24,459063142_WI_proprietary,TSS,Inflow
8,459063142_WI_proprietary,TSS,Inflow
41,459063142_WI_proprietary,TSS,Inflow
17,459063142_WI_proprietary,TSS,Inflow
23,459063142_WI_proprietary,TSS,Inflow
20,459063142_WI_proprietary,TSS,Inflow
15,459063142_WI_proprietary,TSS,Inflow
2,459063142_WI_proprietary,TSS,Inflow
26,459063142_WI_proprietary,TSS,Inflow
5,459063142_WI_proprietary,TSS,Inflow
2,459063142_WI_proprietary,TSS,Inflow
11,459063142_WI_proprietary,TSS,Inflow
8,459063142_WI_proprietary,TSS,Inflow
6,459063142_WI_proprietary,TSS,Inflow
20,459063142_WI_proprietary,TSS,Inflow
40,459063142_WI_proprietary,TSS,Inflow
66,459063142_WI_proprietary,TSS,Inflow
15,459063142_WI_proprietary,TSS,Inflow
18,459063142_WI_proprietary,TSS,Inflow
4,459063142_WI_proprietary,TSS,Inflow
3,459063142_WI_proprietary,TSS,Inflow
18,459063142_WI_proprietary,TSS,Inflow
40,459063142_WI_proprietary,TSS,Inflow
10,459063142_WI_proprietary,TSS,Inflow
15,459063142_WI_proprietary,TSS,Inflow
6,459063142_WI_proprietary,TSS,Inflow
