EMC,Location,Analyte,Flow
8,459063142_WI_proprietary,TSS,Outflow
7,459063142_WI_proprietary,TSS,Outflow
27,459063142_WI_proprietary,TSS,Outflow
45,459063142_WI_proprietary,TSS,Outflow
13,459063142_WI_proprietary,TSS,Outflow
13,459063142_WI_proprietary,TSS,Outflow
45,459063142_WI_proprietary,TSS,Outflow
26,459063142_WI_proprietary,TSS,Outflow
20,459063142_WI_proprietary,TSS,Outflow
12,459063142_WI_proprietary,TSS,Outflow
25,459063142_WI_proprietary,TSS,Outflow
3,459063142_WI_proprietary,TSS,Outflow
2,459063142_WI_proprietary,TSS,Outflow
12,459063142_WI_proprietary,TSS,Outflow
34,459063142_WI_proprietary,TSS,Outflow
8,459063142_WI_proprietary,TSS,Outflow
8,459063142_WI_proprietary,TSS,Outflow
6,459063142_WI_proprietary,TSS,Outflow
19,459063142_WI_proprietary,TSS,Outflow
4,459063142_WI_proprietary,TSS,Outflow
33,459063142_WI_proprietary,TSS,Outflow
16,459063142_WI_proprietary,TSS,Outflow
17,459063142_WI_proprietary,TSS,Outflow
7,459063142_WI_proprietary,TSS,Outflow
16,459063142_WI_proprietary,TSS,Outflow
4,459063142_WI_proprietary,TSS,Outflow
24,459063142_WI_proprietary,TSS,Outflow
5,459063142_WI_proprietary,TSS,Outflow
2,459063142_WI_proprietary,TSS,Outflow
7,459063142_WI_proprietary,TSS,Outflow
4,459063142_WI_proprietary,TSS,Outflow
5,459063142_WI_proprietary,TSS,Outflow
15,459063142_WI_proprietary,TSS,Outflow
38,459063142_WI_proprietary,TSS,Outflow
50,459063142_WI_proprietary,TSS,Outflow
14,459063142_WI_proprietary,TSS,Outflow
22,459063142_WI_proprietary,TSS,Outflow
2,459063142_WI_proprietary,TSS,Outflow
2,459063142_WI_proprietary,TSS,Outflow
12,459063142_WI_proprietary,TSS,Outflow
23,459063142_WI_proprietary,TSS,Outflow
5,459063142_WI_proprietary,TSS,Outflow
13,459063142_WI_proprietary,TSS,Outflow
7,459063142_WI_proprietary,TSS,Outflow
