EMC,Location,Analyte,Flow
0.2599999904632568,526858588_CO,Phosphorus,Outflow
0.1000000014901161,526858588_CO,Phosphorus,Outflow
0.05999999865889549,526858588_CO,Phosphorus,Outflow
0.01499999966472387,526858588_CO,Phosphorus,Outflow
0.03999999910593033,526858588_CO,Phosphorus,Outflow
0.119999997317791,526858588_CO,Phosphorus,Outflow
0.1299999952316284,526858588_CO,Phosphorus,Outflow
0.4099999964237213,526858588_CO,Phosphorus,Outflow
0.05000000074505806,526858588_CO,Phosphorus,Outflow
0.800000011920929,526858588_CO,Phosphorus,Outflow
0.05999999865889549,526858588_CO,Phosphorus,Outflow
0.05000000074505806,526858588_CO,Phosphorus,Outflow
0.07000000029802322,526858588_CO,Phosphorus,Outflow
0.2599999904632568,526858588_CO,Phosphorus,Outflow
0.03999999910593033,526858588_CO,Phosphorus,Outflow
0.07000000029802322,526858588_CO,Phosphorus,Outflow
0.07999999821186066,526858588_CO,Phosphorus,Outflow
0.3600000143051147,526858588_CO,Phosphorus,Outflow
1.659999966621399,526858588_CO,Phosphorus,Outflow
0.6600000262260437,526858588_CO,Phosphorus,Outflow
0.03999999910593033,526858588_CO,Phosphorus,Outflow
0.07500000298023224,526858588_CO,Phosphorus,Outflow
0.05999999865889549,526858588_CO,Phosphorus,Outflow
0.2300000041723251,526858588_CO,Phosphorus,Outflow
0.01999999955296516,526858588_CO,Phosphorus,Outflow
0.1000000014901161,526858588_CO,Phosphorus,Outflow
0.03999999910593033,526858588_CO,Phosphorus,Outflow
0.1099999994039536,526858588_CO,Phosphorus,Outflow
0.07000000029802322,526858588_CO,Phosphorus,Outflow
0.09000000357627869,526858588_CO,Phosphorus,Outflow
0.07500000298023224,526858588_CO,Phosphorus,Outflow
0.1000000014901161,526858588_CO,Phosphorus,Outflow
0.08100000023841858,526858588_CO,Phosphorus,Outflow
0.2060000002384186,526858588_CO,Phosphorus,Outflow
0.02300000004470348,526858588_CO,Phosphorus,Outflow
0.02300000004470348,526858588_CO,Phosphorus,Outflow
0.009999999776482582,526858588_CO,Phosphorus,Outflow
0.136000007390976,526858588_CO,Phosphorus,Outflow
0.07400000095367432,526858588_CO,Phosphorus,Outflow
0.1289999932050705,526858588_CO,Phosphorus,Outflow
0.1449999958276749,526858588_CO,Phosphorus,Outflow
0.1679999977350235,526858588_CO,Phosphorus,Outflow
0.1679999977350235,526858588_CO,Phosphorus,Outflow
0.009999999776482582,526858588_CO,Phosphorus,Outflow
0.06100000068545341,526858588_CO,Phosphorus,Outflow
0.1220000013709068,526858588_CO,Phosphorus,Outflow
0.2899999916553497,526858588_CO,Phosphorus,Outflow
0.06800000369548798,526858588_CO,Phosphorus,Outflow
0.2820000052452087,526858588_CO,Phosphorus,Outflow
0.7739999890327454,526858588_CO,Phosphorus,Outflow
0.3129999935626984,526858588_CO,Phosphorus,Outflow
0.2090000063180923,526858588_CO,Phosphorus,Outflow
0.09799999743700027,526858588_CO,Phosphorus,Outflow
0.07400000095367432,526858588_CO,Phosphorus,Outflow
0.1000000014901161,526858588_CO,Phosphorus,Outflow
0.296999990940094,526858588_CO,Phosphorus,Outflow
0.2220000028610229,526858588_CO,Phosphorus,Outflow
0.1389999985694885,526858588_CO,Phosphorus,Outflow
0.1260000020265579,526858588_CO,Phosphorus,Outflow
0.09000000357627869,526858588_CO,Phosphorus,Outflow
0.9300000071525574,526858588_CO,Phosphorus,Outflow
0.2800000011920929,526858588_CO,Phosphorus,Outflow
0.1299999952316284,526858588_CO,Phosphorus,Outflow
0.1000000014901161,526858588_CO,Phosphorus,Outflow
0.1000000014901161,526858588_CO,Phosphorus,Outflow
0.07999999821186066,526858588_CO,Phosphorus,Outflow
0.05000000074505806,526858588_CO,Phosphorus,Outflow
0.300000011920929,526858588_CO,Phosphorus,Outflow
0.07999999821186066,526858588_CO,Phosphorus,Outflow
0.05999999865889549,526858588_CO,Phosphorus,Outflow
0.07000000029802322,526858588_CO,Phosphorus,Outflow
0.1400000005960464,526858588_CO,Phosphorus,Outflow
0.07999999821186066,526858588_CO,Phosphorus,Outflow
0.1400000005960464,526858588_CO,Phosphorus,Outflow
0.1599999964237213,526858588_CO,Phosphorus,Outflow
0.05000000074505806,526858588_CO,Phosphorus,Outflow
0.07999999821186066,526858588_CO,Phosphorus,Outflow
0.1099999994039536,526858588_CO,Phosphorus,Outflow
0.1500000059604645,526858588_CO,Phosphorus,Outflow
0.1299999952316284,526858588_CO,Phosphorus,Outflow
0.119999997317791,526858588_CO,Phosphorus,Outflow
0.05000000074505806,526858588_CO,Phosphorus,Outflow
0.05999999865889549,526858588_CO,Phosphorus,Outflow
0.1400000005960464,526858588_CO,Phosphorus,Outflow
0.01999999955296516,526858588_CO,Phosphorus,Outflow
0.05000000074505806,526858588_CO,Phosphorus,Outflow
0.09000000357627869,526858588_CO,Phosphorus,Outflow
0.1500000059604645,526858588_CO,Phosphorus,Outflow
0.119999997317791,526858588_CO,Phosphorus,Outflow
0.09000000357627869,526858588_CO,Phosphorus,Outflow
