EMC,Location,Analyte,Flow
156.0,526858588_CO,TSS,Outflow
129.0,526858588_CO,TSS,Outflow
58.0,526858588_CO,TSS,Outflow
35.0,526858588_CO,TSS,Outflow
38.0,526858588_CO,TSS,Outflow
22.0,526858588_CO,TSS,Outflow
134.0,526858588_CO,TSS,Outflow
308.0,526858588_CO,TSS,Outflow
226.0,526858588_CO,TSS,Outflow
87.0,526858588_CO,TSS,Outflow
7.0,526858588_CO,TSS,Outflow
16.0,526858588_CO,TSS,Outflow
0.5,526858588_CO,TSS,Outflow
0.5,526858588_CO,TSS,Outflow
13.0,526858588_CO,TSS,Outflow
85.0,526858588_CO,TSS,Outflow
29.0,526858588_CO,TSS,Outflow
16.0,526858588_CO,TSS,Outflow
17.0,526858588_CO,TSS,Outflow
16.0,526858588_CO,TSS,Outflow
5.0,526858588_CO,TSS,Outflow
63.0,526858588_CO,TSS,Outflow
8.0,526858588_CO,TSS,Outflow
8.0,526858588_CO,TSS,Outflow
21.0,526858588_CO,TSS,Outflow
40.0,526858588_CO,TSS,Outflow
50.0,526858588_CO,TSS,Outflow
20.0,526858588_CO,TSS,Outflow
30.0,526858588_CO,TSS,Outflow
22.0,526858588_CO,TSS,Outflow
10.0,526858588_CO,TSS,Outflow
41.0,526858588_CO,TSS,Outflow
40.0,526858588_CO,TSS,Outflow
121.0,526858588_CO,TSS,Outflow
115.0,526858588_CO,TSS,Outflow
57.0,526858588_CO,TSS,Outflow
59.5,526858588_CO,TSS,Outflow
89.5,526858588_CO,TSS,Outflow
455.0,526858588_CO,TSS,Outflow
143.0,526858588_CO,TSS,Outflow
46.0,526858588_CO,TSS,Outflow
54.0,526858588_CO,TSS,Outflow
303.0,526858588_CO,TSS,Outflow
278.0,526858588_CO,TSS,Outflow
44.5,526858588_CO,TSS,Outflow
165.0,526858588_CO,TSS,Outflow
54.0,526858588_CO,TSS,Outflow
37.0,526858588_CO,TSS,Outflow
26.0,526858588_CO,TSS,Outflow
297.0,526858588_CO,TSS,Outflow
62.0,526858588_CO,TSS,Outflow
35.0,526858588_CO,TSS,Outflow
33.0,526858588_CO,TSS,Outflow
130.0,526858588_CO,TSS,Outflow
518.0,526858588_CO,TSS,Outflow
