EMC,Location,Analyte,Flow
0.22,6_AZMCA005,Phosphorus,Inflow
0.16,6_AZMCA005,Phosphorus,Inflow
0.38,6_AZMCA005,Phosphorus,Inflow
0.8,6_AZMCA005,Phosphorus,Inflow
0.75,6_AZMCA005,Phosphorus,Inflow
1.0,6_AZMCA005,Phosphorus,Inflow
0.44,6_AZMCA005,Phosphorus,Inflow
0.59,6_AZMCA005,Phosphorus,Inflow
0.48,6_AZMCA005,Phosphorus,Inflow
0.61,6_AZMCA005,Phosphorus,Inflow
0.53,6_AZMCA005,Phosphorus,Inflow
0.32,6_AZMCA005,Phosphorus,Inflow
0.83,6_AZMCA005,Phosphorus,Inflow
0.76,6_AZMCA005,Phosphorus,Inflow
0.37,6_AZMCA005,Phosphorus,Inflow
0.66,6_AZMCA005,Phosphorus,Inflow
0.36,6_AZMCA005,Phosphorus,Inflow
2.0,6_AZMCA005,Phosphorus,Inflow
0.71,6_AZMCA005,Phosphorus,Inflow
0.34,6_AZMCA005,Phosphorus,Inflow
0.21,6_AZMCA005,Phosphorus,Inflow
0.47,6_AZMCA005,Phosphorus,Inflow
0.92,6_AZMCA005,Phosphorus,Inflow
