EMC,Location,Analyte,Flow
0.28,6_CACTA002,Phosphorus,Inflow
0.1,6_CACTA002,Phosphorus,Inflow
0.13,6_CACTA002,Phosphorus,Inflow
0.13,6_CACTA002,Phosphorus,Inflow
0.06,6_CACTA002,Phosphorus,Inflow
0.12,6_CACTA002,Phosphorus,Inflow
0.13,6_CACTA002,Phosphorus,Inflow
0.14,6_CACTA002,Phosphorus,Inflow
0.34,6_CACTA002,Phosphorus,Inflow
0.08,6_CACTA002,Phosphorus,Inflow
0.23,6_CACTA002,Phosphorus,Inflow
0.18,6_CACTA002,Phosphorus,Inflow
0.29,6_CACTA002,Phosphorus,Inflow
0.24,6_CACTA002,Phosphorus,Inflow
0.25,6_CACTA002,Phosphorus,Inflow
0.28,6_CACTA002,Phosphorus,Inflow
