EMC,Location,Analyte,Flow
30.0,919103477_CA,TSS,Outflow
55.0,919103477_CA,TSS,Outflow
14.0,919103477_CA,TSS,Outflow
120.0,919103477_CA,TSS,Outflow
23.0,919103477_CA,TSS,Outflow
74.0,919103477_CA,TSS,Outflow
1.899999976158142,919103477_CA,TSS,Outflow
1200.0,919103477_CA,TSS,Outflow
77.0,919103477_CA,TSS,Outflow
74.0,919103477_CA,TSS,Outflow
130.0,919103477_CA,TSS,Outflow
97.0,919103477_CA,TSS,Outflow
54.0,919103477_CA,TSS,Outflow
65.0,919103477_CA,TSS,Outflow
73.0,919103477_CA,TSS,Outflow
57.0,919103477_CA,TSS,Outflow
35.0,919103477_CA,TSS,Outflow
79.0,919103477_CA,TSS,Outflow
110.0,919103477_CA,TSS,Outflow
110.0,919103477_CA,TSS,Outflow
89.0,919103477_CA,TSS,Outflow
200.0,919103477_CA,TSS,Outflow
84.0,919103477_CA,TSS,Outflow
160.0,919103477_CA,TSS,Outflow
1200.0,919103477_CA,TSS,Outflow
52.0,919103477_CA,TSS,Outflow
36.0,919103477_CA,TSS,Outflow
98.0,919103477_CA,TSS,Outflow
24.0,919103477_CA,TSS,Outflow
28.0,919103477_CA,TSS,Outflow
74.0,919103477_CA,TSS,Outflow
72.0,919103477_CA,TSS,Outflow
28.0,919103477_CA,TSS,Outflow
72.0,919103477_CA,TSS,Outflow
140.0,919103477_CA,TSS,Outflow
89.0,919103477_CA,TSS,Outflow
61.0,919103477_CA,TSS,Outflow
1.0,919103477_CA,TSS,Outflow
150.0,919103477_CA,TSS,Outflow
67.0,919103477_CA,TSS,Outflow
36.0,919103477_CA,TSS,Outflow
48.0,919103477_CA,TSS,Outflow
500.0,919103477_CA,TSS,Outflow
140.0,919103477_CA,TSS,Outflow
92.0,919103477_CA,TSS,Outflow
69.0,919103477_CA,TSS,Outflow
290.0,919103477_CA,TSS,Outflow
66.0,919103477_CA,TSS,Outflow
21.0,919103477_CA,TSS,Outflow
64.0,919103477_CA,TSS,Outflow
0.5,919103477_CA,TSS,Outflow
84.0,919103477_CA,TSS,Outflow
43.0,919103477_CA,TSS,Outflow
