EMC,Location,Analyte,Flow
198.0,920048328_VA,TSS,Inflow
356.0,920048328_VA,TSS,Inflow
5.199999809265137,920048328_VA,TSS,Inflow
73.0,920048328_VA,TSS,Inflow
108.0,920048328_VA,TSS,Inflow
34.0,920048328_VA,TSS,Inflow
131.0,920048328_VA,TSS,Inflow
26.0,920048328_VA,TSS,Inflow
42.0,920048328_VA,TSS,Inflow
30.0,920048328_VA,TSS,Inflow
19.36491012573242,920048328_VA,TSS,Inflow
19.20000076293945,920048328_VA,TSS,Inflow
12.80000019073486,920048328_VA,TSS,Inflow
50.0,920048328_VA,TSS,Inflow
66.0,920048328_VA,TSS,Inflow
15.0,920048328_VA,TSS,Inflow
62.0,920048328_VA,TSS,Inflow
8.0,920048328_VA,TSS,Inflow
77.78079223632812,920048328_VA,TSS,Inflow
93.0,920048328_VA,TSS,Inflow
65.0,920048328_VA,TSS,Inflow
16.0,920048328_VA,TSS,Inflow
73.69303894042969,920048328_VA,TSS,Inflow
44.0,920048328_VA,TSS,Inflow
34.0,920048328_VA,TSS,Inflow
46.0,920048328_VA,TSS,Inflow
24.11967086791992,920048328_VA,TSS,Inflow
57.0,920048328_VA,TSS,Inflow
42.0,920048328_VA,TSS,Inflow
16.79999923706055,920048328_VA,TSS,Inflow
46.73318862915039,920048328_VA,TSS,Inflow
60.0,920048328_VA,TSS,Inflow
29.0,920048328_VA,TSS,Inflow
268.0,920048328_VA,TSS,Inflow
51.52104949951172,920048328_VA,TSS,Inflow
67.0,920048328_VA,TSS,Inflow
18.39999961853027,920048328_VA,TSS,Inflow
86.0,920048328_VA,TSS,Inflow
40.0,920048328_VA,TSS,Inflow
12.0,920048328_VA,TSS,Inflow
105.0,920048328_VA,TSS,Inflow
9.600000381469727,920048328_VA,TSS,Inflow
3.200000047683716,920048328_VA,TSS,Inflow
51.32791900634766,920048328_VA,TSS,Inflow
107.0,920048328_VA,TSS,Inflow
37.0,920048328_VA,TSS,Inflow
25.0,920048328_VA,TSS,Inflow
40.77441024780273,920048328_VA,TSS,Inflow
74.0,920048328_VA,TSS,Inflow
58.95764923095703,920048328_VA,TSS,Inflow
200.6255950927734,920048328_VA,TSS,Inflow
42.0,920048328_VA,TSS,Inflow
36.0,920048328_VA,TSS,Inflow
10.39999961853027,920048328_VA,TSS,Inflow
41.70616912841797,920048328_VA,TSS,Inflow
4.0,920048328_VA,TSS,Inflow
91.0,920048328_VA,TSS,Inflow
45.0,920048328_VA,TSS,Inflow
11.60000038146973,920048328_VA,TSS,Inflow
7.199999809265137,920048328_VA,TSS,Inflow
79.0,920048328_VA,TSS,Inflow
2.799999952316284,920048328_VA,TSS,Inflow
18.07871055603027,920048328_VA,TSS,Inflow
78.0,920048328_VA,TSS,Inflow
320.9517822265625,920048328_VA,TSS,Inflow
19.60000038146973,920048328_VA,TSS,Inflow
20.39999961853027,920048328_VA,TSS,Inflow
122.0389633178711,920048328_VA,TSS,Inflow
167.0,920048328_VA,TSS,Inflow
61.01826095581055,920048328_VA,TSS,Inflow
198.961669921875,920048328_VA,TSS,Inflow
21.6022891998291,920048328_VA,TSS,Inflow
57.0,920048328_VA,TSS,Inflow
17.20000076293945,920048328_VA,TSS,Inflow
107.0,920048328_VA,TSS,Inflow
55.0,920048328_VA,TSS,Inflow
7.946869850158691,920048328_VA,TSS,Inflow
41.0,920048328_VA,TSS,Inflow
61.67985916137695,920048328_VA,TSS,Inflow
5.199999809265137,920048328_VA,TSS,Inflow
75.57830047607422,920048328_VA,TSS,Inflow
46.0,920048328_VA,TSS,Inflow
84.0,920048328_VA,TSS,Inflow
331.0,920048328_VA,TSS,Inflow
30.0,920048328_VA,TSS,Inflow
8.399999618530273,920048328_VA,TSS,Inflow
64.0,920048328_VA,TSS,Inflow
244.0,920048328_VA,TSS,Inflow
28.00893974304199,920048328_VA,TSS,Inflow
9.0,920048328_VA,TSS,Inflow
142.617919921875,920048328_VA,TSS,Inflow
112.7693710327148,920048328_VA,TSS,Inflow
11.19999980926514,920048328_VA,TSS,Inflow
251.0,920048328_VA,TSS,Inflow
284.0,920048328_VA,TSS,Inflow
87.0,920048328_VA,TSS,Inflow
33.0,920048328_VA,TSS,Inflow
74.01708984375,920048328_VA,TSS,Inflow
22.79999923706055,920048328_VA,TSS,Inflow
9.550970077514648,920048328_VA,TSS,Inflow
12.80000019073486,920048328_VA,TSS,Inflow
32.0,920048328_VA,TSS,Inflow
230.0,920048328_VA,TSS,Inflow
21.60000038146973,920048328_VA,TSS,Inflow
20.79999923706055,920048328_VA,TSS,Inflow
7.599999904632568,920048328_VA,TSS,Inflow
157.0,920048328_VA,TSS,Inflow
16.0,920048328_VA,TSS,Inflow
20.39999961853027,920048328_VA,TSS,Inflow
23.57736968994141,920048328_VA,TSS,Inflow
30.0,920048328_VA,TSS,Inflow
131.7313537597656,920048328_VA,TSS,Inflow
16.26082038879395,920048328_VA,TSS,Inflow
182.0,920048328_VA,TSS,Inflow
20.55426025390625,920048328_VA,TSS,Inflow
165.0,920048328_VA,TSS,Inflow
7.599999904632568,920048328_VA,TSS,Inflow
9.199999809265137,920048328_VA,TSS,Inflow
98.32833099365234,920048328_VA,TSS,Inflow
93.15231323242188,920048328_VA,TSS,Inflow
22.5,920048328_VA,TSS,Inflow
28.84758949279785,920048328_VA,TSS,Inflow
78.0,920048328_VA,TSS,Inflow
138.3143615722656,920048328_VA,TSS,Inflow
28.0,920048328_VA,TSS,Inflow
318.0,920048328_VA,TSS,Inflow
218.0,920048328_VA,TSS,Inflow
26.0,920048328_VA,TSS,Inflow
11.06892013549805,920048328_VA,TSS,Inflow
246.0,920048328_VA,TSS,Inflow
10.80000019073486,920048328_VA,TSS,Inflow
102.0,920048328_VA,TSS,Inflow
257.2138977050781,920048328_VA,TSS,Inflow
158.0,920048328_VA,TSS,Inflow
31.0,920048328_VA,TSS,Inflow
30.0,920048328_VA,TSS,Inflow
42.0,920048328_VA,TSS,Inflow
41.1850700378418,920048328_VA,TSS,Inflow
92.0,920048328_VA,TSS,Inflow
9.600000381469727,920048328_VA,TSS,Inflow
27.0,920048328_VA,TSS,Inflow
158.0,920048328_VA,TSS,Inflow
78.38455200195312,920048328_VA,TSS,Inflow
44.0,920048328_VA,TSS,Inflow
22.79999923706055,920048328_VA,TSS,Inflow
