EMC,Location,Analyte,Flow,Run
3.700000047683716,-1242007014_CO,Copper,Inflow,1
20.0,-1242007014_CO,Copper,Inflow,1
2.599999904632568,-1242007014_CO,Copper,Inflow,1
4.099999904632568,-1242007014_CO,Copper,Inflow,1
5.860000133514404,-1242007014_CO,Copper,Inflow,1
8.0,-1242007014_CO,Copper,Inflow,1
5.699999809265137,-1242007014_CO,Copper,Inflow,1
4.300000190734863,-1242007014_CO,Copper,Inflow,1
4.199999809265137,-1242007014_CO,Copper,Inflow,1
2.599999904632568,-1242007014_CO,Copper,Inflow,1
3.599999904632568,-1242007014_CO,Copper,Inflow,1
5.869999885559082,-1242007014_CO,Copper,Inflow,1
15.5,-1242007014_CO,Copper,Inflow,1
3.5,-1242007014_CO,Copper,Inflow,1
5.699999809265137,-1242007014_CO,Copper,Inflow,1
2.200000047683716,-1242007014_CO,Copper,Inflow,1
5.199999809265137,-1242007014_CO,Copper,Inflow,1
14.60000038146973,-1242007014_CO,Copper,Inflow,1
8.100000381469727,-1242007014_CO,Copper,Inflow,1
7.300000190734863,-1242007014_CO,Copper,Inflow,1
1.0,-1242007014_CO,Copper,Inflow,2
1.0,-1242007014_CO,Copper,Inflow,2
3.700000047683716,-1242007014_CO,Copper,Inflow,2
7.300000190734863,-1242007014_CO,Copper,Inflow,2
4.599999904632568,-1242007014_CO,Copper,Inflow,2
5.199999809265137,-1242007014_CO,Copper,Inflow,2
3.900000095367432,-1242007014_CO,Copper,Inflow,2
2.400000095367432,-1242007014_CO,Copper,Inflow,2
3.099999904632568,-1242007014_CO,Copper,Inflow,2
6.199999809265137,-1242007014_CO,Copper,Inflow,2
5.869999885559082,-1242007014_CO,Copper,Inflow,2
8.0,-1242007014_CO,Copper,Inflow,2
3.700000047683716,-1242007014_CO,Copper,Inflow,2
29.20000076293945,-1242007014_CO,Copper,Inflow,2
14.60000038146973,-1242007014_CO,Copper,Inflow,2
40.0,-1242007014_CO,Copper,Inflow,2
3.099999904632568,-1242007014_CO,Copper,Inflow,2
2.200000047683716,-1242007014_CO,Copper,Inflow,2
13.60000038146973,-1242007014_CO,Copper,Inflow,2
5.860000133514404,-1242007014_CO,Copper,Inflow,2
