EMC,Location,Analyte,Flow,Run
15.39999961853027,-1242007014_CO,Copper,Outflow,1
2.799999952316284,-1242007014_CO,Copper,Outflow,1
6.930000305175781,-1242007014_CO,Copper,Outflow,1
3.0,-1242007014_CO,Copper,Outflow,1
2.299999952316284,-1242007014_CO,Copper,Outflow,1
8.34999942779541,-1242007014_CO,Copper,Outflow,1
2.200000047683716,-1242007014_CO,Copper,Outflow,1
3.599999904632568,-1242007014_CO,Copper,Outflow,1
13.5,-1242007014_CO,Copper,Outflow,1
3.099999904632568,-1242007014_CO,Copper,Outflow,1
3.200000047683716,-1242007014_CO,Copper,Outflow,1
10.30000019073486,-1242007014_CO,Copper,Outflow,1
3.400000095367432,-1242007014_CO,Copper,Outflow,1
2.799999952316284,-1242007014_CO,Copper,Outflow,1
2.599999904632568,-1242007014_CO,Copper,Outflow,1
2.599999904632568,-1242007014_CO,Copper,Outflow,1
4.400000095367432,-1242007014_CO,Copper,Outflow,1
3.900000095367432,-1242007014_CO,Copper,Outflow,1
2.5,-1242007014_CO,Copper,Outflow,1
2.5,-1242007014_CO,Copper,Outflow,1
5.0,-1242007014_CO,Copper,Outflow,1
3.400000095367432,-1242007014_CO,Copper,Outflow,1
3.099999904632568,-1242007014_CO,Copper,Outflow,1
2.5,-1242007014_CO,Copper,Outflow,1
2.700000047683716,-1242007014_CO,Copper,Outflow,1
2.599999904632568,-1242007014_CO,Copper,Outflow,2
5.400000095367432,-1242007014_CO,Copper,Outflow,2
13.5,-1242007014_CO,Copper,Outflow,2
2.5,-1242007014_CO,Copper,Outflow,2
2.799999952316284,-1242007014_CO,Copper,Outflow,2
3.099999904632568,-1242007014_CO,Copper,Outflow,2
3.700000047683716,-1242007014_CO,Copper,Outflow,2
6.029999732971191,-1242007014_CO,Copper,Outflow,2
3.900000095367432,-1242007014_CO,Copper,Outflow,2
3.400000095367432,-1242007014_CO,Copper,Outflow,2
3.599999904632568,-1242007014_CO,Copper,Outflow,2
28.39999961853027,-1242007014_CO,Copper,Outflow,2
5.199999809265137,-1242007014_CO,Copper,Outflow,2
3.400000095367432,-1242007014_CO,Copper,Outflow,2
3.0,-1242007014_CO,Copper,Outflow,2
3.400000095367432,-1242007014_CO,Copper,Outflow,2
3.099999904632568,-1242007014_CO,Copper,Outflow,2
2.799999952316284,-1242007014_CO,Copper,Outflow,2
2.799999952316284,-1242007014_CO,Copper,Outflow,2
3.900000095367432,-1242007014_CO,Copper,Outflow,2
2.900000095367432,-1242007014_CO,Copper,Outflow,2
2.599999904632568,-1242007014_CO,Copper,Outflow,2
1.0,-1242007014_CO,Copper,Outflow,2
5.0,-1242007014_CO,Copper,Outflow,2
8.34999942779541,-1242007014_CO,Copper,Outflow,2
3.099999904632568,-1242007014_CO,Copper,Outflow,3
3.400000095367432,-1242007014_CO,Copper,Outflow,3
2.299999952316284,-1242007014_CO,Copper,Outflow,3
4.400000095367432,-1242007014_CO,Copper,Outflow,3
3.5,-1242007014_CO,Copper,Outflow,3
5.0,-1242007014_CO,Copper,Outflow,3
3.700000047683716,-1242007014_CO,Copper,Outflow,3
8.34999942779541,-1242007014_CO,Copper,Outflow,3
6.029999732971191,-1242007014_CO,Copper,Outflow,3
2.700000047683716,-1242007014_CO,Copper,Outflow,3
2.5,-1242007014_CO,Copper,Outflow,3
3.099999904632568,-1242007014_CO,Copper,Outflow,3
2.799999952316284,-1242007014_CO,Copper,Outflow,3
2.200000047683716,-1242007014_CO,Copper,Outflow,3
2.5,-1242007014_CO,Copper,Outflow,3
3.400000095367432,-1242007014_CO,Copper,Outflow,3
2.5,-1242007014_CO,Copper,Outflow,3
2.799999952316284,-1242007014_CO,Copper,Outflow,3
5.199999809265137,-1242007014_CO,Copper,Outflow,3
28.39999961853027,-1242007014_CO,Copper,Outflow,3
3.900000095367432,-1242007014_CO,Copper,Outflow,3
1.0,-1242007014_CO,Copper,Outflow,3
5.400000095367432,-1242007014_CO,Copper,Outflow,3
2.799999952316284,-1242007014_CO,Copper,Outflow,3
3.5,-1242007014_CO,Copper,Outflow,3
5.400000095367432,-1242007014_CO,Copper,Outflow,4
3.700000047683716,-1242007014_CO,Copper,Outflow,4
3.099999904632568,-1242007014_CO,Copper,Outflow,4
5.199999809265137,-1242007014_CO,Copper,Outflow,4
2.799999952316284,-1242007014_CO,Copper,Outflow,4
4.400000095367432,-1242007014_CO,Copper,Outflow,4
3.400000095367432,-1242007014_CO,Copper,Outflow,4
10.30000019073486,-1242007014_CO,Copper,Outflow,4
3.400000095367432,-1242007014_CO,Copper,Outflow,4
2.5,-1242007014_CO,Copper,Outflow,4
3.400000095367432,-1242007014_CO,Copper,Outflow,4
3.0,-1242007014_CO,Copper,Outflow,4
3.099999904632568,-1242007014_CO,Copper,Outflow,4
2.799999952316284,-1242007014_CO,Copper,Outflow,4
2.900000095367432,-1242007014_CO,Copper,Outflow,4
2.599999904632568,-1242007014_CO,Copper,Outflow,4
3.0,-1242007014_CO,Copper,Outflow,4
3.900000095367432,-1242007014_CO,Copper,Outflow,4
3.900000095367432,-1242007014_CO,Copper,Outflow,4
13.5,-1242007014_CO,Copper,Outflow,4
3.200000047683716,-1242007014_CO,Copper,Outflow,4
12.10000038146973,-1242007014_CO,Copper,Outflow,4
2.599999904632568,-1242007014_CO,Copper,Outflow,4
6.029999732971191,-1242007014_CO,Copper,Outflow,4
2.5,-1242007014_CO,Copper,Outflow,4
3.400000095367432,-1242007014_CO,Copper,Outflow,5
2.5,-1242007014_CO,Copper,Outflow,5
3.900000095367432,-1242007014_CO,Copper,Outflow,5
2.5,-1242007014_CO,Copper,Outflow,5
3.900000095367432,-1242007014_CO,Copper,Outflow,5
3.099999904632568,-1242007014_CO,Copper,Outflow,5
3.200000047683716,-1242007014_CO,Copper,Outflow,5
3.0,-1242007014_CO,Copper,Outflow,5
3.400000095367432,-1242007014_CO,Copper,Outflow,5
3.0,-1242007014_CO,Copper,Outflow,5
2.799999952316284,-1242007014_CO,Copper,Outflow,5
2.299999952316284,-1242007014_CO,Copper,Outflow,5
3.0,-1242007014_CO,Copper,Outflow,5
3.900000095367432,-1242007014_CO,Copper,Outflow,5
3.700000047683716,-1242007014_CO,Copper,Outflow,5
5.199999809265137,-1242007014_CO,Copper,Outflow,5
5.400000095367432,-1242007014_CO,Copper,Outflow,5
3.5,-1242007014_CO,Copper,Outflow,5
3.5,-1242007014_CO,Copper,Outflow,5
3.599999904632568,-1242007014_CO,Copper,Outflow,5
5.0,-1242007014_CO,Copper,Outflow,5
2.5,-1242007014_CO,Copper,Outflow,5
6.029999732971191,-1242007014_CO,Copper,Outflow,5
8.34999942779541,-1242007014_CO,Copper,Outflow,5
13.5,-1242007014_CO,Copper,Outflow,5
2.799999952316284,-1242007014_CO,Copper,Outflow,6
10.30000019073486,-1242007014_CO,Copper,Outflow,6
3.099999904632568,-1242007014_CO,Copper,Outflow,6
15.39999961853027,-1242007014_CO,Copper,Outflow,6
2.900000095367432,-1242007014_CO,Copper,Outflow,6
2.799999952316284,-1242007014_CO,Copper,Outflow,6
3.0,-1242007014_CO,Copper,Outflow,6
3.5,-1242007014_CO,Copper,Outflow,6
2.799999952316284,-1242007014_CO,Copper,Outflow,6
5.400000095367432,-1242007014_CO,Copper,Outflow,6
2.700000047683716,-1242007014_CO,Copper,Outflow,6
13.5,-1242007014_CO,Copper,Outflow,6
3.0,-1242007014_CO,Copper,Outflow,6
3.900000095367432,-1242007014_CO,Copper,Outflow,6
6.029999732971191,-1242007014_CO,Copper,Outflow,6
3.900000095367432,-1242007014_CO,Copper,Outflow,6
2.200000047683716,-1242007014_CO,Copper,Outflow,6
3.099999904632568,-1242007014_CO,Copper,Outflow,6
12.10000038146973,-1242007014_CO,Copper,Outflow,6
3.400000095367432,-1242007014_CO,Copper,Outflow,6
5.199999809265137,-1242007014_CO,Copper,Outflow,6
3.400000095367432,-1242007014_CO,Copper,Outflow,6
2.5,-1242007014_CO,Copper,Outflow,6
2.5,-1242007014_CO,Copper,Outflow,6
2.599999904632568,-1242007014_CO,Copper,Outflow,6
3.5,-1242007014_CO,Copper,Outflow,7
3.700000047683716,-1242007014_CO,Copper,Outflow,7
2.5,-1242007014_CO,Copper,Outflow,7
2.200000047683716,-1242007014_CO,Copper,Outflow,7
10.30000019073486,-1242007014_CO,Copper,Outflow,7
3.099999904632568,-1242007014_CO,Copper,Outflow,7
2.599999904632568,-1242007014_CO,Copper,Outflow,7
3.599999904632568,-1242007014_CO,Copper,Outflow,7
3.200000047683716,-1242007014_CO,Copper,Outflow,7
6.029999732971191,-1242007014_CO,Copper,Outflow,7
2.900000095367432,-1242007014_CO,Copper,Outflow,7
2.799999952316284,-1242007014_CO,Copper,Outflow,7
2.799999952316284,-1242007014_CO,Copper,Outflow,7
5.400000095367432,-1242007014_CO,Copper,Outflow,7
5.199999809265137,-1242007014_CO,Copper,Outflow,7
3.0,-1242007014_CO,Copper,Outflow,7
3.400000095367432,-1242007014_CO,Copper,Outflow,7
2.5,-1242007014_CO,Copper,Outflow,7
3.400000095367432,-1242007014_CO,Copper,Outflow,7
2.799999952316284,-1242007014_CO,Copper,Outflow,7
3.0,-1242007014_CO,Copper,Outflow,7
5.0,-1242007014_CO,Copper,Outflow,7
4.400000095367432,-1242007014_CO,Copper,Outflow,7
2.700000047683716,-1242007014_CO,Copper,Outflow,7
2.599999904632568,-1242007014_CO,Copper,Outflow,7
3.099999904632568,-1242007014_CO,Copper,Outflow,8
15.39999961853027,-1242007014_CO,Copper,Outflow,8
13.5,-1242007014_CO,Copper,Outflow,8
