EMC,Location,Analyte,Flow,Run
18,-1242007014_CO,TSS,Inflow,1
18,-1242007014_CO,TSS,Inflow,1
7,-1242007014_CO,TSS,Inflow,1
58,-1242007014_CO,TSS,Inflow,1
180,-1242007014_CO,TSS,Inflow,1
18,-1242007014_CO,TSS,Inflow,2
89,-1242007014_CO,TSS,Inflow,2
103,-1242007014_CO,TSS,Inflow,2
39,-1242007014_CO,TSS,Inflow,2
232,-1242007014_CO,TSS,Inflow,2
232,-1242007014_CO,TSS,Inflow,3
40,-1242007014_CO,TSS,Inflow,3
180,-1242007014_CO,TSS,Inflow,3
7,-1242007014_CO,TSS,Inflow,3
89,-1242007014_CO,TSS,Inflow,3
232,-1242007014_CO,TSS,Inflow,4
180,-1242007014_CO,TSS,Inflow,4
8,-1242007014_CO,TSS,Inflow,4
103,-1242007014_CO,TSS,Inflow,4
176,-1242007014_CO,TSS,Inflow,4
180,-1242007014_CO,TSS,Inflow,5
40,-1242007014_CO,TSS,Inflow,5
18,-1242007014_CO,TSS,Inflow,5
42,-1242007014_CO,TSS,Inflow,5
8,-1242007014_CO,TSS,Inflow,5
8,-1242007014_CO,TSS,Inflow,6
103,-1242007014_CO,TSS,Inflow,6
18,-1242007014_CO,TSS,Inflow,6
58,-1242007014_CO,TSS,Inflow,6
52,-1242007014_CO,TSS,Inflow,6
8,-1242007014_CO,TSS,Inflow,7
58,-1242007014_CO,TSS,Inflow,7
103,-1242007014_CO,TSS,Inflow,7
89,-1242007014_CO,TSS,Inflow,7
52,-1242007014_CO,TSS,Inflow,7
176,-1242007014_CO,TSS,Inflow,8
39,-1242007014_CO,TSS,Inflow,8
7,-1242007014_CO,TSS,Inflow,8
18,-1242007014_CO,TSS,Inflow,8
18,-1242007014_CO,TSS,Inflow,8
18,-1242007014_CO,TSS,Inflow,9
180,-1242007014_CO,TSS,Inflow,9
89,-1242007014_CO,TSS,Inflow,9
39,-1242007014_CO,TSS,Inflow,9
58,-1242007014_CO,TSS,Inflow,9
58,-1242007014_CO,TSS,Inflow,10
180,-1242007014_CO,TSS,Inflow,10
40,-1242007014_CO,TSS,Inflow,10
52,-1242007014_CO,TSS,Inflow,10
8,-1242007014_CO,TSS,Inflow,10
8,-1242007014_CO,TSS,Inflow,11
18,-1242007014_CO,TSS,Inflow,11
52,-1242007014_CO,TSS,Inflow,11
89,-1242007014_CO,TSS,Inflow,11
39,-1242007014_CO,TSS,Inflow,11
7,-1242007014_CO,TSS,Inflow,12
180,-1242007014_CO,TSS,Inflow,12
52,-1242007014_CO,TSS,Inflow,12
103,-1242007014_CO,TSS,Inflow,12
232,-1242007014_CO,TSS,Inflow,12
18,-1242007014_CO,TSS,Inflow,13
39,-1242007014_CO,TSS,Inflow,13
42,-1242007014_CO,TSS,Inflow,13
8,-1242007014_CO,TSS,Inflow,13
103,-1242007014_CO,TSS,Inflow,13
18,-1242007014_CO,TSS,Inflow,14
176,-1242007014_CO,TSS,Inflow,14
52,-1242007014_CO,TSS,Inflow,14
39,-1242007014_CO,TSS,Inflow,14
103,-1242007014_CO,TSS,Inflow,14
58,-1242007014_CO,TSS,Inflow,15
42,-1242007014_CO,TSS,Inflow,15
7,-1242007014_CO,TSS,Inflow,15
180,-1242007014_CO,TSS,Inflow,15
52,-1242007014_CO,TSS,Inflow,15
8,-1242007014_CO,TSS,Inflow,16
103,-1242007014_CO,TSS,Inflow,16
52,-1242007014_CO,TSS,Inflow,16
39,-1242007014_CO,TSS,Inflow,16
232,-1242007014_CO,TSS,Inflow,16
89,-1242007014_CO,TSS,Inflow,17
180,-1242007014_CO,TSS,Inflow,17
