EMC,Location,Analyte,Flow,Run
131.0,-1290174122_FL,TSS,Inflow,1
24.39999961853027,-1290174122_FL,TSS,Inflow,1
87.0,-1290174122_FL,TSS,Inflow,1
55.40000152587891,-1290174122_FL,TSS,Inflow,1
29.20000076293945,-1290174122_FL,TSS,Inflow,1
8.5,-1290174122_FL,TSS,Inflow,1
6.699999809265137,-1290174122_FL,TSS,Inflow,1
104.0,-1290174122_FL,TSS,Inflow,1
4.0,-1290174122_FL,TSS,Inflow,1
196.0,-1290174122_FL,TSS,Inflow,1
89.9000015258789,-1290174122_FL,TSS,Inflow,1
4.400000095367432,-1290174122_FL,TSS,Inflow,1
28.39999961853027,-1290174122_FL,TSS,Inflow,1
8.0,-1290174122_FL,TSS,Inflow,1
9.800000190734863,-1290174122_FL,TSS,Inflow,1
2.0,-1290174122_FL,TSS,Inflow,1
72.0,-1290174122_FL,TSS,Inflow,1
20.60000038146973,-1290174122_FL,TSS,Inflow,1
97.0,-1290174122_FL,TSS,Inflow,1
132.0,-1290174122_FL,TSS,Inflow,1
131.0,-1290174122_FL,TSS,Inflow,2
3.0,-1290174122_FL,TSS,Inflow,2
49.90000152587891,-1290174122_FL,TSS,Inflow,2
185.0,-1290174122_FL,TSS,Inflow,2
12.0,-1290174122_FL,TSS,Inflow,2
52.79999923706055,-1290174122_FL,TSS,Inflow,2
129.0,-1290174122_FL,TSS,Inflow,2
12.0,-1290174122_FL,TSS,Inflow,2
28.0,-1290174122_FL,TSS,Inflow,2
1.0,-1290174122_FL,TSS,Inflow,2
132.0,-1290174122_FL,TSS,Inflow,2
1.0,-1290174122_FL,TSS,Inflow,2
46.0,-1290174122_FL,TSS,Inflow,2
7.699999809265137,-1290174122_FL,TSS,Inflow,2
5.400000095367432,-1290174122_FL,TSS,Inflow,2
16.0,-1290174122_FL,TSS,Inflow,2
180.0,-1290174122_FL,TSS,Inflow,2
204.0,-1290174122_FL,TSS,Inflow,2
592.0,-1290174122_FL,TSS,Inflow,2
146.5,-1290174122_FL,TSS,Inflow,2
12.0,-1290174122_FL,TSS,Inflow,3
22.0,-1290174122_FL,TSS,Inflow,3
69.0,-1290174122_FL,TSS,Inflow,3
13.0,-1290174122_FL,TSS,Inflow,3
