EMC,Location,Analyte,Flow,Run
1.25,-986553804_PA,Copper,Outflow,1
0.8615000247955322,-986553804_PA,Copper,Outflow,1
3.905247211456299,-986553804_PA,Copper,Outflow,1
1.125,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
5.170000076293945,-986553804_PA,Copper,Outflow,2
4.840000152587891,-986553804_PA,Copper,Outflow,2
1.125,-986553804_PA,Copper,Outflow,2
9.0,-986553804_PA,Copper,Outflow,2
19.05999946594238,-986553804_PA,Copper,Outflow,2
2.505000114440918,-986553804_PA,Copper,Outflow,3
19.05999946594238,-986553804_PA,Copper,Outflow,3
4.840000152587891,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
36.86999893188477,-986553804_PA,Copper,Outflow,3
36.86999893188477,-986553804_PA,Copper,Outflow,4
0.8615000247955322,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,4
8.739999771118164,-986553804_PA,Copper,Outflow,4
1.125,-986553804_PA,Copper,Outflow,4
0.8615000247955322,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
6.800424098968506,-986553804_PA,Copper,Outflow,5
6.110000133514404,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
6.110000133514404,-986553804_PA,Copper,Outflow,6
56.03219985961914,-986553804_PA,Copper,Outflow,6
9.0,-986553804_PA,Copper,Outflow,6
12.63000011444092,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
56.03219985961914,-986553804_PA,Copper,Outflow,7
8.739999771118164,-986553804_PA,Copper,Outflow,7
1.125,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,8
12.63000011444092,-986553804_PA,Copper,Outflow,8
6.800424098968506,-986553804_PA,Copper,Outflow,8
1.25,-986553804_PA,Copper,Outflow,8
9.0,-986553804_PA,Copper,Outflow,8
1.25,-986553804_PA,Copper,Outflow,9
0.8615000247955322,-986553804_PA,Copper,Outflow,9
1.25,-986553804_PA,Copper,Outflow,9
1.25,-986553804_PA,Copper,Outflow,9
6.800424098968506,-986553804_PA,Copper,Outflow,9
36.86999893188477,-986553804_PA,Copper,Outflow,10
0.8615000247955322,-986553804_PA,Copper,Outflow,10
6.800424098968506,-986553804_PA,Copper,Outflow,10
1.25,-986553804_PA,Copper,Outflow,10
12.63000011444092,-986553804_PA,Copper,Outflow,10
1.25,-986553804_PA,Copper,Outflow,11
1.125,-986553804_PA,Copper,Outflow,11
19.05999946594238,-986553804_PA,Copper,Outflow,11
8.739999771118164,-986553804_PA,Copper,Outflow,11
1.25,-986553804_PA,Copper,Outflow,11
9.0,-986553804_PA,Copper,Outflow,12
1.25,-986553804_PA,Copper,Outflow,12
4.840000152587891,-986553804_PA,Copper,Outflow,12
6.110000133514404,-986553804_PA,Copper,Outflow,12
1.25,-986553804_PA,Copper,Outflow,12
1.25,-986553804_PA,Copper,Outflow,13
19.05999946594238,-986553804_PA,Copper,Outflow,13
