EMC,Location,Analyte,Flow,Run
35.22666931152344,1601357644_FL,TSS,Inflow,1
80.96299743652344,1601357644_FL,TSS,Inflow,1
42.09999847412109,1601357644_FL,TSS,Inflow,1
35.20000076293945,1601357644_FL,TSS,Inflow,1
49.93000030517578,1601357644_FL,TSS,Inflow,1
91.0,1601357644_FL,TSS,Inflow,1
4.889999866485596,1601357644_FL,TSS,Inflow,1
63.07099914550781,1601357644_FL,TSS,Inflow,1
19.0,1601357644_FL,TSS,Inflow,1
13.0,1601357644_FL,TSS,Inflow,1
23.0,1601357644_FL,TSS,Inflow,2
46.0,1601357644_FL,TSS,Inflow,2
65.41000366210938,1601357644_FL,TSS,Inflow,2
4.889999866485596,1601357644_FL,TSS,Inflow,2
32.0,1601357644_FL,TSS,Inflow,2
12.0,1601357644_FL,TSS,Inflow,2
34.0,1601357644_FL,TSS,Inflow,2
13.19999980926514,1601357644_FL,TSS,Inflow,2
46.69839859008789,1601357644_FL,TSS,Inflow,2
42.09999847412109,1601357644_FL,TSS,Inflow,2
14.0,1601357644_FL,TSS,Inflow,3
21.65500068664551,1601357644_FL,TSS,Inflow,3
18.10000038146973,1601357644_FL,TSS,Inflow,3
9.6899995803833,1601357644_FL,TSS,Inflow,3
22.68000030517578,1601357644_FL,TSS,Inflow,3
38.0,1601357644_FL,TSS,Inflow,3
80.96299743652344,1601357644_FL,TSS,Inflow,3
49.93000030517578,1601357644_FL,TSS,Inflow,3
46.0,1601357644_FL,TSS,Inflow,3
32.0,1601357644_FL,TSS,Inflow,3
13.19999980926514,1601357644_FL,TSS,Inflow,4
46.69839859008789,1601357644_FL,TSS,Inflow,4
76.69999694824219,1601357644_FL,TSS,Inflow,4
38.20000076293945,1601357644_FL,TSS,Inflow,4
35.22666931152344,1601357644_FL,TSS,Inflow,4
91.0,1601357644_FL,TSS,Inflow,4
65.41000366210938,1601357644_FL,TSS,Inflow,4
13.0,1601357644_FL,TSS,Inflow,4
35.59999847412109,1601357644_FL,TSS,Inflow,4
4.889999866485596,1601357644_FL,TSS,Inflow,4
49.93000030517578,1601357644_FL,TSS,Inflow,5
51.09999847412109,1601357644_FL,TSS,Inflow,5
42.0,1601357644_FL,TSS,Inflow,5
76.69999694824219,1601357644_FL,TSS,Inflow,5
38.40000152587891,1601357644_FL,TSS,Inflow,5
32.0,1601357644_FL,TSS,Inflow,5
12.10000038146973,1601357644_FL,TSS,Inflow,5
239.0,1601357644_FL,TSS,Inflow,5
4.059999942779541,1601357644_FL,TSS,Inflow,5
38.90000152587891,1601357644_FL,TSS,Inflow,5
38.25799942016602,1601357644_FL,TSS,Inflow,6
14.0,1601357644_FL,TSS,Inflow,6
0.25,1601357644_FL,TSS,Inflow,6
113.2409973144531,1601357644_FL,TSS,Inflow,6
64.15699768066406,1601357644_FL,TSS,Inflow,6
26.0,1601357644_FL,TSS,Inflow,6
38.0,1601357644_FL,TSS,Inflow,6
42.97869873046875,1601357644_FL,TSS,Inflow,6
20.00774002075195,1601357644_FL,TSS,Inflow,6
4.889999866485596,1601357644_FL,TSS,Inflow,6
38.90000152587891,1601357644_FL,TSS,Inflow,7
91.0,1601357644_FL,TSS,Inflow,7
23.0,1601357644_FL,TSS,Inflow,7
20.00774002075195,1601357644_FL,TSS,Inflow,7
12.0,1601357644_FL,TSS,Inflow,7
21.65500068664551,1601357644_FL,TSS,Inflow,7
12.10000038146973,1601357644_FL,TSS,Inflow,7
18.10000038146973,1601357644_FL,TSS,Inflow,7
19.0,1601357644_FL,TSS,Inflow,7
10.0,1601357644_FL,TSS,Inflow,7
34.0,1601357644_FL,TSS,Inflow,8
13.19999980926514,1601357644_FL,TSS,Inflow,8
18.10000038146973,1601357644_FL,TSS,Inflow,8
35.20000076293945,1601357644_FL,TSS,Inflow,8
4.889999866485596,1601357644_FL,TSS,Inflow,8
65.41000366210938,1601357644_FL,TSS,Inflow,8
4.059999942779541,1601357644_FL,TSS,Inflow,8
75.73500061035156,1601357644_FL,TSS,Inflow,8
14.0,1601357644_FL,TSS,Inflow,8
42.97869873046875,1601357644_FL,TSS,Inflow,8
19.0,1601357644_FL,TSS,Inflow,9
51.09999847412109,1601357644_FL,TSS,Inflow,9
239.0,1601357644_FL,TSS,Inflow,9
23.0,1601357644_FL,TSS,Inflow,9
91.0,1601357644_FL,TSS,Inflow,9
32.0,1601357644_FL,TSS,Inflow,9
68.90899658203125,1601357644_FL,TSS,Inflow,9
4.889999866485596,1601357644_FL,TSS,Inflow,9
42.0,1601357644_FL,TSS,Inflow,9
14.0,1601357644_FL,TSS,Inflow,9
35.59999847412109,1601357644_FL,TSS,Inflow,10
54.0,1601357644_FL,TSS,Inflow,10
34.0,1601357644_FL,TSS,Inflow,10
9.6899995803833,1601357644_FL,TSS,Inflow,10
34.0,1601357644_FL,TSS,Inflow,10
4.889999866485596,1601357644_FL,TSS,Inflow,10
38.40000152587891,1601357644_FL,TSS,Inflow,10
