EMC,Location,Analyte,Flow,Run
44,1671569331_MN,TSS,Inflow,1
19,1671569331_MN,TSS,Inflow,1
15,1671569331_MN,TSS,Inflow,1
88,1671569331_MN,TSS,Inflow,1
18,1671569331_MN,TSS,Inflow,1
6,1671569331_MN,TSS,Inflow,1
32,1671569331_MN,TSS,Inflow,1
17,1671569331_MN,TSS,Inflow,1
4,1671569331_MN,TSS,Inflow,1
8,1671569331_MN,TSS,Inflow,1
4,1671569331_MN,TSS,Inflow,1
10,1671569331_MN,TSS,Inflow,1
16,1671569331_MN,TSS,Inflow,1
19,1671569331_MN,TSS,Inflow,1
14,1671569331_MN,TSS,Inflow,1
16,1671569331_MN,TSS,Inflow,1
7,1671569331_MN,TSS,Inflow,1
4,1671569331_MN,TSS,Inflow,1
9,1671569331_MN,TSS,Inflow,1
86,1671569331_MN,TSS,Inflow,1
15,1671569331_MN,TSS,Inflow,1
13,1671569331_MN,TSS,Inflow,1
41,1671569331_MN,TSS,Inflow,1
18,1671569331_MN,TSS,Inflow,1
10,1671569331_MN,TSS,Inflow,1
9,1671569331_MN,TSS,Inflow,2
18,1671569331_MN,TSS,Inflow,2
88,1671569331_MN,TSS,Inflow,2
22,1671569331_MN,TSS,Inflow,2
10,1671569331_MN,TSS,Inflow,2
86,1671569331_MN,TSS,Inflow,2
59,1671569331_MN,TSS,Inflow,2
46,1671569331_MN,TSS,Inflow,2
22,1671569331_MN,TSS,Inflow,2
32,1671569331_MN,TSS,Inflow,2
20,1671569331_MN,TSS,Inflow,2
10,1671569331_MN,TSS,Inflow,2
41,1671569331_MN,TSS,Inflow,2
50,1671569331_MN,TSS,Inflow,2
4,1671569331_MN,TSS,Inflow,2
11,1671569331_MN,TSS,Inflow,2
9,1671569331_MN,TSS,Inflow,2
4,1671569331_MN,TSS,Inflow,2
8,1671569331_MN,TSS,Inflow,2
10,1671569331_MN,TSS,Inflow,2
28,1671569331_MN,TSS,Inflow,2
20,1671569331_MN,TSS,Inflow,2
32,1671569331_MN,TSS,Inflow,2
10,1671569331_MN,TSS,Inflow,2
12,1671569331_MN,TSS,Inflow,2
10,1671569331_MN,TSS,Inflow,3
10,1671569331_MN,TSS,Inflow,3
7,1671569331_MN,TSS,Inflow,3
11,1671569331_MN,TSS,Inflow,3
20,1671569331_MN,TSS,Inflow,3
9,1671569331_MN,TSS,Inflow,3
9,1671569331_MN,TSS,Inflow,3
16,1671569331_MN,TSS,Inflow,3
20,1671569331_MN,TSS,Inflow,3
86,1671569331_MN,TSS,Inflow,3
28,1671569331_MN,TSS,Inflow,3
13,1671569331_MN,TSS,Inflow,3
11,1671569331_MN,TSS,Inflow,3
18,1671569331_MN,TSS,Inflow,3
12,1671569331_MN,TSS,Inflow,3
88,1671569331_MN,TSS,Inflow,3
19,1671569331_MN,TSS,Inflow,3
12,1671569331_MN,TSS,Inflow,3
13,1671569331_MN,TSS,Inflow,3
18,1671569331_MN,TSS,Inflow,3
50,1671569331_MN,TSS,Inflow,3
18,1671569331_MN,TSS,Inflow,3
10,1671569331_MN,TSS,Inflow,3
45,1671569331_MN,TSS,Inflow,3
8,1671569331_MN,TSS,Inflow,3
14,1671569331_MN,TSS,Inflow,4
18,1671569331_MN,TSS,Inflow,4
46,1671569331_MN,TSS,Inflow,4
20,1671569331_MN,TSS,Inflow,4
11,1671569331_MN,TSS,Inflow,4
18,1671569331_MN,TSS,Inflow,4
10,1671569331_MN,TSS,Inflow,4
6,1671569331_MN,TSS,Inflow,4
8,1671569331_MN,TSS,Inflow,4
12,1671569331_MN,TSS,Inflow,4
51,1671569331_MN,TSS,Inflow,4
9,1671569331_MN,TSS,Inflow,4
50,1671569331_MN,TSS,Inflow,4
15,1671569331_MN,TSS,Inflow,4
8,1671569331_MN,TSS,Inflow,4
