EMC,Location,Analyte,Flow,Run
8,1671569331_MN,TSS,Outflow,1
9,1671569331_MN,TSS,Outflow,1
9,1671569331_MN,TSS,Outflow,1
12,1671569331_MN,TSS,Outflow,1
10,1671569331_MN,TSS,Outflow,1
10,1671569331_MN,TSS,Outflow,1
10,1671569331_MN,TSS,Outflow,1
4,1671569331_MN,TSS,Outflow,1
14,1671569331_MN,TSS,Outflow,1
16,1671569331_MN,TSS,Outflow,1
12,1671569331_MN,TSS,Outflow,1
38,1671569331_MN,TSS,Outflow,1
14,1671569331_MN,TSS,Outflow,1
30,1671569331_MN,TSS,Outflow,1
6,1671569331_MN,TSS,Outflow,1
28,1671569331_MN,TSS,Outflow,1
184,1671569331_MN,TSS,Outflow,1
15,1671569331_MN,TSS,Outflow,1
31,1671569331_MN,TSS,Outflow,1
34,1671569331_MN,TSS,Outflow,1
11,1671569331_MN,TSS,Outflow,2
10,1671569331_MN,TSS,Outflow,2
53,1671569331_MN,TSS,Outflow,2
14,1671569331_MN,TSS,Outflow,2
4,1671569331_MN,TSS,Outflow,2
9,1671569331_MN,TSS,Outflow,2
64,1671569331_MN,TSS,Outflow,2
14,1671569331_MN,TSS,Outflow,2
8,1671569331_MN,TSS,Outflow,2
28,1671569331_MN,TSS,Outflow,2
8,1671569331_MN,TSS,Outflow,2
71,1671569331_MN,TSS,Outflow,2
24,1671569331_MN,TSS,Outflow,2
3,1671569331_MN,TSS,Outflow,2
184,1671569331_MN,TSS,Outflow,2
9,1671569331_MN,TSS,Outflow,2
16,1671569331_MN,TSS,Outflow,2
24,1671569331_MN,TSS,Outflow,2
10,1671569331_MN,TSS,Outflow,2
11,1671569331_MN,TSS,Outflow,2
21,1671569331_MN,TSS,Outflow,3
16,1671569331_MN,TSS,Outflow,3
5,1671569331_MN,TSS,Outflow,3
10,1671569331_MN,TSS,Outflow,3
38,1671569331_MN,TSS,Outflow,3
10,1671569331_MN,TSS,Outflow,3
9,1671569331_MN,TSS,Outflow,3
34,1671569331_MN,TSS,Outflow,3
28,1671569331_MN,TSS,Outflow,3
9,1671569331_MN,TSS,Outflow,3
24,1671569331_MN,TSS,Outflow,3
4,1671569331_MN,TSS,Outflow,3
31,1671569331_MN,TSS,Outflow,3
14,1671569331_MN,TSS,Outflow,3
64,1671569331_MN,TSS,Outflow,3
10,1671569331_MN,TSS,Outflow,3
9,1671569331_MN,TSS,Outflow,3
71,1671569331_MN,TSS,Outflow,3
6,1671569331_MN,TSS,Outflow,3
8,1671569331_MN,TSS,Outflow,3
7,1671569331_MN,TSS,Outflow,4
15,1671569331_MN,TSS,Outflow,4
4,1671569331_MN,TSS,Outflow,4
14,1671569331_MN,TSS,Outflow,4
24,1671569331_MN,TSS,Outflow,4
71,1671569331_MN,TSS,Outflow,4
31,1671569331_MN,TSS,Outflow,4
12,1671569331_MN,TSS,Outflow,4
64,1671569331_MN,TSS,Outflow,4
10,1671569331_MN,TSS,Outflow,4
46,1671569331_MN,TSS,Outflow,4
24,1671569331_MN,TSS,Outflow,4
20,1671569331_MN,TSS,Outflow,4
14,1671569331_MN,TSS,Outflow,4
9,1671569331_MN,TSS,Outflow,4
28,1671569331_MN,TSS,Outflow,4
30,1671569331_MN,TSS,Outflow,4
7,1671569331_MN,TSS,Outflow,4
9,1671569331_MN,TSS,Outflow,4
10,1671569331_MN,TSS,Outflow,4
10,1671569331_MN,TSS,Outflow,5
10,1671569331_MN,TSS,Outflow,5
4,1671569331_MN,TSS,Outflow,5
9,1671569331_MN,TSS,Outflow,5
14,1671569331_MN,TSS,Outflow,5
6,1671569331_MN,TSS,Outflow,5
12,1671569331_MN,TSS,Outflow,5
12,1671569331_MN,TSS,Outflow,5
46,1671569331_MN,TSS,Outflow,5
28,1671569331_MN,TSS,Outflow,5
4,1671569331_MN,TSS,Outflow,5
10,1671569331_MN,TSS,Outflow,5
11,1671569331_MN,TSS,Outflow,5
9,1671569331_MN,TSS,Outflow,5
71,1671569331_MN,TSS,Outflow,5
16,1671569331_MN,TSS,Outflow,5
10,1671569331_MN,TSS,Outflow,5
8,1671569331_MN,TSS,Outflow,5
14,1671569331_MN,TSS,Outflow,5
53,1671569331_MN,TSS,Outflow,5
31,1671569331_MN,TSS,Outflow,6
38,1671569331_MN,TSS,Outflow,6
9,1671569331_MN,TSS,Outflow,6
9,1671569331_MN,TSS,Outflow,6
9,1671569331_MN,TSS,Outflow,6
30,1671569331_MN,TSS,Outflow,6
184,1671569331_MN,TSS,Outflow,6
10,1671569331_MN,TSS,Outflow,6
4,1671569331_MN,TSS,Outflow,6
7,1671569331_MN,TSS,Outflow,6
11,1671569331_MN,TSS,Outflow,6
71,1671569331_MN,TSS,Outflow,6
