EMC,Location,Analyte,Flow,Run
21,1708200120_CO,TSS,Inflow,1
11,1708200120_CO,TSS,Inflow,1
766,1708200120_CO,TSS,Inflow,1
52,1708200120_CO,TSS,Inflow,1
178,1708200120_CO,TSS,Inflow,1
641,1708200120_CO,TSS,Inflow,1
688,1708200120_CO,TSS,Inflow,1
149,1708200120_CO,TSS,Inflow,1
902,1708200120_CO,TSS,Inflow,1
64,1708200120_CO,TSS,Inflow,1
274,1708200120_CO,TSS,Inflow,1
568,1708200120_CO,TSS,Inflow,1
73,1708200120_CO,TSS,Inflow,1
40,1708200120_CO,TSS,Inflow,1
70,1708200120_CO,TSS,Inflow,1
1310,1708200120_CO,TSS,Inflow,1
232,1708200120_CO,TSS,Inflow,1
121,1708200120_CO,TSS,Inflow,1
179,1708200120_CO,TSS,Inflow,1
108,1708200120_CO,TSS,Inflow,1
19,1708200120_CO,TSS,Inflow,1
105,1708200120_CO,TSS,Inflow,1
476,1708200120_CO,TSS,Inflow,1
149,1708200120_CO,TSS,Inflow,1
64,1708200120_CO,TSS,Inflow,1
40,1708200120_CO,TSS,Inflow,2
947,1708200120_CO,TSS,Inflow,2
4,1708200120_CO,TSS,Inflow,2
19,1708200120_CO,TSS,Inflow,2
318,1708200120_CO,TSS,Inflow,2
902,1708200120_CO,TSS,Inflow,2
149,1708200120_CO,TSS,Inflow,2
64,1708200120_CO,TSS,Inflow,2
73,1708200120_CO,TSS,Inflow,2
1310,1708200120_CO,TSS,Inflow,2
178,1708200120_CO,TSS,Inflow,2
52,1708200120_CO,TSS,Inflow,2
766,1708200120_CO,TSS,Inflow,2
568,1708200120_CO,TSS,Inflow,2
105,1708200120_CO,TSS,Inflow,2
21,1708200120_CO,TSS,Inflow,2
121,1708200120_CO,TSS,Inflow,2
232,1708200120_CO,TSS,Inflow,2
161,1708200120_CO,TSS,Inflow,2
641,1708200120_CO,TSS,Inflow,2
64,1708200120_CO,TSS,Inflow,2
158,1708200120_CO,TSS,Inflow,2
52,1708200120_CO,TSS,Inflow,2
149,1708200120_CO,TSS,Inflow,2
641,1708200120_CO,TSS,Inflow,2
641,1708200120_CO,TSS,Inflow,3
274,1708200120_CO,TSS,Inflow,3
476,1708200120_CO,TSS,Inflow,3
149,1708200120_CO,TSS,Inflow,3
40,1708200120_CO,TSS,Inflow,3
179,1708200120_CO,TSS,Inflow,3
64,1708200120_CO,TSS,Inflow,3
170,1708200120_CO,TSS,Inflow,3
688,1708200120_CO,TSS,Inflow,3
902,1708200120_CO,TSS,Inflow,3
158,1708200120_CO,TSS,Inflow,3
52,1708200120_CO,TSS,Inflow,3
19,1708200120_CO,TSS,Inflow,3
105,1708200120_CO,TSS,Inflow,3
121,1708200120_CO,TSS,Inflow,3
52,1708200120_CO,TSS,Inflow,3
149,1708200120_CO,TSS,Inflow,3
766,1708200120_CO,TSS,Inflow,3
4,1708200120_CO,TSS,Inflow,3
947,1708200120_CO,TSS,Inflow,3
1310,1708200120_CO,TSS,Inflow,3
70,1708200120_CO,TSS,Inflow,3
127,1708200120_CO,TSS,Inflow,3
166,1708200120_CO,TSS,Inflow,3
232,1708200120_CO,TSS,Inflow,3
641,1708200120_CO,TSS,Inflow,4
21,1708200120_CO,TSS,Inflow,4
318,1708200120_CO,TSS,Inflow,4
790,1708200120_CO,TSS,Inflow,4
902,1708200120_CO,TSS,Inflow,4
205,1708200120_CO,TSS,Inflow,4
70,1708200120_CO,TSS,Inflow,4
52,1708200120_CO,TSS,Inflow,4
19,1708200120_CO,TSS,Inflow,4
947,1708200120_CO,TSS,Inflow,4
149,1708200120_CO,TSS,Inflow,4
40,1708200120_CO,TSS,Inflow,4
4,1708200120_CO,TSS,Inflow,4
64,1708200120_CO,TSS,Inflow,4
641,1708200120_CO,TSS,Inflow,4
166,1708200120_CO,TSS,Inflow,4
108,1708200120_CO,TSS,Inflow,4
766,1708200120_CO,TSS,Inflow,4
121,1708200120_CO,TSS,Inflow,4
274,1708200120_CO,TSS,Inflow,4
64,1708200120_CO,TSS,Inflow,4
105,1708200120_CO,TSS,Inflow,4
161,1708200120_CO,TSS,Inflow,4
73,1708200120_CO,TSS,Inflow,4
568,1708200120_CO,TSS,Inflow,4
161,1708200120_CO,TSS,Inflow,5
149,1708200120_CO,TSS,Inflow,5
21,1708200120_CO,TSS,Inflow,5
64,1708200120_CO,TSS,Inflow,5
11,1708200120_CO,TSS,Inflow,5
170,1708200120_CO,TSS,Inflow,5
947,1708200120_CO,TSS,Inflow,5
64,1708200120_CO,TSS,Inflow,5
52,1708200120_CO,TSS,Inflow,5
52,1708200120_CO,TSS,Inflow,5
179,1708200120_CO,TSS,Inflow,5
318,1708200120_CO,TSS,Inflow,5
232,1708200120_CO,TSS,Inflow,5
158,1708200120_CO,TSS,Inflow,5
149,1708200120_CO,TSS,Inflow,5
121,1708200120_CO,TSS,Inflow,5
127,1708200120_CO,TSS,Inflow,5
476,1708200120_CO,TSS,Inflow,5
108,1708200120_CO,TSS,Inflow,5
205,1708200120_CO,TSS,Inflow,5
19,1708200120_CO,TSS,Inflow,5
1310,1708200120_CO,TSS,Inflow,5
70,1708200120_CO,TSS,Inflow,5
166,1708200120_CO,TSS,Inflow,5
568,1708200120_CO,TSS,Inflow,5
158,1708200120_CO,TSS,Inflow,6
108,1708200120_CO,TSS,Inflow,6
179,1708200120_CO,TSS,Inflow,6
947,1708200120_CO,TSS,Inflow,6
166,1708200120_CO,TSS,Inflow,6
790,1708200120_CO,TSS,Inflow,6
149,1708200120_CO,TSS,Inflow,6
170,1708200120_CO,TSS,Inflow,6
232,1708200120_CO,TSS,Inflow,6
127,1708200120_CO,TSS,Inflow,6
688,1708200120_CO,TSS,Inflow,6
641,1708200120_CO,TSS,Inflow,6
40,1708200120_CO,TSS,Inflow,6
1310,1708200120_CO,TSS,Inflow,6
70,1708200120_CO,TSS,Inflow,6
568,1708200120_CO,TSS,Inflow,6
4,1708200120_CO,TSS,Inflow,6
73,1708200120_CO,TSS,Inflow,6
766,1708200120_CO,TSS,Inflow,6
902,1708200120_CO,TSS,Inflow,6
52,1708200120_CO,TSS,Inflow,6
178,1708200120_CO,TSS,Inflow,6
476,1708200120_CO,TSS,Inflow,6
318,1708200120_CO,TSS,Inflow,6
19,1708200120_CO,TSS,Inflow,6
121,1708200120_CO,TSS,Inflow,7
318,1708200120_CO,TSS,Inflow,7
52,1708200120_CO,TSS,Inflow,7
790,1708200120_CO,TSS,Inflow,7
127,1708200120_CO,TSS,Inflow,7
70,1708200120_CO,TSS,Inflow,7
641,1708200120_CO,TSS,Inflow,7
166,1708200120_CO,TSS,Inflow,7
52,1708200120_CO,TSS,Inflow,7
161,1708200120_CO,TSS,Inflow,7
902,1708200120_CO,TSS,Inflow,7
568,1708200120_CO,TSS,Inflow,7
688,1708200120_CO,TSS,Inflow,7
149,1708200120_CO,TSS,Inflow,7
105,1708200120_CO,TSS,Inflow,7
641,1708200120_CO,TSS,Inflow,7
179,1708200120_CO,TSS,Inflow,7
64,1708200120_CO,TSS,Inflow,7
170,1708200120_CO,TSS,Inflow,7
178,1708200120_CO,TSS,Inflow,7
158,1708200120_CO,TSS,Inflow,7
73,1708200120_CO,TSS,Inflow,7
766,1708200120_CO,TSS,Inflow,7
274,1708200120_CO,TSS,Inflow,7
19,1708200120_CO,TSS,Inflow,7
641,1708200120_CO,TSS,Inflow,8
127,1708200120_CO,TSS,Inflow,8
179,1708200120_CO,TSS,Inflow,8
149,1708200120_CO,TSS,Inflow,8
73,1708200120_CO,TSS,Inflow,8
64,1708200120_CO,TSS,Inflow,8
158,1708200120_CO,TSS,Inflow,8
21,1708200120_CO,TSS,Inflow,8
108,1708200120_CO,TSS,Inflow,8
170,1708200120_CO,TSS,Inflow,8
947,1708200120_CO,TSS,Inflow,8
476,1708200120_CO,TSS,Inflow,8
1310,1708200120_CO,TSS,Inflow,8
641,1708200120_CO,TSS,Inflow,8
318,1708200120_CO,TSS,Inflow,8
232,1708200120_CO,TSS,Inflow,8
4,1708200120_CO,TSS,Inflow,8
149,1708200120_CO,TSS,Inflow,8
178,1708200120_CO,TSS,Inflow,8
166,1708200120_CO,TSS,Inflow,8
52,1708200120_CO,TSS,Inflow,8
40,1708200120_CO,TSS,Inflow,8
70,1708200120_CO,TSS,Inflow,8
161,1708200120_CO,TSS,Inflow,8
11,1708200120_CO,TSS,Inflow,8
52,1708200120_CO,TSS,Inflow,9
19,1708200120_CO,TSS,Inflow,9
158,1708200120_CO,TSS,Inflow,9
70,1708200120_CO,TSS,Inflow,9
166,1708200120_CO,TSS,Inflow,9
179,1708200120_CO,TSS,Inflow,9
40,1708200120_CO,TSS,Inflow,9
21,1708200120_CO,TSS,Inflow,9
105,1708200120_CO,TSS,Inflow,9
161,1708200120_CO,TSS,Inflow,9
790,1708200120_CO,TSS,Inflow,9
688,1708200120_CO,TSS,Inflow,9
64,1708200120_CO,TSS,Inflow,9
1310,1708200120_CO,TSS,Inflow,9
178,1708200120_CO,TSS,Inflow,9
73,1708200120_CO,TSS,Inflow,9
232,1708200120_CO,TSS,Inflow,9
149,1708200120_CO,TSS,Inflow,9
641,1708200120_CO,TSS,Inflow,9
274,1708200120_CO,TSS,Inflow,9
108,1708200120_CO,TSS,Inflow,9
11,1708200120_CO,TSS,Inflow,9
641,1708200120_CO,TSS,Inflow,9
149,1708200120_CO,TSS,Inflow,9
947,1708200120_CO,TSS,Inflow,9
121,1708200120_CO,TSS,Inflow,10
641,1708200120_CO,TSS,Inflow,10
40,1708200120_CO,TSS,Inflow,10
179,1708200120_CO,TSS,Inflow,10
568,1708200120_CO,TSS,Inflow,10
52,1708200120_CO,TSS,Inflow,10
127,1708200120_CO,TSS,Inflow,10
274,1708200120_CO,TSS,Inflow,10
11,1708200120_CO,TSS,Inflow,10
205,1708200120_CO,TSS,Inflow,10
641,1708200120_CO,TSS,Inflow,10
64,1708200120_CO,TSS,Inflow,10
4,1708200120_CO,TSS,Inflow,10
52,1708200120_CO,TSS,Inflow,10
19,1708200120_CO,TSS,Inflow,10
766,1708200120_CO,TSS,Inflow,10
161,1708200120_CO,TSS,Inflow,10
64,1708200120_CO,TSS,Inflow,10
21,1708200120_CO,TSS,Inflow,10
149,1708200120_CO,TSS,Inflow,10
318,1708200120_CO,TSS,Inflow,10
108,1708200120_CO,TSS,Inflow,10
70,1708200120_CO,TSS,Inflow,10
476,1708200120_CO,TSS,Inflow,10
688,1708200120_CO,TSS,Inflow,10
902,1708200120_CO,TSS,Inflow,11
4,1708200120_CO,TSS,Inflow,11
232,1708200120_CO,TSS,Inflow,11
641,1708200120_CO,TSS,Inflow,11
641,1708200120_CO,TSS,Inflow,11
274,1708200120_CO,TSS,Inflow,11
149,1708200120_CO,TSS,Inflow,11
476,1708200120_CO,TSS,Inflow,11
52,1708200120_CO,TSS,Inflow,11
11,1708200120_CO,TSS,Inflow,11
70,1708200120_CO,TSS,Inflow,11
19,1708200120_CO,TSS,Inflow,11
40,1708200120_CO,TSS,Inflow,11
161,1708200120_CO,TSS,Inflow,11
170,1708200120_CO,TSS,Inflow,11
568,1708200120_CO,TSS,Inflow,11
179,1708200120_CO,TSS,Inflow,11
127,1708200120_CO,TSS,Inflow,11
73,1708200120_CO,TSS,Inflow,11
108,1708200120_CO,TSS,Inflow,11
766,1708200120_CO,TSS,Inflow,11
947,1708200120_CO,TSS,Inflow,11
64,1708200120_CO,TSS,Inflow,11
790,1708200120_CO,TSS,Inflow,11
149,1708200120_CO,TSS,Inflow,11
947,1708200120_CO,TSS,Inflow,12
476,1708200120_CO,TSS,Inflow,12
4,1708200120_CO,TSS,Inflow,12
166,1708200120_CO,TSS,Inflow,12
641,1708200120_CO,TSS,Inflow,12
179,1708200120_CO,TSS,Inflow,12
73,1708200120_CO,TSS,Inflow,12
568,1708200120_CO,TSS,Inflow,12
149,1708200120_CO,TSS,Inflow,12
21,1708200120_CO,TSS,Inflow,12
688,1708200120_CO,TSS,Inflow,12
1310,1708200120_CO,TSS,Inflow,12
70,1708200120_CO,TSS,Inflow,12
205,1708200120_CO,TSS,Inflow,12
170,1708200120_CO,TSS,Inflow,12
108,1708200120_CO,TSS,Inflow,12
105,1708200120_CO,TSS,Inflow,12
158,1708200120_CO,TSS,Inflow,12
40,1708200120_CO,TSS,Inflow,12
232,1708200120_CO,TSS,Inflow,12
121,1708200120_CO,TSS,Inflow,12
318,1708200120_CO,TSS,Inflow,12
52,1708200120_CO,TSS,Inflow,12
52,1708200120_CO,TSS,Inflow,12
161,1708200120_CO,TSS,Inflow,12
170,1708200120_CO,TSS,Inflow,13
127,1708200120_CO,TSS,Inflow,13
105,1708200120_CO,TSS,Inflow,13
70,1708200120_CO,TSS,Inflow,13
641,1708200120_CO,TSS,Inflow,13
179,1708200120_CO,TSS,Inflow,13
21,1708200120_CO,TSS,Inflow,13
166,1708200120_CO,TSS,Inflow,13
73,1708200120_CO,TSS,Inflow,13
318,1708200120_CO,TSS,Inflow,13
108,1708200120_CO,TSS,Inflow,13
64,1708200120_CO,TSS,Inflow,13
11,1708200120_CO,TSS,Inflow,13
641,1708200120_CO,TSS,Inflow,13
4,1708200120_CO,TSS,Inflow,13
790,1708200120_CO,TSS,Inflow,13
232,1708200120_CO,TSS,Inflow,13
158,1708200120_CO,TSS,Inflow,13
568,1708200120_CO,TSS,Inflow,13
52,1708200120_CO,TSS,Inflow,13
149,1708200120_CO,TSS,Inflow,13
161,1708200120_CO,TSS,Inflow,13
64,1708200120_CO,TSS,Inflow,13
947,1708200120_CO,TSS,Inflow,13
766,1708200120_CO,TSS,Inflow,13
108,1708200120_CO,TSS,Inflow,14
70,1708200120_CO,TSS,Inflow,14
568,1708200120_CO,TSS,Inflow,14
149,1708200120_CO,TSS,Inflow,14
19,1708200120_CO,TSS,Inflow,14
64,1708200120_CO,TSS,Inflow,14
232,1708200120_CO,TSS,Inflow,14
170,1708200120_CO,TSS,Inflow,14
476,1708200120_CO,TSS,Inflow,14
688,1708200120_CO,TSS,Inflow,14
