EMC,Location,Analyte,Flow,Run
85,1980780486_CA,TSS,Inflow,1
15,1980780486_CA,TSS,Inflow,1
21,1980780486_CA,TSS,Inflow,1
191,1980780486_CA,TSS,Inflow,1
2870,1980780486_CA,TSS,Inflow,1
118,1980780486_CA,TSS,Inflow,2
36,1980780486_CA,TSS,Inflow,2
191,1980780486_CA,TSS,Inflow,2
18,1980780486_CA,TSS,Inflow,2
66,1980780486_CA,TSS,Inflow,2
30,1980780486_CA,TSS,Inflow,3
24,1980780486_CA,TSS,Inflow,3
21,1980780486_CA,TSS,Inflow,3
30,1980780486_CA,TSS,Inflow,3
15,1980780486_CA,TSS,Inflow,3
72,1980780486_CA,TSS,Inflow,4
90,1980780486_CA,TSS,Inflow,4
191,1980780486_CA,TSS,Inflow,4
723,1980780486_CA,TSS,Inflow,4
161,1980780486_CA,TSS,Inflow,4
1280,1980780486_CA,TSS,Inflow,5
36,1980780486_CA,TSS,Inflow,5
191,1980780486_CA,TSS,Inflow,5
161,1980780486_CA,TSS,Inflow,5
49,1980780486_CA,TSS,Inflow,5
35,1980780486_CA,TSS,Inflow,6
600,1980780486_CA,TSS,Inflow,6
21,1980780486_CA,TSS,Inflow,6
90,1980780486_CA,TSS,Inflow,6
30,1980780486_CA,TSS,Inflow,6
118,1980780486_CA,TSS,Inflow,7
96,1980780486_CA,TSS,Inflow,7
30,1980780486_CA,TSS,Inflow,7
161,1980780486_CA,TSS,Inflow,7
35,1980780486_CA,TSS,Inflow,7
600,1980780486_CA,TSS,Inflow,8
49,1980780486_CA,TSS,Inflow,8
30,1980780486_CA,TSS,Inflow,8
161,1980780486_CA,TSS,Inflow,8
66,1980780486_CA,TSS,Inflow,8
118,1980780486_CA,TSS,Inflow,9
166,1980780486_CA,TSS,Inflow,9
49,1980780486_CA,TSS,Inflow,9
30,1980780486_CA,TSS,Inflow,9
35,1980780486_CA,TSS,Inflow,9
600,1980780486_CA,TSS,Inflow,10
15,1980780486_CA,TSS,Inflow,10
36,1980780486_CA,TSS,Inflow,10
85,1980780486_CA,TSS,Inflow,10
1280,1980780486_CA,TSS,Inflow,10
35,1980780486_CA,TSS,Inflow,11
191,1980780486_CA,TSS,Inflow,11
72,1980780486_CA,TSS,Inflow,11
15,1980780486_CA,TSS,Inflow,11
1280,1980780486_CA,TSS,Inflow,11
96,1980780486_CA,TSS,Inflow,12
21,1980780486_CA,TSS,Inflow,12
118,1980780486_CA,TSS,Inflow,12
30,1980780486_CA,TSS,Inflow,12
161,1980780486_CA,TSS,Inflow,12
18,1980780486_CA,TSS,Inflow,13
85,1980780486_CA,TSS,Inflow,13
35,1980780486_CA,TSS,Inflow,13
161,1980780486_CA,TSS,Inflow,13
15,1980780486_CA,TSS,Inflow,13
600,1980780486_CA,TSS,Inflow,14
24,1980780486_CA,TSS,Inflow,14
161,1980780486_CA,TSS,Inflow,14
118,1980780486_CA,TSS,Inflow,14
21,1980780486_CA,TSS,Inflow,14
72,1980780486_CA,TSS,Inflow,15
1280,1980780486_CA,TSS,Inflow,15
600,1980780486_CA,TSS,Inflow,15
49,1980780486_CA,TSS,Inflow,15
30,1980780486_CA,TSS,Inflow,15
18,1980780486_CA,TSS,Inflow,16
21,1980780486_CA,TSS,Inflow,16
49,1980780486_CA,TSS,Inflow,16
72,1980780486_CA,TSS,Inflow,16
1280,1980780486_CA,TSS,Inflow,16
600,1980780486_CA,TSS,Inflow,17
15,1980780486_CA,TSS,Inflow,17
36,1980780486_CA,TSS,Inflow,17
66,1980780486_CA,TSS,Inflow,17
161,1980780486_CA,TSS,Inflow,17
36,1980780486_CA,TSS,Inflow,18
2870,1980780486_CA,TSS,Inflow,18
24,1980780486_CA,TSS,Inflow,18
90,1980780486_CA,TSS,Inflow,18
118,1980780486_CA,TSS,Inflow,18
723,1980780486_CA,TSS,Inflow,19
2870,1980780486_CA,TSS,Inflow,19
24,1980780486_CA,TSS,Inflow,19
118,1980780486_CA,TSS,Inflow,19
30,1980780486_CA,TSS,Inflow,19
21,1980780486_CA,TSS,Inflow,20
96,1980780486_CA,TSS,Inflow,20
35,1980780486_CA,TSS,Inflow,20
2870,1980780486_CA,TSS,Inflow,20
18,1980780486_CA,TSS,Inflow,20
96,1980780486_CA,TSS,Inflow,21
191,1980780486_CA,TSS,Inflow,21
118,1980780486_CA,TSS,Inflow,21
72,1980780486_CA,TSS,Inflow,21
723,1980780486_CA,TSS,Inflow,21
166,1980780486_CA,TSS,Inflow,22
118,1980780486_CA,TSS,Inflow,22
90,1980780486_CA,TSS,Inflow,22
35,1980780486_CA,TSS,Inflow,22
1280,1980780486_CA,TSS,Inflow,22
191,1980780486_CA,TSS,Inflow,23
2870,1980780486_CA,TSS,Inflow,23
85,1980780486_CA,TSS,Inflow,23
600,1980780486_CA,TSS,Inflow,23
161,1980780486_CA,TSS,Inflow,23
191,1980780486_CA,TSS,Inflow,24
2870,1980780486_CA,TSS,Inflow,24
166,1980780486_CA,TSS,Inflow,24
36,1980780486_CA,TSS,Inflow,24
723,1980780486_CA,TSS,Inflow,24
72,1980780486_CA,TSS,Inflow,25
85,1980780486_CA,TSS,Inflow,25
161,1980780486_CA,TSS,Inflow,25
1280,1980780486_CA,TSS,Inflow,25
21,1980780486_CA,TSS,Inflow,25
161,1980780486_CA,TSS,Inflow,26
2870,1980780486_CA,TSS,Inflow,26
30,1980780486_CA,TSS,Inflow,26
21,1980780486_CA,TSS,Inflow,26
166,1980780486_CA,TSS,Inflow,26
36,1980780486_CA,TSS,Inflow,27
2870,1980780486_CA,TSS,Inflow,27
118,1980780486_CA,TSS,Inflow,27
161,1980780486_CA,TSS,Inflow,27
21,1980780486_CA,TSS,Inflow,27
2870,1980780486_CA,TSS,Inflow,28
1280,1980780486_CA,TSS,Inflow,28
166,1980780486_CA,TSS,Inflow,28
18,1980780486_CA,TSS,Inflow,28
15,1980780486_CA,TSS,Inflow,28
35,1980780486_CA,TSS,Inflow,29
30,1980780486_CA,TSS,Inflow,29
2870,1980780486_CA,TSS,Inflow,29
118,1980780486_CA,TSS,Inflow,29
24,1980780486_CA,TSS,Inflow,29
191,1980780486_CA,TSS,Inflow,30
85,1980780486_CA,TSS,Inflow,30
72,1980780486_CA,TSS,Inflow,30
96,1980780486_CA,TSS,Inflow,30
66,1980780486_CA,TSS,Inflow,30
35,1980780486_CA,TSS,Inflow,31
24,1980780486_CA,TSS,Inflow,31
18,1980780486_CA,TSS,Inflow,31
36,1980780486_CA,TSS,Inflow,31
1280,1980780486_CA,TSS,Inflow,31
18,1980780486_CA,TSS,Inflow,32
72,1980780486_CA,TSS,Inflow,32
24,1980780486_CA,TSS,Inflow,32
30,1980780486_CA,TSS,Inflow,32
15,1980780486_CA,TSS,Inflow,32
723,1980780486_CA,TSS,Inflow,33
72,1980780486_CA,TSS,Inflow,33
191,1980780486_CA,TSS,Inflow,33
1280,1980780486_CA,TSS,Inflow,33
2870,1980780486_CA,TSS,Inflow,33
21,1980780486_CA,TSS,Inflow,34
66,1980780486_CA,TSS,Inflow,34
1280,1980780486_CA,TSS,Inflow,34
191,1980780486_CA,TSS,Inflow,34
161,1980780486_CA,TSS,Inflow,34
600,1980780486_CA,TSS,Inflow,35
118,1980780486_CA,TSS,Inflow,35
21,1980780486_CA,TSS,Inflow,35
723,1980780486_CA,TSS,Inflow,35
30,1980780486_CA,TSS,Inflow,35
18,1980780486_CA,TSS,Inflow,36
96,1980780486_CA,TSS,Inflow,36
161,1980780486_CA,TSS,Inflow,36
72,1980780486_CA,TSS,Inflow,36
15,1980780486_CA,TSS,Inflow,36
166,1980780486_CA,TSS,Inflow,37
36,1980780486_CA,TSS,Inflow,37
18,1980780486_CA,TSS,Inflow,37
49,1980780486_CA,TSS,Inflow,37
35,1980780486_CA,TSS,Inflow,37
161,1980780486_CA,TSS,Inflow,38
30,1980780486_CA,TSS,Inflow,38
15,1980780486_CA,TSS,Inflow,38
21,1980780486_CA,TSS,Inflow,38
191,1980780486_CA,TSS,Inflow,38
2870,1980780486_CA,TSS,Inflow,39
1280,1980780486_CA,TSS,Inflow,39
90,1980780486_CA,TSS,Inflow,39
15,1980780486_CA,TSS,Inflow,39
161,1980780486_CA,TSS,Inflow,39
90,1980780486_CA,TSS,Inflow,40
600,1980780486_CA,TSS,Inflow,40
21,1980780486_CA,TSS,Inflow,40
35,1980780486_CA,TSS,Inflow,40
36,1980780486_CA,TSS,Inflow,40
18,1980780486_CA,TSS,Inflow,41
36,1980780486_CA,TSS,Inflow,41
161,1980780486_CA,TSS,Inflow,41
15,1980780486_CA,TSS,Inflow,41
24,1980780486_CA,TSS,Inflow,41
2870,1980780486_CA,TSS,Inflow,42
72,1980780486_CA,TSS,Inflow,42
600,1980780486_CA,TSS,Inflow,42
161,1980780486_CA,TSS,Inflow,42
191,1980780486_CA,TSS,Inflow,42
66,1980780486_CA,TSS,Inflow,43
2870,1980780486_CA,TSS,Inflow,43
15,1980780486_CA,TSS,Inflow,43
21,1980780486_CA,TSS,Inflow,43
161,1980780486_CA,TSS,Inflow,43
191,1980780486_CA,TSS,Inflow,44
24,1980780486_CA,TSS,Inflow,44
166,1980780486_CA,TSS,Inflow,44
161,1980780486_CA,TSS,Inflow,44
21,1980780486_CA,TSS,Inflow,44
723,1980780486_CA,TSS,Inflow,45
36,1980780486_CA,TSS,Inflow,45
18,1980780486_CA,TSS,Inflow,45
21,1980780486_CA,TSS,Inflow,45
66,1980780486_CA,TSS,Inflow,45
30,1980780486_CA,TSS,Inflow,46
72,1980780486_CA,TSS,Inflow,46
15,1980780486_CA,TSS,Inflow,46
18,1980780486_CA,TSS,Inflow,46
66,1980780486_CA,TSS,Inflow,46
1280,1980780486_CA,TSS,Inflow,47
49,1980780486_CA,TSS,Inflow,47
15,1980780486_CA,TSS,Inflow,47
30,1980780486_CA,TSS,Inflow,47
191,1980780486_CA,TSS,Inflow,47
15,1980780486_CA,TSS,Inflow,48
85,1980780486_CA,TSS,Inflow,48
30,1980780486_CA,TSS,Inflow,48
66,1980780486_CA,TSS,Inflow,48
118,1980780486_CA,TSS,Inflow,48
18,1980780486_CA,TSS,Inflow,49
24,1980780486_CA,TSS,Inflow,49
191,1980780486_CA,TSS,Inflow,49
49,1980780486_CA,TSS,Inflow,49
66,1980780486_CA,TSS,Inflow,49
35,1980780486_CA,TSS,Inflow,50
30,1980780486_CA,TSS,Inflow,50
166,1980780486_CA,TSS,Inflow,50
118,1980780486_CA,TSS,Inflow,50
72,1980780486_CA,TSS,Inflow,50
161,1980780486_CA,TSS,Inflow,51
191,1980780486_CA,TSS,Inflow,51
72,1980780486_CA,TSS,Inflow,51
723,1980780486_CA,TSS,Inflow,51
166,1980780486_CA,TSS,Inflow,51
161,1980780486_CA,TSS,Inflow,52
66,1980780486_CA,TSS,Inflow,52
21,1980780486_CA,TSS,Inflow,52
30,1980780486_CA,TSS,Inflow,52
723,1980780486_CA,TSS,Inflow,52
72,1980780486_CA,TSS,Inflow,53
600,1980780486_CA,TSS,Inflow,53
30,1980780486_CA,TSS,Inflow,53
30,1980780486_CA,TSS,Inflow,53
85,1980780486_CA,TSS,Inflow,53
90,1980780486_CA,TSS,Inflow,54
161,1980780486_CA,TSS,Inflow,54
35,1980780486_CA,TSS,Inflow,54
72,1980780486_CA,TSS,Inflow,54
21,1980780486_CA,TSS,Inflow,54
35,1980780486_CA,TSS,Inflow,55
30,1980780486_CA,TSS,Inflow,55
72,1980780486_CA,TSS,Inflow,55
1280,1980780486_CA,TSS,Inflow,55
66,1980780486_CA,TSS,Inflow,55
191,1980780486_CA,TSS,Inflow,56
161,1980780486_CA,TSS,Inflow,56
90,1980780486_CA,TSS,Inflow,56
35,1980780486_CA,TSS,Inflow,56
21,1980780486_CA,TSS,Inflow,56
66,1980780486_CA,TSS,Inflow,57
72,1980780486_CA,TSS,Inflow,57
600,1980780486_CA,TSS,Inflow,57
21,1980780486_CA,TSS,Inflow,57
161,1980780486_CA,TSS,Inflow,57
2870,1980780486_CA,TSS,Inflow,58
90,1980780486_CA,TSS,Inflow,58
166,1980780486_CA,TSS,Inflow,58
35,1980780486_CA,TSS,Inflow,58
72,1980780486_CA,TSS,Inflow,58
21,1980780486_CA,TSS,Inflow,59
96,1980780486_CA,TSS,Inflow,59
72,1980780486_CA,TSS,Inflow,59
24,1980780486_CA,TSS,Inflow,59
18,1980780486_CA,TSS,Inflow,59
161,1980780486_CA,TSS,Inflow,60
24,1980780486_CA,TSS,Inflow,60
66,1980780486_CA,TSS,Inflow,60
