EMC,Location,Analyte,Flow,Run
68.0,2011981340_NC,TSS,Inflow,1
18.0,2011981340_NC,TSS,Inflow,1
21.0,2011981340_NC,TSS,Inflow,1
92.0,2011981340_NC,TSS,Inflow,1
39.0,2011981340_NC,TSS,Inflow,1
20.0,2011981340_NC,TSS,Inflow,1
18.0,2011981340_NC,TSS,Inflow,1
11.0,2011981340_NC,TSS,Inflow,1
50.0,2011981340_NC,TSS,Inflow,1
22.0,2011981340_NC,TSS,Inflow,1
76.0,2011981340_NC,TSS,Inflow,1
46.0,2011981340_NC,TSS,Inflow,1
63.0,2011981340_NC,TSS,Inflow,1
44.0,2011981340_NC,TSS,Inflow,1
19.0,2011981340_NC,TSS,Inflow,1
125.0,2011981340_NC,TSS,Inflow,2
66.0,2011981340_NC,TSS,Inflow,2
44.0,2011981340_NC,TSS,Inflow,2
39.0,2011981340_NC,TSS,Inflow,2
132.0,2011981340_NC,TSS,Inflow,2
21.0,2011981340_NC,TSS,Inflow,2
11.0,2011981340_NC,TSS,Inflow,2
18.0,2011981340_NC,TSS,Inflow,2
22.0,2011981340_NC,TSS,Inflow,2
18.0,2011981340_NC,TSS,Inflow,2
60.0,2011981340_NC,TSS,Inflow,2
46.0,2011981340_NC,TSS,Inflow,2
84.0,2011981340_NC,TSS,Inflow,2
49.0,2011981340_NC,TSS,Inflow,2
21.0,2011981340_NC,TSS,Inflow,2
5.0,2011981340_NC,TSS,Inflow,3
21.0,2011981340_NC,TSS,Inflow,3
125.0,2011981340_NC,TSS,Inflow,3
16.0,2011981340_NC,TSS,Inflow,3
21.0,2011981340_NC,TSS,Inflow,3
46.0,2011981340_NC,TSS,Inflow,3
49.0,2011981340_NC,TSS,Inflow,3
18.0,2011981340_NC,TSS,Inflow,3
22.0,2011981340_NC,TSS,Inflow,3
44.0,2011981340_NC,TSS,Inflow,3
92.0,2011981340_NC,TSS,Inflow,3
19.0,2011981340_NC,TSS,Inflow,3
11.0,2011981340_NC,TSS,Inflow,3
63.0,2011981340_NC,TSS,Inflow,3
39.0,2011981340_NC,TSS,Inflow,3
44.0,2011981340_NC,TSS,Inflow,4
18.0,2011981340_NC,TSS,Inflow,4
29.0,2011981340_NC,TSS,Inflow,4
21.0,2011981340_NC,TSS,Inflow,4
11.0,2011981340_NC,TSS,Inflow,4
39.0,2011981340_NC,TSS,Inflow,4
21.0,2011981340_NC,TSS,Inflow,4
84.0,2011981340_NC,TSS,Inflow,4
68.0,2011981340_NC,TSS,Inflow,4
5.0,2011981340_NC,TSS,Inflow,4
66.0,2011981340_NC,TSS,Inflow,4
92.0,2011981340_NC,TSS,Inflow,4
49.0,2011981340_NC,TSS,Inflow,4
20.0,2011981340_NC,TSS,Inflow,4
19.0,2011981340_NC,TSS,Inflow,4
21.0,2011981340_NC,TSS,Inflow,5
49.0,2011981340_NC,TSS,Inflow,5
76.0,2011981340_NC,TSS,Inflow,5
11.0,2011981340_NC,TSS,Inflow,5
132.0,2011981340_NC,TSS,Inflow,5
19.0,2011981340_NC,TSS,Inflow,5
92.0,2011981340_NC,TSS,Inflow,5
44.0,2011981340_NC,TSS,Inflow,5
29.0,2011981340_NC,TSS,Inflow,5
50.0,2011981340_NC,TSS,Inflow,5
46.0,2011981340_NC,TSS,Inflow,5
60.0,2011981340_NC,TSS,Inflow,5
22.0,2011981340_NC,TSS,Inflow,5
44.0,2011981340_NC,TSS,Inflow,5
5.0,2011981340_NC,TSS,Inflow,5
50.0,2011981340_NC,TSS,Inflow,6
16.0,2011981340_NC,TSS,Inflow,6
44.0,2011981340_NC,TSS,Inflow,6
132.0,2011981340_NC,TSS,Inflow,6
15.0,2011981340_NC,TSS,Inflow,6
68.0,2011981340_NC,TSS,Inflow,6
21.0,2011981340_NC,TSS,Inflow,6
63.0,2011981340_NC,TSS,Inflow,6
66.0,2011981340_NC,TSS,Inflow,6
20.0,2011981340_NC,TSS,Inflow,6
60.0,2011981340_NC,TSS,Inflow,6
21.0,2011981340_NC,TSS,Inflow,6
18.0,2011981340_NC,TSS,Inflow,6
76.0,2011981340_NC,TSS,Inflow,6
49.0,2011981340_NC,TSS,Inflow,6
60.0,2011981340_NC,TSS,Inflow,7
125.0,2011981340_NC,TSS,Inflow,7
39.0,2011981340_NC,TSS,Inflow,7
19.0,2011981340_NC,TSS,Inflow,7
44.0,2011981340_NC,TSS,Inflow,7
44.0,2011981340_NC,TSS,Inflow,7
68.0,2011981340_NC,TSS,Inflow,7
16.0,2011981340_NC,TSS,Inflow,7
21.0,2011981340_NC,TSS,Inflow,7
18.0,2011981340_NC,TSS,Inflow,7
15.0,2011981340_NC,TSS,Inflow,7
11.0,2011981340_NC,TSS,Inflow,7
21.0,2011981340_NC,TSS,Inflow,7
20.0,2011981340_NC,TSS,Inflow,7
92.0,2011981340_NC,TSS,Inflow,7
5.0,2011981340_NC,TSS,Inflow,8
11.0,2011981340_NC,TSS,Inflow,8
60.0,2011981340_NC,TSS,Inflow,8
84.0,2011981340_NC,TSS,Inflow,8
18.0,2011981340_NC,TSS,Inflow,8
46.0,2011981340_NC,TSS,Inflow,8
49.0,2011981340_NC,TSS,Inflow,8
29.0,2011981340_NC,TSS,Inflow,8
15.0,2011981340_NC,TSS,Inflow,8
39.0,2011981340_NC,TSS,Inflow,8
132.0,2011981340_NC,TSS,Inflow,8
22.0,2011981340_NC,TSS,Inflow,8
20.0,2011981340_NC,TSS,Inflow,8
50.0,2011981340_NC,TSS,Inflow,8
66.0,2011981340_NC,TSS,Inflow,8
44.0,2011981340_NC,TSS,Inflow,9
76.0,2011981340_NC,TSS,Inflow,9
21.0,2011981340_NC,TSS,Inflow,9
39.0,2011981340_NC,TSS,Inflow,9
21.0,2011981340_NC,TSS,Inflow,9
15.0,2011981340_NC,TSS,Inflow,9
125.0,2011981340_NC,TSS,Inflow,9
84.0,2011981340_NC,TSS,Inflow,9
29.0,2011981340_NC,TSS,Inflow,9
18.0,2011981340_NC,TSS,Inflow,9
19.0,2011981340_NC,TSS,Inflow,9
5.0,2011981340_NC,TSS,Inflow,9
66.0,2011981340_NC,TSS,Inflow,9
63.0,2011981340_NC,TSS,Inflow,9
92.0,2011981340_NC,TSS,Inflow,9
125.0,2011981340_NC,TSS,Inflow,10
68.0,2011981340_NC,TSS,Inflow,10
132.0,2011981340_NC,TSS,Inflow,10
66.0,2011981340_NC,TSS,Inflow,10
46.0,2011981340_NC,TSS,Inflow,10
5.0,2011981340_NC,TSS,Inflow,10
92.0,2011981340_NC,TSS,Inflow,10
50.0,2011981340_NC,TSS,Inflow,10
16.0,2011981340_NC,TSS,Inflow,10
18.0,2011981340_NC,TSS,Inflow,10
49.0,2011981340_NC,TSS,Inflow,10
15.0,2011981340_NC,TSS,Inflow,10
22.0,2011981340_NC,TSS,Inflow,10
60.0,2011981340_NC,TSS,Inflow,10
21.0,2011981340_NC,TSS,Inflow,10
46.0,2011981340_NC,TSS,Inflow,11
21.0,2011981340_NC,TSS,Inflow,11
16.0,2011981340_NC,TSS,Inflow,11
92.0,2011981340_NC,TSS,Inflow,11
44.0,2011981340_NC,TSS,Inflow,11
50.0,2011981340_NC,TSS,Inflow,11
60.0,2011981340_NC,TSS,Inflow,11
125.0,2011981340_NC,TSS,Inflow,11
21.0,2011981340_NC,TSS,Inflow,11
19.0,2011981340_NC,TSS,Inflow,11
132.0,2011981340_NC,TSS,Inflow,11
18.0,2011981340_NC,TSS,Inflow,11
76.0,2011981340_NC,TSS,Inflow,11
5.0,2011981340_NC,TSS,Inflow,11
39.0,2011981340_NC,TSS,Inflow,11
68.0,2011981340_NC,TSS,Inflow,12
132.0,2011981340_NC,TSS,Inflow,12
20.0,2011981340_NC,TSS,Inflow,12
5.0,2011981340_NC,TSS,Inflow,12
15.0,2011981340_NC,TSS,Inflow,12
18.0,2011981340_NC,TSS,Inflow,12
