EMC,Location,Analyte,Flow,Run
18.0,2011981340_NC,TSS,Outflow,1
35.0,2011981340_NC,TSS,Outflow,1
2.5,2011981340_NC,TSS,Outflow,1
46.0,2011981340_NC,TSS,Outflow,1
86.0,2011981340_NC,TSS,Outflow,1
2.5,2011981340_NC,TSS,Outflow,1
7.0,2011981340_NC,TSS,Outflow,1
10.0,2011981340_NC,TSS,Outflow,1
2.5,2011981340_NC,TSS,Outflow,1
6.0,2011981340_NC,TSS,Outflow,1
14.0,2011981340_NC,TSS,Outflow,1
12.0,2011981340_NC,TSS,Outflow,1
10.0,2011981340_NC,TSS,Outflow,1
32.0,2011981340_NC,TSS,Outflow,1
15.0,2011981340_NC,TSS,Outflow,1
29.0,2011981340_NC,TSS,Outflow,1
24.0,2011981340_NC,TSS,Outflow,1
18.0,2011981340_NC,TSS,Outflow,1
2.5,2011981340_NC,TSS,Outflow,1
2.5,2011981340_NC,TSS,Outflow,1
14.0,2011981340_NC,TSS,Outflow,2
2.5,2011981340_NC,TSS,Outflow,2
2.5,2011981340_NC,TSS,Outflow,2
2.5,2011981340_NC,TSS,Outflow,2
11.0,2011981340_NC,TSS,Outflow,2
18.0,2011981340_NC,TSS,Outflow,2
2.5,2011981340_NC,TSS,Outflow,2
18.0,2011981340_NC,TSS,Outflow,2
58.0,2011981340_NC,TSS,Outflow,2
86.0,2011981340_NC,TSS,Outflow,2
12.0,2011981340_NC,TSS,Outflow,2
6.0,2011981340_NC,TSS,Outflow,2
29.0,2011981340_NC,TSS,Outflow,2
15.0,2011981340_NC,TSS,Outflow,2
24.0,2011981340_NC,TSS,Outflow,2
32.0,2011981340_NC,TSS,Outflow,2
2.5,2011981340_NC,TSS,Outflow,2
46.0,2011981340_NC,TSS,Outflow,2
10.0,2011981340_NC,TSS,Outflow,2
7.0,2011981340_NC,TSS,Outflow,2
2.5,2011981340_NC,TSS,Outflow,3
10.0,2011981340_NC,TSS,Outflow,3
46.0,2011981340_NC,TSS,Outflow,3
7.0,2011981340_NC,TSS,Outflow,3
2.5,2011981340_NC,TSS,Outflow,3
11.0,2011981340_NC,TSS,Outflow,3
35.0,2011981340_NC,TSS,Outflow,3
86.0,2011981340_NC,TSS,Outflow,3
29.0,2011981340_NC,TSS,Outflow,3
14.0,2011981340_NC,TSS,Outflow,3
6.0,2011981340_NC,TSS,Outflow,3
12.0,2011981340_NC,TSS,Outflow,3
2.5,2011981340_NC,TSS,Outflow,3
2.5,2011981340_NC,TSS,Outflow,3
18.0,2011981340_NC,TSS,Outflow,3
58.0,2011981340_NC,TSS,Outflow,3
15.0,2011981340_NC,TSS,Outflow,3
18.0,2011981340_NC,TSS,Outflow,3
2.5,2011981340_NC,TSS,Outflow,3
24.0,2011981340_NC,TSS,Outflow,3
2.5,2011981340_NC,TSS,Outflow,4
2.5,2011981340_NC,TSS,Outflow,4
7.0,2011981340_NC,TSS,Outflow,4
10.0,2011981340_NC,TSS,Outflow,4
18.0,2011981340_NC,TSS,Outflow,4
2.5,2011981340_NC,TSS,Outflow,4
18.0,2011981340_NC,TSS,Outflow,4
58.0,2011981340_NC,TSS,Outflow,4
6.0,2011981340_NC,TSS,Outflow,4
46.0,2011981340_NC,TSS,Outflow,4
12.0,2011981340_NC,TSS,Outflow,4
86.0,2011981340_NC,TSS,Outflow,4
10.0,2011981340_NC,TSS,Outflow,4
2.5,2011981340_NC,TSS,Outflow,4
29.0,2011981340_NC,TSS,Outflow,4
14.0,2011981340_NC,TSS,Outflow,4
11.0,2011981340_NC,TSS,Outflow,4
2.5,2011981340_NC,TSS,Outflow,4
32.0,2011981340_NC,TSS,Outflow,4
15.0,2011981340_NC,TSS,Outflow,4
86.0,2011981340_NC,TSS,Outflow,5
2.5,2011981340_NC,TSS,Outflow,5
2.5,2011981340_NC,TSS,Outflow,5
18.0,2011981340_NC,TSS,Outflow,5
32.0,2011981340_NC,TSS,Outflow,5
14.0,2011981340_NC,TSS,Outflow,5
18.0,2011981340_NC,TSS,Outflow,5
46.0,2011981340_NC,TSS,Outflow,5
10.0,2011981340_NC,TSS,Outflow,5
12.0,2011981340_NC,TSS,Outflow,5
2.5,2011981340_NC,TSS,Outflow,5
15.0,2011981340_NC,TSS,Outflow,5
10.0,2011981340_NC,TSS,Outflow,5
7.0,2011981340_NC,TSS,Outflow,5
35.0,2011981340_NC,TSS,Outflow,5
11.0,2011981340_NC,TSS,Outflow,5
6.0,2011981340_NC,TSS,Outflow,5
29.0,2011981340_NC,TSS,Outflow,5
2.5,2011981340_NC,TSS,Outflow,5
2.5,2011981340_NC,TSS,Outflow,5
18.0,2011981340_NC,TSS,Outflow,6
24.0,2011981340_NC,TSS,Outflow,6
15.0,2011981340_NC,TSS,Outflow,6
58.0,2011981340_NC,TSS,Outflow,6
2.5,2011981340_NC,TSS,Outflow,6
6.0,2011981340_NC,TSS,Outflow,6
10.0,2011981340_NC,TSS,Outflow,6
2.5,2011981340_NC,TSS,Outflow,6
12.0,2011981340_NC,TSS,Outflow,6
18.0,2011981340_NC,TSS,Outflow,6
2.5,2011981340_NC,TSS,Outflow,6
11.0,2011981340_NC,TSS,Outflow,6
7.0,2011981340_NC,TSS,Outflow,6
14.0,2011981340_NC,TSS,Outflow,6
35.0,2011981340_NC,TSS,Outflow,6
2.5,2011981340_NC,TSS,Outflow,6
32.0,2011981340_NC,TSS,Outflow,6
86.0,2011981340_NC,TSS,Outflow,6
10.0,2011981340_NC,TSS,Outflow,6
2.5,2011981340_NC,TSS,Outflow,6
2.5,2011981340_NC,TSS,Outflow,7
46.0,2011981340_NC,TSS,Outflow,7
11.0,2011981340_NC,TSS,Outflow,7
10.0,2011981340_NC,TSS,Outflow,7
2.5,2011981340_NC,TSS,Outflow,7
35.0,2011981340_NC,TSS,Outflow,7
2.5,2011981340_NC,TSS,Outflow,7
2.5,2011981340_NC,TSS,Outflow,7
86.0,2011981340_NC,TSS,Outflow,7
32.0,2011981340_NC,TSS,Outflow,7
24.0,2011981340_NC,TSS,Outflow,7
2.5,2011981340_NC,TSS,Outflow,7
2.5,2011981340_NC,TSS,Outflow,7
12.0,2011981340_NC,TSS,Outflow,7
7.0,2011981340_NC,TSS,Outflow,7
18.0,2011981340_NC,TSS,Outflow,7
18.0,2011981340_NC,TSS,Outflow,7
10.0,2011981340_NC,TSS,Outflow,7
14.0,2011981340_NC,TSS,Outflow,7
58.0,2011981340_NC,TSS,Outflow,7
2.5,2011981340_NC,TSS,Outflow,8
15.0,2011981340_NC,TSS,Outflow,8
2.5,2011981340_NC,TSS,Outflow,8
11.0,2011981340_NC,TSS,Outflow,8
6.0,2011981340_NC,TSS,Outflow,8
46.0,2011981340_NC,TSS,Outflow,8
2.5,2011981340_NC,TSS,Outflow,8
12.0,2011981340_NC,TSS,Outflow,8
24.0,2011981340_NC,TSS,Outflow,8
86.0,2011981340_NC,TSS,Outflow,8
10.0,2011981340_NC,TSS,Outflow,8
2.5,2011981340_NC,TSS,Outflow,8
7.0,2011981340_NC,TSS,Outflow,8
29.0,2011981340_NC,TSS,Outflow,8
2.5,2011981340_NC,TSS,Outflow,8
14.0,2011981340_NC,TSS,Outflow,8
2.5,2011981340_NC,TSS,Outflow,8
18.0,2011981340_NC,TSS,Outflow,8
10.0,2011981340_NC,TSS,Outflow,8
18.0,2011981340_NC,TSS,Outflow,8
2.5,2011981340_NC,TSS,Outflow,9
12.0,2011981340_NC,TSS,Outflow,9
29.0,2011981340_NC,TSS,Outflow,9
2.5,2011981340_NC,TSS,Outflow,9
15.0,2011981340_NC,TSS,Outflow,9
35.0,2011981340_NC,TSS,Outflow,9
14.0,2011981340_NC,TSS,Outflow,9
32.0,2011981340_NC,TSS,Outflow,9
10.0,2011981340_NC,TSS,Outflow,9
2.5,2011981340_NC,TSS,Outflow,9
7.0,2011981340_NC,TSS,Outflow,9
18.0,2011981340_NC,TSS,Outflow,9
6.0,2011981340_NC,TSS,Outflow,9
2.5,2011981340_NC,TSS,Outflow,9
10.0,2011981340_NC,TSS,Outflow,9
18.0,2011981340_NC,TSS,Outflow,9
11.0,2011981340_NC,TSS,Outflow,9
58.0,2011981340_NC,TSS,Outflow,9
24.0,2011981340_NC,TSS,Outflow,9
2.5,2011981340_NC,TSS,Outflow,9
32.0,2011981340_NC,TSS,Outflow,10
12.0,2011981340_NC,TSS,Outflow,10
18.0,2011981340_NC,TSS,Outflow,10
86.0,2011981340_NC,TSS,Outflow,10
10.0,2011981340_NC,TSS,Outflow,10
18.0,2011981340_NC,TSS,Outflow,10
2.5,2011981340_NC,TSS,Outflow,10
2.5,2011981340_NC,TSS,Outflow,10
10.0,2011981340_NC,TSS,Outflow,10
58.0,2011981340_NC,TSS,Outflow,10
2.5,2011981340_NC,TSS,Outflow,10
29.0,2011981340_NC,TSS,Outflow,10
2.5,2011981340_NC,TSS,Outflow,10
2.5,2011981340_NC,TSS,Outflow,10
6.0,2011981340_NC,TSS,Outflow,10
2.5,2011981340_NC,TSS,Outflow,10
15.0,2011981340_NC,TSS,Outflow,10
24.0,2011981340_NC,TSS,Outflow,10
35.0,2011981340_NC,TSS,Outflow,10
7.0,2011981340_NC,TSS,Outflow,10
14.0,2011981340_NC,TSS,Outflow,11
2.5,2011981340_NC,TSS,Outflow,11
2.5,2011981340_NC,TSS,Outflow,11
10.0,2011981340_NC,TSS,Outflow,11
32.0,2011981340_NC,TSS,Outflow,11
2.5,2011981340_NC,TSS,Outflow,11
11.0,2011981340_NC,TSS,Outflow,11
2.5,2011981340_NC,TSS,Outflow,11
18.0,2011981340_NC,TSS,Outflow,11
7.0,2011981340_NC,TSS,Outflow,11
86.0,2011981340_NC,TSS,Outflow,11
46.0,2011981340_NC,TSS,Outflow,11
35.0,2011981340_NC,TSS,Outflow,11
6.0,2011981340_NC,TSS,Outflow,11
2.5,2011981340_NC,TSS,Outflow,11
15.0,2011981340_NC,TSS,Outflow,11
24.0,2011981340_NC,TSS,Outflow,11
10.0,2011981340_NC,TSS,Outflow,11
58.0,2011981340_NC,TSS,Outflow,11
18.0,2011981340_NC,TSS,Outflow,11
2.5,2011981340_NC,TSS,Outflow,12
6.0,2011981340_NC,TSS,Outflow,12
2.5,2011981340_NC,TSS,Outflow,12
2.5,2011981340_NC,TSS,Outflow,12
7.0,2011981340_NC,TSS,Outflow,12
18.0,2011981340_NC,TSS,Outflow,12
29.0,2011981340_NC,TSS,Outflow,12
15.0,2011981340_NC,TSS,Outflow,12
2.5,2011981340_NC,TSS,Outflow,12
2.5,2011981340_NC,TSS,Outflow,12
18.0,2011981340_NC,TSS,Outflow,12
10.0,2011981340_NC,TSS,Outflow,12
12.0,2011981340_NC,TSS,Outflow,12
10.0,2011981340_NC,TSS,Outflow,12
86.0,2011981340_NC,TSS,Outflow,12
58.0,2011981340_NC,TSS,Outflow,12
35.0,2011981340_NC,TSS,Outflow,12
2.5,2011981340_NC,TSS,Outflow,12
14.0,2011981340_NC,TSS,Outflow,12
46.0,2011981340_NC,TSS,Outflow,12
29.0,2011981340_NC,TSS,Outflow,13
35.0,2011981340_NC,TSS,Outflow,13
12.0,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,13
46.0,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,13
11.0,2011981340_NC,TSS,Outflow,13
18.0,2011981340_NC,TSS,Outflow,13
7.0,2011981340_NC,TSS,Outflow,13
32.0,2011981340_NC,TSS,Outflow,13
10.0,2011981340_NC,TSS,Outflow,13
10.0,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,13
86.0,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,13
18.0,2011981340_NC,TSS,Outflow,13
58.0,2011981340_NC,TSS,Outflow,13
24.0,2011981340_NC,TSS,Outflow,13
2.5,2011981340_NC,TSS,Outflow,14
35.0,2011981340_NC,TSS,Outflow,14
32.0,2011981340_NC,TSS,Outflow,14
10.0,2011981340_NC,TSS,Outflow,14
29.0,2011981340_NC,TSS,Outflow,14
15.0,2011981340_NC,TSS,Outflow,14
46.0,2011981340_NC,TSS,Outflow,14
2.5,2011981340_NC,TSS,Outflow,14
12.0,2011981340_NC,TSS,Outflow,14
2.5,2011981340_NC,TSS,Outflow,14
7.0,2011981340_NC,TSS,Outflow,14
6.0,2011981340_NC,TSS,Outflow,14
2.5,2011981340_NC,TSS,Outflow,14
2.5,2011981340_NC,TSS,Outflow,14
18.0,2011981340_NC,TSS,Outflow,14
86.0,2011981340_NC,TSS,Outflow,14
2.5,2011981340_NC,TSS,Outflow,14
11.0,2011981340_NC,TSS,Outflow,14
24.0,2011981340_NC,TSS,Outflow,14
58.0,2011981340_NC,TSS,Outflow,14
2.5,2011981340_NC,TSS,Outflow,15
18.0,2011981340_NC,TSS,Outflow,15
29.0,2011981340_NC,TSS,Outflow,15
10.0,2011981340_NC,TSS,Outflow,15
18.0,2011981340_NC,TSS,Outflow,15
6.0,2011981340_NC,TSS,Outflow,15
2.5,2011981340_NC,TSS,Outflow,15
10.0,2011981340_NC,TSS,Outflow,15
12.0,2011981340_NC,TSS,Outflow,15
2.5,2011981340_NC,TSS,Outflow,15
2.5,2011981340_NC,TSS,Outflow,15
35.0,2011981340_NC,TSS,Outflow,15
46.0,2011981340_NC,TSS,Outflow,15
2.5,2011981340_NC,TSS,Outflow,15
15.0,2011981340_NC,TSS,Outflow,15
11.0,2011981340_NC,TSS,Outflow,15
32.0,2011981340_NC,TSS,Outflow,15
2.5,2011981340_NC,TSS,Outflow,15
58.0,2011981340_NC,TSS,Outflow,15
7.0,2011981340_NC,TSS,Outflow,15
11.0,2011981340_NC,TSS,Outflow,16
10.0,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,16
58.0,2011981340_NC,TSS,Outflow,16
18.0,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,16
24.0,2011981340_NC,TSS,Outflow,16
35.0,2011981340_NC,TSS,Outflow,16
29.0,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,16
46.0,2011981340_NC,TSS,Outflow,16
14.0,2011981340_NC,TSS,Outflow,16
86.0,2011981340_NC,TSS,Outflow,16
32.0,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,16
15.0,2011981340_NC,TSS,Outflow,16
6.0,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,16
7.0,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,16
2.5,2011981340_NC,TSS,Outflow,17
12.0,2011981340_NC,TSS,Outflow,17
10.0,2011981340_NC,TSS,Outflow,17
7.0,2011981340_NC,TSS,Outflow,17
46.0,2011981340_NC,TSS,Outflow,17
15.0,2011981340_NC,TSS,Outflow,17
24.0,2011981340_NC,TSS,Outflow,17
2.5,2011981340_NC,TSS,Outflow,17
29.0,2011981340_NC,TSS,Outflow,17
2.5,2011981340_NC,TSS,Outflow,17
18.0,2011981340_NC,TSS,Outflow,17
11.0,2011981340_NC,TSS,Outflow,17
35.0,2011981340_NC,TSS,Outflow,17
6.0,2011981340_NC,TSS,Outflow,17
2.5,2011981340_NC,TSS,Outflow,17
18.0,2011981340_NC,TSS,Outflow,17
2.5,2011981340_NC,TSS,Outflow,17
14.0,2011981340_NC,TSS,Outflow,17
10.0,2011981340_NC,TSS,Outflow,17
58.0,2011981340_NC,TSS,Outflow,17
11.0,2011981340_NC,TSS,Outflow,18
10.0,2011981340_NC,TSS,Outflow,18
29.0,2011981340_NC,TSS,Outflow,18
2.5,2011981340_NC,TSS,Outflow,18
2.5,2011981340_NC,TSS,Outflow,18
14.0,2011981340_NC,TSS,Outflow,18
2.5,2011981340_NC,TSS,Outflow,18
35.0,2011981340_NC,TSS,Outflow,18
10.0,2011981340_NC,TSS,Outflow,18
2.5,2011981340_NC,TSS,Outflow,18
12.0,2011981340_NC,TSS,Outflow,18
2.5,2011981340_NC,TSS,Outflow,18
2.5,2011981340_NC,TSS,Outflow,18
58.0,2011981340_NC,TSS,Outflow,18
46.0,2011981340_NC,TSS,Outflow,18
18.0,2011981340_NC,TSS,Outflow,18
32.0,2011981340_NC,TSS,Outflow,18
7.0,2011981340_NC,TSS,Outflow,18
86.0,2011981340_NC,TSS,Outflow,18
15.0,2011981340_NC,TSS,Outflow,18
14.0,2011981340_NC,TSS,Outflow,19
15.0,2011981340_NC,TSS,Outflow,19
32.0,2011981340_NC,TSS,Outflow,19
2.5,2011981340_NC,TSS,Outflow,19
10.0,2011981340_NC,TSS,Outflow,19
2.5,2011981340_NC,TSS,Outflow,19
18.0,2011981340_NC,TSS,Outflow,19
2.5,2011981340_NC,TSS,Outflow,19
24.0,2011981340_NC,TSS,Outflow,19
35.0,2011981340_NC,TSS,Outflow,19
2.5,2011981340_NC,TSS,Outflow,19
12.0,2011981340_NC,TSS,Outflow,19
29.0,2011981340_NC,TSS,Outflow,19
11.0,2011981340_NC,TSS,Outflow,19
86.0,2011981340_NC,TSS,Outflow,19
58.0,2011981340_NC,TSS,Outflow,19
10.0,2011981340_NC,TSS,Outflow,19
6.0,2011981340_NC,TSS,Outflow,19
7.0,2011981340_NC,TSS,Outflow,19
2.5,2011981340_NC,TSS,Outflow,19
35.0,2011981340_NC,TSS,Outflow,20
2.5,2011981340_NC,TSS,Outflow,20
2.5,2011981340_NC,TSS,Outflow,20
10.0,2011981340_NC,TSS,Outflow,20
2.5,2011981340_NC,TSS,Outflow,20
24.0,2011981340_NC,TSS,Outflow,20
18.0,2011981340_NC,TSS,Outflow,20
10.0,2011981340_NC,TSS,Outflow,20
46.0,2011981340_NC,TSS,Outflow,20
15.0,2011981340_NC,TSS,Outflow,20
2.5,2011981340_NC,TSS,Outflow,20
86.0,2011981340_NC,TSS,Outflow,20
29.0,2011981340_NC,TSS,Outflow,20
2.5,2011981340_NC,TSS,Outflow,20
6.0,2011981340_NC,TSS,Outflow,20
2.5,2011981340_NC,TSS,Outflow,20
58.0,2011981340_NC,TSS,Outflow,20
7.0,2011981340_NC,TSS,Outflow,20
18.0,2011981340_NC,TSS,Outflow,20
14.0,2011981340_NC,TSS,Outflow,20
10.0,2011981340_NC,TSS,Outflow,21
2.5,2011981340_NC,TSS,Outflow,21
12.0,2011981340_NC,TSS,Outflow,21
2.5,2011981340_NC,TSS,Outflow,21
46.0,2011981340_NC,TSS,Outflow,21
35.0,2011981340_NC,TSS,Outflow,21
10.0,2011981340_NC,TSS,Outflow,21
