EMC,Location,Analyte,Flow,Run
4.0,459063142_WI_proprietary,Copper,Inflow,1
1.0,459063142_WI_proprietary,Copper,Inflow,1
1.0,459063142_WI_proprietary,Copper,Inflow,1
2.0,459063142_WI_proprietary,Copper,Inflow,1
1.0,459063142_WI_proprietary,Copper,Inflow,1
1.0,459063142_WI_proprietary,Copper,Inflow,2
2.099999904632568,459063142_WI_proprietary,Copper,Inflow,2
2.599999904632568,459063142_WI_proprietary,Copper,Inflow,2
2.0,459063142_WI_proprietary,Copper,Inflow,2
1.799999952316284,459063142_WI_proprietary,Copper,Inflow,2
2.599999904632568,459063142_WI_proprietary,Copper,Inflow,3
2.099999904632568,459063142_WI_proprietary,Copper,Inflow,3
1.0,459063142_WI_proprietary,Copper,Inflow,3
2.700000047683716,459063142_WI_proprietary,Copper,Inflow,3
0.5,459063142_WI_proprietary,Copper,Inflow,3
1.0,459063142_WI_proprietary,Copper,Inflow,4
1.799999952316284,459063142_WI_proprietary,Copper,Inflow,4
1.0,459063142_WI_proprietary,Copper,Inflow,4
1.899999976158142,459063142_WI_proprietary,Copper,Inflow,4
1.0,459063142_WI_proprietary,Copper,Inflow,4
0.5,459063142_WI_proprietary,Copper,Inflow,5
1.899999976158142,459063142_WI_proprietary,Copper,Inflow,5
1.0,459063142_WI_proprietary,Copper,Inflow,5
0.5,459063142_WI_proprietary,Copper,Inflow,5
4.0,459063142_WI_proprietary,Copper,Inflow,5
0.5,459063142_WI_proprietary,Copper,Inflow,6
2.700000047683716,459063142_WI_proprietary,Copper,Inflow,6
3.0,459063142_WI_proprietary,Copper,Inflow,6
1.799999952316284,459063142_WI_proprietary,Copper,Inflow,6
4.0,459063142_WI_proprietary,Copper,Inflow,6
2.0,459063142_WI_proprietary,Copper,Inflow,7
2.5,459063142_WI_proprietary,Copper,Inflow,7
1.0,459063142_WI_proprietary,Copper,Inflow,7
3.0,459063142_WI_proprietary,Copper,Inflow,7
3.700000047683716,459063142_WI_proprietary,Copper,Inflow,7
1.0,459063142_WI_proprietary,Copper,Inflow,8
2.599999904632568,459063142_WI_proprietary,Copper,Inflow,8
2.099999904632568,459063142_WI_proprietary,Copper,Inflow,8
0.5,459063142_WI_proprietary,Copper,Inflow,8
4.0,459063142_WI_proprietary,Copper,Inflow,8
2.5,459063142_WI_proprietary,Copper,Inflow,9
2.599999904632568,459063142_WI_proprietary,Copper,Inflow,9
1.799999952316284,459063142_WI_proprietary,Copper,Inflow,9
1.0,459063142_WI_proprietary,Copper,Inflow,9
2.0,459063142_WI_proprietary,Copper,Inflow,9
1.0,459063142_WI_proprietary,Copper,Inflow,10
4.0,459063142_WI_proprietary,Copper,Inflow,10
1.0,459063142_WI_proprietary,Copper,Inflow,10
1.0,459063142_WI_proprietary,Copper,Inflow,10
2.0,459063142_WI_proprietary,Copper,Inflow,10
1.0,459063142_WI_proprietary,Copper,Inflow,11
1.0,459063142_WI_proprietary,Copper,Inflow,11
1.0,459063142_WI_proprietary,Copper,Inflow,11
0.5,459063142_WI_proprietary,Copper,Inflow,11
1.0,459063142_WI_proprietary,Copper,Inflow,11
2.0,459063142_WI_proprietary,Copper,Inflow,12
1.0,459063142_WI_proprietary,Copper,Inflow,12
4.0,459063142_WI_proprietary,Copper,Inflow,12
1.0,459063142_WI_proprietary,Copper,Inflow,12
2.0,459063142_WI_proprietary,Copper,Inflow,12
0.5,459063142_WI_proprietary,Copper,Inflow,13
4.0,459063142_WI_proprietary,Copper,Inflow,13
2.5,459063142_WI_proprietary,Copper,Inflow,13
0.5,459063142_WI_proprietary,Copper,Inflow,13
4.0,459063142_WI_proprietary,Copper,Inflow,13
1.799999952316284,459063142_WI_proprietary,Copper,Inflow,14
3.0,459063142_WI_proprietary,Copper,Inflow,14
1.0,459063142_WI_proprietary,Copper,Inflow,14
1.0,459063142_WI_proprietary,Copper,Inflow,14
1.899999976158142,459063142_WI_proprietary,Copper,Inflow,14
2.700000047683716,459063142_WI_proprietary,Copper,Inflow,15
1.0,459063142_WI_proprietary,Copper,Inflow,15
4.0,459063142_WI_proprietary,Copper,Inflow,15
1.0,459063142_WI_proprietary,Copper,Inflow,15
4.0,459063142_WI_proprietary,Copper,Inflow,15
0.5,459063142_WI_proprietary,Copper,Inflow,16
