EMC,Location,Analyte,Flow,Run
37.0,526858588_CO,TSS,Outflow,1
35.0,526858588_CO,TSS,Outflow,1
41.0,526858588_CO,TSS,Outflow,1
22.0,526858588_CO,TSS,Outflow,1
0.5,526858588_CO,TSS,Outflow,1
40.0,526858588_CO,TSS,Outflow,1
8.0,526858588_CO,TSS,Outflow,1
165.0,526858588_CO,TSS,Outflow,1
85.0,526858588_CO,TSS,Outflow,1
5.0,526858588_CO,TSS,Outflow,1
26.0,526858588_CO,TSS,Outflow,1
115.0,526858588_CO,TSS,Outflow,1
63.0,526858588_CO,TSS,Outflow,1
46.0,526858588_CO,TSS,Outflow,1
143.0,526858588_CO,TSS,Outflow,1
518.0,526858588_CO,TSS,Outflow,2
35.0,526858588_CO,TSS,Outflow,2
59.5,526858588_CO,TSS,Outflow,2
63.0,526858588_CO,TSS,Outflow,2
46.0,526858588_CO,TSS,Outflow,2
17.0,526858588_CO,TSS,Outflow,2
30.0,526858588_CO,TSS,Outflow,2
156.0,526858588_CO,TSS,Outflow,2
297.0,526858588_CO,TSS,Outflow,2
8.0,526858588_CO,TSS,Outflow,2
22.0,526858588_CO,TSS,Outflow,2
87.0,526858588_CO,TSS,Outflow,2
16.0,526858588_CO,TSS,Outflow,2
50.0,526858588_CO,TSS,Outflow,2
38.0,526858588_CO,TSS,Outflow,2
59.5,526858588_CO,TSS,Outflow,3
134.0,526858588_CO,TSS,Outflow,3
16.0,526858588_CO,TSS,Outflow,3
40.0,526858588_CO,TSS,Outflow,3
297.0,526858588_CO,TSS,Outflow,3
8.0,526858588_CO,TSS,Outflow,3
226.0,526858588_CO,TSS,Outflow,3
518.0,526858588_CO,TSS,Outflow,3
165.0,526858588_CO,TSS,Outflow,3
22.0,526858588_CO,TSS,Outflow,3
22.0,526858588_CO,TSS,Outflow,3
46.0,526858588_CO,TSS,Outflow,3
26.0,526858588_CO,TSS,Outflow,3
50.0,526858588_CO,TSS,Outflow,3
455.0,526858588_CO,TSS,Outflow,3
54.0,526858588_CO,TSS,Outflow,4
89.5,526858588_CO,TSS,Outflow,4
37.0,526858588_CO,TSS,Outflow,4
22.0,526858588_CO,TSS,Outflow,4
21.0,526858588_CO,TSS,Outflow,4
16.0,526858588_CO,TSS,Outflow,4
518.0,526858588_CO,TSS,Outflow,4
134.0,526858588_CO,TSS,Outflow,4
30.0,526858588_CO,TSS,Outflow,4
8.0,526858588_CO,TSS,Outflow,4
62.0,526858588_CO,TSS,Outflow,4
59.5,526858588_CO,TSS,Outflow,4
0.5,526858588_CO,TSS,Outflow,4
41.0,526858588_CO,TSS,Outflow,4
278.0,526858588_CO,TSS,Outflow,4
0.5,526858588_CO,TSS,Outflow,5
156.0,526858588_CO,TSS,Outflow,5
58.0,526858588_CO,TSS,Outflow,5
8.0,526858588_CO,TSS,Outflow,5
22.0,526858588_CO,TSS,Outflow,5
0.5,526858588_CO,TSS,Outflow,5
303.0,526858588_CO,TSS,Outflow,5
38.0,526858588_CO,TSS,Outflow,5
17.0,526858588_CO,TSS,Outflow,5
46.0,526858588_CO,TSS,Outflow,5
297.0,526858588_CO,TSS,Outflow,5
16.0,526858588_CO,TSS,Outflow,5
7.0,526858588_CO,TSS,Outflow,5
20.0,526858588_CO,TSS,Outflow,5
134.0,526858588_CO,TSS,Outflow,5
22.0,526858588_CO,TSS,Outflow,6
40.0,526858588_CO,TSS,Outflow,6
0.5,526858588_CO,TSS,Outflow,6
16.0,526858588_CO,TSS,Outflow,6
57.0,526858588_CO,TSS,Outflow,6
130.0,526858588_CO,TSS,Outflow,6
13.0,526858588_CO,TSS,Outflow,6
297.0,526858588_CO,TSS,Outflow,6
303.0,526858588_CO,TSS,Outflow,6
455.0,526858588_CO,TSS,Outflow,6
17.0,526858588_CO,TSS,Outflow,6
7.0,526858588_CO,TSS,Outflow,6
134.0,526858588_CO,TSS,Outflow,6
59.5,526858588_CO,TSS,Outflow,6
87.0,526858588_CO,TSS,Outflow,6
35.0,526858588_CO,TSS,Outflow,7
303.0,526858588_CO,TSS,Outflow,7
143.0,526858588_CO,TSS,Outflow,7
278.0,526858588_CO,TSS,Outflow,7
22.0,526858588_CO,TSS,Outflow,7
16.0,526858588_CO,TSS,Outflow,7
37.0,526858588_CO,TSS,Outflow,7
8.0,526858588_CO,TSS,Outflow,7
41.0,526858588_CO,TSS,Outflow,7
35.0,526858588_CO,TSS,Outflow,7
0.5,526858588_CO,TSS,Outflow,7
8.0,526858588_CO,TSS,Outflow,7
26.0,526858588_CO,TSS,Outflow,7
29.0,526858588_CO,TSS,Outflow,7
130.0,526858588_CO,TSS,Outflow,7
46.0,526858588_CO,TSS,Outflow,8
0.5,526858588_CO,TSS,Outflow,8
308.0,526858588_CO,TSS,Outflow,8
20.0,526858588_CO,TSS,Outflow,8
40.0,526858588_CO,TSS,Outflow,8
44.5,526858588_CO,TSS,Outflow,8
33.0,526858588_CO,TSS,Outflow,8
89.5,526858588_CO,TSS,Outflow,8
