EMC,Location,Analyte,Flow,Run
0.47,6_AZMCA005,Phosphorus,Inflow,1
1.0,6_AZMCA005,Phosphorus,Inflow,1
0.61,6_AZMCA005,Phosphorus,Inflow,1
0.48,6_AZMCA005,Phosphorus,Inflow,1
0.32,6_AZMCA005,Phosphorus,Inflow,1
0.92,6_AZMCA005,Phosphorus,Inflow,2
0.59,6_AZMCA005,Phosphorus,Inflow,2
2.0,6_AZMCA005,Phosphorus,Inflow,2
0.66,6_AZMCA005,Phosphorus,Inflow,2
0.34,6_AZMCA005,Phosphorus,Inflow,2
0.16,6_AZMCA005,Phosphorus,Inflow,3
1.0,6_AZMCA005,Phosphorus,Inflow,3
0.44,6_AZMCA005,Phosphorus,Inflow,3
0.21,6_AZMCA005,Phosphorus,Inflow,3
0.47,6_AZMCA005,Phosphorus,Inflow,3
2.0,6_AZMCA005,Phosphorus,Inflow,4
0.37,6_AZMCA005,Phosphorus,Inflow,4
0.48,6_AZMCA005,Phosphorus,Inflow,4
0.38,6_AZMCA005,Phosphorus,Inflow,4
0.76,6_AZMCA005,Phosphorus,Inflow,4
0.16,6_AZMCA005,Phosphorus,Inflow,5
0.48,6_AZMCA005,Phosphorus,Inflow,5
1.0,6_AZMCA005,Phosphorus,Inflow,5
0.36,6_AZMCA005,Phosphorus,Inflow,5
0.44,6_AZMCA005,Phosphorus,Inflow,5
0.34,6_AZMCA005,Phosphorus,Inflow,6
0.22,6_AZMCA005,Phosphorus,Inflow,6
2.0,6_AZMCA005,Phosphorus,Inflow,6
0.48,6_AZMCA005,Phosphorus,Inflow,6
1.0,6_AZMCA005,Phosphorus,Inflow,6
0.53,6_AZMCA005,Phosphorus,Inflow,7
0.47,6_AZMCA005,Phosphorus,Inflow,7
0.92,6_AZMCA005,Phosphorus,Inflow,7
0.66,6_AZMCA005,Phosphorus,Inflow,7
0.75,6_AZMCA005,Phosphorus,Inflow,7
0.37,6_AZMCA005,Phosphorus,Inflow,8
0.61,6_AZMCA005,Phosphorus,Inflow,8
0.71,6_AZMCA005,Phosphorus,Inflow,8
0.21,6_AZMCA005,Phosphorus,Inflow,8
0.66,6_AZMCA005,Phosphorus,Inflow,8
0.76,6_AZMCA005,Phosphorus,Inflow,9
0.53,6_AZMCA005,Phosphorus,Inflow,9
0.32,6_AZMCA005,Phosphorus,Inflow,9
0.8,6_AZMCA005,Phosphorus,Inflow,9
0.48,6_AZMCA005,Phosphorus,Inflow,9
0.92,6_AZMCA005,Phosphorus,Inflow,10
0.34,6_AZMCA005,Phosphorus,Inflow,10
0.8,6_AZMCA005,Phosphorus,Inflow,10
0.38,6_AZMCA005,Phosphorus,Inflow,10
0.48,6_AZMCA005,Phosphorus,Inflow,10
0.71,6_AZMCA005,Phosphorus,Inflow,11
0.38,6_AZMCA005,Phosphorus,Inflow,11
0.61,6_AZMCA005,Phosphorus,Inflow,11
0.92,6_AZMCA005,Phosphorus,Inflow,11
0.47,6_AZMCA005,Phosphorus,Inflow,11
0.53,6_AZMCA005,Phosphorus,Inflow,12
0.36,6_AZMCA005,Phosphorus,Inflow,12
0.16,6_AZMCA005,Phosphorus,Inflow,12
0.32,6_AZMCA005,Phosphorus,Inflow,12
0.75,6_AZMCA005,Phosphorus,Inflow,12
0.48,6_AZMCA005,Phosphorus,Inflow,13
0.92,6_AZMCA005,Phosphorus,Inflow,13
0.61,6_AZMCA005,Phosphorus,Inflow,13
0.66,6_AZMCA005,Phosphorus,Inflow,13
2.0,6_AZMCA005,Phosphorus,Inflow,13
0.32,6_AZMCA005,Phosphorus,Inflow,14
0.16,6_AZMCA005,Phosphorus,Inflow,14
0.66,6_AZMCA005,Phosphorus,Inflow,14
0.75,6_AZMCA005,Phosphorus,Inflow,14
0.61,6_AZMCA005,Phosphorus,Inflow,14
0.53,6_AZMCA005,Phosphorus,Inflow,15
0.16,6_AZMCA005,Phosphorus,Inflow,15
0.32,6_AZMCA005,Phosphorus,Inflow,15
0.47,6_AZMCA005,Phosphorus,Inflow,15
0.22,6_AZMCA005,Phosphorus,Inflow,15
0.38,6_AZMCA005,Phosphorus,Inflow,16
0.59,6_AZMCA005,Phosphorus,Inflow,16
0.83,6_AZMCA005,Phosphorus,Inflow,16
0.76,6_AZMCA005,Phosphorus,Inflow,16
0.8,6_AZMCA005,Phosphorus,Inflow,16
2.0,6_AZMCA005,Phosphorus,Inflow,17
0.38,6_AZMCA005,Phosphorus,Inflow,17
0.8,6_AZMCA005,Phosphorus,Inflow,17
0.92,6_AZMCA005,Phosphorus,Inflow,17
0.53,6_AZMCA005,Phosphorus,Inflow,17
0.16,6_AZMCA005,Phosphorus,Inflow,18
0.75,6_AZMCA005,Phosphorus,Inflow,18
0.37,6_AZMCA005,Phosphorus,Inflow,18
0.76,6_AZMCA005,Phosphorus,Inflow,18
0.53,6_AZMCA005,Phosphorus,Inflow,18
0.38,6_AZMCA005,Phosphorus,Inflow,19
0.48,6_AZMCA005,Phosphorus,Inflow,19
0.92,6_AZMCA005,Phosphorus,Inflow,19
0.32,6_AZMCA005,Phosphorus,Inflow,19
0.36,6_AZMCA005,Phosphorus,Inflow,19
0.36,6_AZMCA005,Phosphorus,Inflow,20
0.44,6_AZMCA005,Phosphorus,Inflow,20
0.66,6_AZMCA005,Phosphorus,Inflow,20
0.76,6_AZMCA005,Phosphorus,Inflow,20
0.92,6_AZMCA005,Phosphorus,Inflow,20
2.0,6_AZMCA005,Phosphorus,Inflow,21
0.36,6_AZMCA005,Phosphorus,Inflow,21
0.53,6_AZMCA005,Phosphorus,Inflow,21
0.48,6_AZMCA005,Phosphorus,Inflow,21
0.66,6_AZMCA005,Phosphorus,Inflow,21
0.59,6_AZMCA005,Phosphorus,Inflow,22
0.37,6_AZMCA005,Phosphorus,Inflow,22
0.38,6_AZMCA005,Phosphorus,Inflow,22
0.83,6_AZMCA005,Phosphorus,Inflow,22
0.61,6_AZMCA005,Phosphorus,Inflow,22
0.21,6_AZMCA005,Phosphorus,Inflow,23
0.36,6_AZMCA005,Phosphorus,Inflow,23
0.76,6_AZMCA005,Phosphorus,Inflow,23
0.8,6_AZMCA005,Phosphorus,Inflow,23
0.47,6_AZMCA005,Phosphorus,Inflow,23
0.22,6_AZMCA005,Phosphorus,Inflow,24
1.0,6_AZMCA005,Phosphorus,Inflow,24
0.47,6_AZMCA005,Phosphorus,Inflow,24
0.21,6_AZMCA005,Phosphorus,Inflow,24
0.38,6_AZMCA005,Phosphorus,Inflow,24
0.8,6_AZMCA005,Phosphorus,Inflow,25
1.0,6_AZMCA005,Phosphorus,Inflow,25
0.36,6_AZMCA005,Phosphorus,Inflow,25
0.37,6_AZMCA005,Phosphorus,Inflow,25
0.75,6_AZMCA005,Phosphorus,Inflow,25
0.38,6_AZMCA005,Phosphorus,Inflow,26
0.21,6_AZMCA005,Phosphorus,Inflow,26
0.61,6_AZMCA005,Phosphorus,Inflow,26
