EMC,Location,Analyte,Flow,Run
10.0,6_CACTA002,Copper,Inflow,1
12.0,6_CACTA002,Copper,Inflow,1
9.0,6_CACTA002,Copper,Inflow,1
5.3,6_CACTA002,Copper,Inflow,1
16.0,6_CACTA002,Copper,Inflow,1
15.0,6_CACTA002,Copper,Inflow,2
5.3,6_CACTA002,Copper,Inflow,2
9.5,6_CACTA002,Copper,Inflow,2
11.0,6_CACTA002,Copper,Inflow,2
5.1,6_CACTA002,Copper,Inflow,2
5.3,6_CACTA002,Copper,Inflow,3
6.5,6_CACTA002,Copper,Inflow,3
4.7,6_CACTA002,Copper,Inflow,3
6.8,6_CACTA002,Copper,Inflow,3
10.0,6_CACTA002,Copper,Inflow,3
4.7,6_CACTA002,Copper,Inflow,4
10.0,6_CACTA002,Copper,Inflow,4
6.5,6_CACTA002,Copper,Inflow,4
11.0,6_CACTA002,Copper,Inflow,4
6.8,6_CACTA002,Copper,Inflow,4
6.9,6_CACTA002,Copper,Inflow,5
9.0,6_CACTA002,Copper,Inflow,5
8.2,6_CACTA002,Copper,Inflow,5
10.0,6_CACTA002,Copper,Inflow,5
5.1,6_CACTA002,Copper,Inflow,5
16.0,6_CACTA002,Copper,Inflow,6
10.0,6_CACTA002,Copper,Inflow,6
11.0,6_CACTA002,Copper,Inflow,6
8.2,6_CACTA002,Copper,Inflow,6
5.1,6_CACTA002,Copper,Inflow,6
6.5,6_CACTA002,Copper,Inflow,7
5.1,6_CACTA002,Copper,Inflow,7
9.5,6_CACTA002,Copper,Inflow,7
11.0,6_CACTA002,Copper,Inflow,7
4.7,6_CACTA002,Copper,Inflow,7
9.5,6_CACTA002,Copper,Inflow,8
6.8,6_CACTA002,Copper,Inflow,8
4.7,6_CACTA002,Copper,Inflow,8
5.3,6_CACTA002,Copper,Inflow,8
16.0,6_CACTA002,Copper,Inflow,8
5.3,6_CACTA002,Copper,Inflow,9
11.0,6_CACTA002,Copper,Inflow,9
9.0,6_CACTA002,Copper,Inflow,9
15.0,6_CACTA002,Copper,Inflow,9
6.9,6_CACTA002,Copper,Inflow,9
10.0,6_CACTA002,Copper,Inflow,10
12.0,6_CACTA002,Copper,Inflow,10
16.0,6_CACTA002,Copper,Inflow,10
5.1,6_CACTA002,Copper,Inflow,10
11.0,6_CACTA002,Copper,Inflow,10
8.2,6_CACTA002,Copper,Inflow,11
9.2,6_CACTA002,Copper,Inflow,11
15.0,6_CACTA002,Copper,Inflow,11
16.0,6_CACTA002,Copper,Inflow,11
11.0,6_CACTA002,Copper,Inflow,11
9.5,6_CACTA002,Copper,Inflow,12
5.1,6_CACTA002,Copper,Inflow,12
11.0,6_CACTA002,Copper,Inflow,12
15.0,6_CACTA002,Copper,Inflow,12
6.5,6_CACTA002,Copper,Inflow,12
11.0,6_CACTA002,Copper,Inflow,13
6.8,6_CACTA002,Copper,Inflow,13
4.7,6_CACTA002,Copper,Inflow,13
9.2,6_CACTA002,Copper,Inflow,13
16.0,6_CACTA002,Copper,Inflow,13
10.0,6_CACTA002,Copper,Inflow,14
11.0,6_CACTA002,Copper,Inflow,14
15.0,6_CACTA002,Copper,Inflow,14
9.0,6_CACTA002,Copper,Inflow,14
5.1,6_CACTA002,Copper,Inflow,14
11.0,6_CACTA002,Copper,Inflow,15
9.5,6_CACTA002,Copper,Inflow,15
16.0,6_CACTA002,Copper,Inflow,15
6.5,6_CACTA002,Copper,Inflow,15
11.0,6_CACTA002,Copper,Inflow,15
8.2,6_CACTA002,Copper,Inflow,16
4.7,6_CACTA002,Copper,Inflow,16
9.0,6_CACTA002,Copper,Inflow,16
9.5,6_CACTA002,Copper,Inflow,16
12.0,6_CACTA002,Copper,Inflow,16
5.3,6_CACTA002,Copper,Inflow,17
9.0,6_CACTA002,Copper,Inflow,17
11.0,6_CACTA002,Copper,Inflow,17
6.8,6_CACTA002,Copper,Inflow,17
11.0,6_CACTA002,Copper,Inflow,17
12.0,6_CACTA002,Copper,Inflow,18
6.8,6_CACTA002,Copper,Inflow,18
9.5,6_CACTA002,Copper,Inflow,18
11.0,6_CACTA002,Copper,Inflow,18
6.9,6_CACTA002,Copper,Inflow,18
6.5,6_CACTA002,Copper,Inflow,19
4.7,6_CACTA002,Copper,Inflow,19
9.5,6_CACTA002,Copper,Inflow,19
12.0,6_CACTA002,Copper,Inflow,19
6.9,6_CACTA002,Copper,Inflow,19
9.2,6_CACTA002,Copper,Inflow,20
9.5,6_CACTA002,Copper,Inflow,20
5.1,6_CACTA002,Copper,Inflow,20
16.0,6_CACTA002,Copper,Inflow,20
10.0,6_CACTA002,Copper,Inflow,20
5.1,6_CACTA002,Copper,Inflow,21
6.9,6_CACTA002,Copper,Inflow,21
5.3,6_CACTA002,Copper,Inflow,21
11.0,6_CACTA002,Copper,Inflow,21
10.0,6_CACTA002,Copper,Inflow,21
10.0,6_CACTA002,Copper,Inflow,22
5.1,6_CACTA002,Copper,Inflow,22
9.2,6_CACTA002,Copper,Inflow,22
15.0,6_CACTA002,Copper,Inflow,22
6.8,6_CACTA002,Copper,Inflow,22
12.0,6_CACTA002,Copper,Inflow,23
4.7,6_CACTA002,Copper,Inflow,23
10.0,6_CACTA002,Copper,Inflow,23
15.0,6_CACTA002,Copper,Inflow,23
11.0,6_CACTA002,Copper,Inflow,23
9.0,6_CACTA002,Copper,Inflow,24
16.0,6_CACTA002,Copper,Inflow,24
11.0,6_CACTA002,Copper,Inflow,24
10.0,6_CACTA002,Copper,Inflow,24
4.7,6_CACTA002,Copper,Inflow,24
4.7,6_CACTA002,Copper,Inflow,25
6.8,6_CACTA002,Copper,Inflow,25
11.0,6_CACTA002,Copper,Inflow,25
15.0,6_CACTA002,Copper,Inflow,25
10.0,6_CACTA002,Copper,Inflow,25
6.5,6_CACTA002,Copper,Inflow,26
5.1,6_CACTA002,Copper,Inflow,26
11.0,6_CACTA002,Copper,Inflow,26
9.5,6_CACTA002,Copper,Inflow,26
6.9,6_CACTA002,Copper,Inflow,26
15.0,6_CACTA002,Copper,Inflow,27
10.0,6_CACTA002,Copper,Inflow,27
11.0,6_CACTA002,Copper,Inflow,27
9.0,6_CACTA002,Copper,Inflow,27
12.0,6_CACTA002,Copper,Inflow,27
9.0,6_CACTA002,Copper,Inflow,28
9.5,6_CACTA002,Copper,Inflow,28
11.0,6_CACTA002,Copper,Inflow,28
11.0,6_CACTA002,Copper,Inflow,28
6.8,6_CACTA002,Copper,Inflow,28
6.5,6_CACTA002,Copper,Inflow,29
9.0,6_CACTA002,Copper,Inflow,29
6.9,6_CACTA002,Copper,Inflow,29
4.7,6_CACTA002,Copper,Inflow,29
6.8,6_CACTA002,Copper,Inflow,29
6.5,6_CACTA002,Copper,Inflow,30
16.0,6_CACTA002,Copper,Inflow,30
6.9,6_CACTA002,Copper,Inflow,30
5.3,6_CACTA002,Copper,Inflow,30
8.2,6_CACTA002,Copper,Inflow,30
11.0,6_CACTA002,Copper,Inflow,31
5.3,6_CACTA002,Copper,Inflow,31
5.1,6_CACTA002,Copper,Inflow,31
6.5,6_CACTA002,Copper,Inflow,31
12.0,6_CACTA002,Copper,Inflow,31
5.3,6_CACTA002,Copper,Inflow,32
5.1,6_CACTA002,Copper,Inflow,32
15.0,6_CACTA002,Copper,Inflow,32
4.7,6_CACTA002,Copper,Inflow,32
11.0,6_CACTA002,Copper,Inflow,32
11.0,6_CACTA002,Copper,Inflow,33
9.2,6_CACTA002,Copper,Inflow,33
10.0,6_CACTA002,Copper,Inflow,33
15.0,6_CACTA002,Copper,Inflow,33
16.0,6_CACTA002,Copper,Inflow,33
6.9,6_CACTA002,Copper,Inflow,34
9.2,6_CACTA002,Copper,Inflow,34
9.5,6_CACTA002,Copper,Inflow,34
5.1,6_CACTA002,Copper,Inflow,34
