EMC,Location,Analyte,Flow,Run
44.0,6_CACTA002,TSS,Inflow,1
31.0,6_CACTA002,TSS,Inflow,1
55.0,6_CACTA002,TSS,Inflow,1
50.0,6_CACTA002,TSS,Inflow,1
85.0,6_CACTA002,TSS,Inflow,1
100.0,6_CACTA002,TSS,Inflow,1
94.0,6_CACTA002,TSS,Inflow,1
39.0,6_CACTA002,TSS,Inflow,1
27.0,6_CACTA002,TSS,Inflow,1
57.0,6_CACTA002,TSS,Inflow,1
100.0,6_CACTA002,TSS,Inflow,2
94.0,6_CACTA002,TSS,Inflow,2
57.0,6_CACTA002,TSS,Inflow,2
155.0,6_CACTA002,TSS,Inflow,2
85.0,6_CACTA002,TSS,Inflow,2
27.0,6_CACTA002,TSS,Inflow,2
10.0,6_CACTA002,TSS,Inflow,2
44.0,6_CACTA002,TSS,Inflow,2
39.0,6_CACTA002,TSS,Inflow,2
55.0,6_CACTA002,TSS,Inflow,2
57.0,6_CACTA002,TSS,Inflow,3
44.0,6_CACTA002,TSS,Inflow,3
57.0,6_CACTA002,TSS,Inflow,3
31.0,6_CACTA002,TSS,Inflow,3
155.0,6_CACTA002,TSS,Inflow,3
10.0,6_CACTA002,TSS,Inflow,3
85.0,6_CACTA002,TSS,Inflow,3
70.0,6_CACTA002,TSS,Inflow,3
94.0,6_CACTA002,TSS,Inflow,3
55.0,6_CACTA002,TSS,Inflow,3
27.0,6_CACTA002,TSS,Inflow,4
10.0,6_CACTA002,TSS,Inflow,4
55.0,6_CACTA002,TSS,Inflow,4
100.0,6_CACTA002,TSS,Inflow,4
57.0,6_CACTA002,TSS,Inflow,4
50.0,6_CACTA002,TSS,Inflow,4
163.0,6_CACTA002,TSS,Inflow,4
44.0,6_CACTA002,TSS,Inflow,4
31.0,6_CACTA002,TSS,Inflow,4
70.0,6_CACTA002,TSS,Inflow,4
163.0,6_CACTA002,TSS,Inflow,5
57.0,6_CACTA002,TSS,Inflow,5
85.0,6_CACTA002,TSS,Inflow,5
57.0,6_CACTA002,TSS,Inflow,5
39.0,6_CACTA002,TSS,Inflow,5
100.0,6_CACTA002,TSS,Inflow,5
10.0,6_CACTA002,TSS,Inflow,5
50.0,6_CACTA002,TSS,Inflow,5
155.0,6_CACTA002,TSS,Inflow,5
44.0,6_CACTA002,TSS,Inflow,5
163.0,6_CACTA002,TSS,Inflow,6
100.0,6_CACTA002,TSS,Inflow,6
70.0,6_CACTA002,TSS,Inflow,6
57.0,6_CACTA002,TSS,Inflow,6
27.0,6_CACTA002,TSS,Inflow,6
94.0,6_CACTA002,TSS,Inflow,6
155.0,6_CACTA002,TSS,Inflow,6
31.0,6_CACTA002,TSS,Inflow,6
39.0,6_CACTA002,TSS,Inflow,6
50.0,6_CACTA002,TSS,Inflow,6
94.0,6_CACTA002,TSS,Inflow,7
10.0,6_CACTA002,TSS,Inflow,7
100.0,6_CACTA002,TSS,Inflow,7
163.0,6_CACTA002,TSS,Inflow,7
55.0,6_CACTA002,TSS,Inflow,7
70.0,6_CACTA002,TSS,Inflow,7
44.0,6_CACTA002,TSS,Inflow,7
85.0,6_CACTA002,TSS,Inflow,7
31.0,6_CACTA002,TSS,Inflow,7
27.0,6_CACTA002,TSS,Inflow,7
50.0,6_CACTA002,TSS,Inflow,8
44.0,6_CACTA002,TSS,Inflow,8
155.0,6_CACTA002,TSS,Inflow,8
85.0,6_CACTA002,TSS,Inflow,8
100.0,6_CACTA002,TSS,Inflow,8
94.0,6_CACTA002,TSS,Inflow,8
163.0,6_CACTA002,TSS,Inflow,8
