EMC,Location,Analyte,Flow,Run
67.0,919103477_CA,TSS,Outflow,1
98.0,919103477_CA,TSS,Outflow,1
24.0,919103477_CA,TSS,Outflow,1
57.0,919103477_CA,TSS,Outflow,1
0.5,919103477_CA,TSS,Outflow,1
72.0,919103477_CA,TSS,Outflow,1
48.0,919103477_CA,TSS,Outflow,1
23.0,919103477_CA,TSS,Outflow,1
89.0,919103477_CA,TSS,Outflow,1
160.0,919103477_CA,TSS,Outflow,1
130.0,919103477_CA,TSS,Outflow,2
0.5,919103477_CA,TSS,Outflow,2
36.0,919103477_CA,TSS,Outflow,2
74.0,919103477_CA,TSS,Outflow,2
150.0,919103477_CA,TSS,Outflow,2
120.0,919103477_CA,TSS,Outflow,2
28.0,919103477_CA,TSS,Outflow,2
57.0,919103477_CA,TSS,Outflow,2
66.0,919103477_CA,TSS,Outflow,2
200.0,919103477_CA,TSS,Outflow,2
14.0,919103477_CA,TSS,Outflow,3
74.0,919103477_CA,TSS,Outflow,3
21.0,919103477_CA,TSS,Outflow,3
110.0,919103477_CA,TSS,Outflow,3
84.0,919103477_CA,TSS,Outflow,3
30.0,919103477_CA,TSS,Outflow,3
57.0,919103477_CA,TSS,Outflow,3
1200.0,919103477_CA,TSS,Outflow,3
36.0,919103477_CA,TSS,Outflow,3
48.0,919103477_CA,TSS,Outflow,3
24.0,919103477_CA,TSS,Outflow,4
28.0,919103477_CA,TSS,Outflow,4
500.0,919103477_CA,TSS,Outflow,4
84.0,919103477_CA,TSS,Outflow,4
35.0,919103477_CA,TSS,Outflow,4
74.0,919103477_CA,TSS,Outflow,4
43.0,919103477_CA,TSS,Outflow,4
69.0,919103477_CA,TSS,Outflow,4
77.0,919103477_CA,TSS,Outflow,4
57.0,919103477_CA,TSS,Outflow,4
28.0,919103477_CA,TSS,Outflow,5
54.0,919103477_CA,TSS,Outflow,5
1200.0,919103477_CA,TSS,Outflow,5
73.0,919103477_CA,TSS,Outflow,5
36.0,919103477_CA,TSS,Outflow,5
74.0,919103477_CA,TSS,Outflow,5
120.0,919103477_CA,TSS,Outflow,5
30.0,919103477_CA,TSS,Outflow,5
72.0,919103477_CA,TSS,Outflow,5
74.0,919103477_CA,TSS,Outflow,5
28.0,919103477_CA,TSS,Outflow,6
290.0,919103477_CA,TSS,Outflow,6
89.0,919103477_CA,TSS,Outflow,6
57.0,919103477_CA,TSS,Outflow,6
110.0,919103477_CA,TSS,Outflow,6
24.0,919103477_CA,TSS,Outflow,6
79.0,919103477_CA,TSS,Outflow,6
89.0,919103477_CA,TSS,Outflow,6
130.0,919103477_CA,TSS,Outflow,6
23.0,919103477_CA,TSS,Outflow,6
67.0,919103477_CA,TSS,Outflow,7
74.0,919103477_CA,TSS,Outflow,7
61.0,919103477_CA,TSS,Outflow,7
98.0,919103477_CA,TSS,Outflow,7
130.0,919103477_CA,TSS,Outflow,7
79.0,919103477_CA,TSS,Outflow,7
84.0,919103477_CA,TSS,Outflow,7
110.0,919103477_CA,TSS,Outflow,7
48.0,919103477_CA,TSS,Outflow,7
74.0,919103477_CA,TSS,Outflow,7
110.0,919103477_CA,TSS,Outflow,8
74.0,919103477_CA,TSS,Outflow,8
92.0,919103477_CA,TSS,Outflow,8
30.0,919103477_CA,TSS,Outflow,8
84.0,919103477_CA,TSS,Outflow,8
97.0,919103477_CA,TSS,Outflow,8
130.0,919103477_CA,TSS,Outflow,8
28.0,919103477_CA,TSS,Outflow,8
0.5,919103477_CA,TSS,Outflow,8
24.0,919103477_CA,TSS,Outflow,8
61.0,919103477_CA,TSS,Outflow,9
21.0,919103477_CA,TSS,Outflow,9
55.0,919103477_CA,TSS,Outflow,9
66.0,919103477_CA,TSS,Outflow,9
120.0,919103477_CA,TSS,Outflow,9
0.5,919103477_CA,TSS,Outflow,9
72.0,919103477_CA,TSS,Outflow,9
28.0,919103477_CA,TSS,Outflow,9
36.0,919103477_CA,TSS,Outflow,9
140.0,919103477_CA,TSS,Outflow,9
74.0,919103477_CA,TSS,Outflow,10
150.0,919103477_CA,TSS,Outflow,10
24.0,919103477_CA,TSS,Outflow,10
57.0,919103477_CA,TSS,Outflow,10
65.0,919103477_CA,TSS,Outflow,10
52.0,919103477_CA,TSS,Outflow,10
500.0,919103477_CA,TSS,Outflow,10
98.0,919103477_CA,TSS,Outflow,10
290.0,919103477_CA,TSS,Outflow,10
23.0,919103477_CA,TSS,Outflow,10
67.0,919103477_CA,TSS,Outflow,11
92.0,919103477_CA,TSS,Outflow,11
160.0,919103477_CA,TSS,Outflow,11
1.0,919103477_CA,TSS,Outflow,11
140.0,919103477_CA,TSS,Outflow,11
120.0,919103477_CA,TSS,Outflow,11
110.0,919103477_CA,TSS,Outflow,11
57.0,919103477_CA,TSS,Outflow,11
73.0,919103477_CA,TSS,Outflow,11
65.0,919103477_CA,TSS,Outflow,11
1200.0,919103477_CA,TSS,Outflow,12
120.0,919103477_CA,TSS,Outflow,12
23.0,919103477_CA,TSS,Outflow,12
110.0,919103477_CA,TSS,Outflow,12
64.0,919103477_CA,TSS,Outflow,12
500.0,919103477_CA,TSS,Outflow,12
73.0,919103477_CA,TSS,Outflow,12
43.0,919103477_CA,TSS,Outflow,12
150.0,919103477_CA,TSS,Outflow,12
36.0,919103477_CA,TSS,Outflow,12
500.0,919103477_CA,TSS,Outflow,13
0.5,919103477_CA,TSS,Outflow,13
30.0,919103477_CA,TSS,Outflow,13
23.0,919103477_CA,TSS,Outflow,13
43.0,919103477_CA,TSS,Outflow,13
35.0,919103477_CA,TSS,Outflow,13
74.0,919103477_CA,TSS,Outflow,13
140.0,919103477_CA,TSS,Outflow,13
66.0,919103477_CA,TSS,Outflow,13
92.0,919103477_CA,TSS,Outflow,13
65.0,919103477_CA,TSS,Outflow,14
74.0,919103477_CA,TSS,Outflow,14
77.0,919103477_CA,TSS,Outflow,14
23.0,919103477_CA,TSS,Outflow,14
72.0,919103477_CA,TSS,Outflow,14
1200.0,919103477_CA,TSS,Outflow,14
130.0,919103477_CA,TSS,Outflow,14
160.0,919103477_CA,TSS,Outflow,14
74.0,919103477_CA,TSS,Outflow,14
84.0,919103477_CA,TSS,Outflow,14
23.0,919103477_CA,TSS,Outflow,15
69.0,919103477_CA,TSS,Outflow,15
92.0,919103477_CA,TSS,Outflow,15
54.0,919103477_CA,TSS,Outflow,15
77.0,919103477_CA,TSS,Outflow,15
