EMC,Location,Analyte,Flow,Run
15.19999980926514,920048328_VA,TSS,Outflow,1
16.39999961853027,920048328_VA,TSS,Outflow,1
168.0,920048328_VA,TSS,Outflow,1
15.60000038146973,920048328_VA,TSS,Outflow,1
28.0,920048328_VA,TSS,Outflow,1
6.400000095367432,920048328_VA,TSS,Outflow,1
3.200000047683716,920048328_VA,TSS,Outflow,1
33.0,920048328_VA,TSS,Outflow,1
8.399999618530273,920048328_VA,TSS,Outflow,1
47.0,920048328_VA,TSS,Outflow,1
8.399999618530273,920048328_VA,TSS,Outflow,2
18.0,920048328_VA,TSS,Outflow,2
13.60000038146973,920048328_VA,TSS,Outflow,2
12.80000019073486,920048328_VA,TSS,Outflow,2
6.0,920048328_VA,TSS,Outflow,2
6.0,920048328_VA,TSS,Outflow,2
47.0,920048328_VA,TSS,Outflow,2
5.599999904632568,920048328_VA,TSS,Outflow,2
8.800000190734863,920048328_VA,TSS,Outflow,2
83.0,920048328_VA,TSS,Outflow,2
12.80000019073486,920048328_VA,TSS,Outflow,3
15.19999980926514,920048328_VA,TSS,Outflow,3
8.800000190734863,920048328_VA,TSS,Outflow,3
8.399999618530273,920048328_VA,TSS,Outflow,3
83.0,920048328_VA,TSS,Outflow,3
4.400000095367432,920048328_VA,TSS,Outflow,3
4.0,920048328_VA,TSS,Outflow,3
36.0,920048328_VA,TSS,Outflow,3
61.0,920048328_VA,TSS,Outflow,3
8.0,920048328_VA,TSS,Outflow,3
47.0,920048328_VA,TSS,Outflow,4
6.0,920048328_VA,TSS,Outflow,4
10.0,920048328_VA,TSS,Outflow,4
33.0,920048328_VA,TSS,Outflow,4
5.599999904632568,920048328_VA,TSS,Outflow,4
3.200000047683716,920048328_VA,TSS,Outflow,4
13.60000038146973,920048328_VA,TSS,Outflow,4
3.599999904632568,920048328_VA,TSS,Outflow,4
4.0,920048328_VA,TSS,Outflow,4
28.0,920048328_VA,TSS,Outflow,4
10.0,920048328_VA,TSS,Outflow,5
4.0,920048328_VA,TSS,Outflow,5
10.0,920048328_VA,TSS,Outflow,5
22.0,920048328_VA,TSS,Outflow,5
28.0,920048328_VA,TSS,Outflow,5
4.400000095367432,920048328_VA,TSS,Outflow,5
83.0,920048328_VA,TSS,Outflow,5
8.399999618530273,920048328_VA,TSS,Outflow,5
15.19999980926514,920048328_VA,TSS,Outflow,5
12.80000019073486,920048328_VA,TSS,Outflow,5
6.400000095367432,920048328_VA,TSS,Outflow,6
16.39999961853027,920048328_VA,TSS,Outflow,6
18.0,920048328_VA,TSS,Outflow,6
15.19999980926514,920048328_VA,TSS,Outflow,6
6.0,920048328_VA,TSS,Outflow,6
5.599999904632568,920048328_VA,TSS,Outflow,6
10.0,920048328_VA,TSS,Outflow,6
23.60000038146973,920048328_VA,TSS,Outflow,6
9.5,920048328_VA,TSS,Outflow,6
12.80000019073486,920048328_VA,TSS,Outflow,6
18.0,920048328_VA,TSS,Outflow,7
83.0,920048328_VA,TSS,Outflow,7
10.0,920048328_VA,TSS,Outflow,7
10.0,920048328_VA,TSS,Outflow,7
18.0,920048328_VA,TSS,Outflow,7
33.0,920048328_VA,TSS,Outflow,7
5.599999904632568,920048328_VA,TSS,Outflow,7
3.200000047683716,920048328_VA,TSS,Outflow,7
168.0,920048328_VA,TSS,Outflow,7
12.80000019073486,920048328_VA,TSS,Outflow,7
16.39999961853027,920048328_VA,TSS,Outflow,8
23.60000038146973,920048328_VA,TSS,Outflow,8
12.80000019073486,920048328_VA,TSS,Outflow,8
18.0,920048328_VA,TSS,Outflow,8
