N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NearMedianDetectionLimit,changeRPD,percentOriginal,skewnessCategory,distributionCategory,NumObservationsBelowDetect
n=5,0.1,16.567000150680542,9.217558497030991,49.17648376867778,1601357644_FL,Inflow,TSS,52,1,0.0,9.615384615384617,heavy_right_skew,BCPEo,1.0
n=5,0.25,23.0,11.599547263844123,41.22992738372222,1601357644_FL,Inflow,TSS,52,1,0.0,9.615384615384617,heavy_right_skew,BCPEo,1.0
n=5,0.5,38.0,13.385148233651334,27.994770255698125,1601357644_FL,Inflow,TSS,52,1,0.0,9.615384615384617,heavy_right_skew,BCPEo,1.0
n=5,0.75,46.0,19.46614483387433,28.12329338277632,1601357644_FL,Inflow,TSS,52,1,0.0,9.615384615384617,heavy_right_skew,BCPEo,1.0
n=5,0.9,64.69935760498046,39.92325669986579,37.579012226107736,1601357644_FL,Inflow,TSS,52,1,0.0,9.615384615384617,heavy_right_skew,BCPEo,1.0
n=10,0.1,12.66899995803833,6.603526877065525,34.12878611096587,1601357644_FL,Inflow,TSS,52,1,15.047697657711907,19.230769230769234,heavy_right_skew,BCPEo,1.0
n=10,0.25,20.75580501556396,7.805743853681396,28.504046366213785,1601357644_FL,Inflow,TSS,52,1,12.725881017508435,19.230769230769234,heavy_right_skew,BCPEo,1.0
n=10,0.5,36.12899971008301,7.413242312019146,16.279473799462878,1601357644_FL,Inflow,TSS,52,1,11.715296456235247,19.230769230769234,heavy_right_skew,BCPEo,1.0
n=10,0.75,49.12209987640381,11.976965331342349,19.071771744357164,1601357644_FL,Inflow,TSS,52,1,9.051521638419157,19.230769230769234,heavy_right_skew,BCPEo,1.0
n=10,0.9,70.19310302734374,24.081372964417824,23.698527954060076,1601357644_FL,Inflow,TSS,52,1,13.88048427204766,19.230769230769234,heavy_right_skew,BCPEo,1.0
n=15,0.1,12.479999923706057,4.434144374231683,25.249183469702746,1601357644_FL,Inflow,TSS,52,1,8.879602641263123,28.846153846153843,heavy_right_skew,BCPEo,1.0
n=15,0.25,20.83137035369873,6.356245739122797,23.638457267474884,1601357644_FL,Inflow,TSS,52,1,4.865589098738901,28.846153846153843,heavy_right_skew,BCPEo,1.0
n=15,0.5,36.79999923706055,5.687165315577513,11.151452478920607,1601357644_FL,Inflow,TSS,52,1,5.1280213205422704,28.846153846153843,heavy_right_skew,BCPEo,1.0
n=15,0.75,51.7992000579834,9.861683372258893,15.082030871723978,1601357644_FL,Inflow,TSS,52,1,3.9897408726331864,28.846153846153843,heavy_right_skew,BCPEo,1.0
n=15,0.9,73.00459899902343,18.887212280859686,18.7002877104039,1601357644_FL,Inflow,TSS,52,1,4.998240243656177,28.846153846153843,heavy_right_skew,BCPEo,1.0
n=20,0.1,11.89000034332276,3.395067598555663,18.949856401313742,1601357644_FL,Inflow,TSS,52,1,6.299327068389005,38.46153846153847,heavy_right_skew,BCPEo,1.0
n=20,0.25,20.510000228881836,5.779885115174388,21.272811780135683,1601357644_FL,Inflow,TSS,52,1,2.3656454873392008,38.46153846153847,heavy_right_skew,BCPEo,1.0
n=20,0.5,36.79999923706055,4.155980582665014,8.51058498827957,1601357644_FL,Inflow,TSS,52,1,2.640867490641037,38.46153846153847,heavy_right_skew,BCPEo,1.0
n=20,0.75,51.82499885559082,8.354954159608264,13.042052500577869,1601357644_FL,Inflow,TSS,52,1,2.039978371146109,38.46153846153847,heavy_right_skew,BCPEo,1.0
n=20,0.9,77.12629699707031,14.718749862795082,13.993358293731573,1601357644_FL,Inflow,TSS,52,1,4.706929416672326,38.46153846153847,heavy_right_skew,BCPEo,1.0
n=25,0.1,12.040000152587893,2.5544078409887185,15.612019581693492,1601357644_FL,Inflow,TSS,52,1,3.33783681962025,48.07692307692308,heavy_right_skew,BCPEo,1.0
n=25,0.25,20.00774002075195,4.550968627291205,16.66097008991173,1601357644_FL,Inflow,TSS,52,1,4.6118416902239545,48.07692307692308,heavy_right_skew,BCPEo,1.0
n=25,0.5,35.599998474121094,3.019911912237967,6.4118138443461605,1601357644_FL,Inflow,TSS,52,1,2.0987711439334094,48.07692307692308,heavy_right_skew,BCPEo,1.0
n=25,0.75,51.099998474121094,7.866234036413181,12.179978545441527,1601357644_FL,Inflow,TSS,52,1,0.8620739551363421,48.07692307692308,heavy_right_skew,BCPEo,1.0
n=25,0.9,76.31399841308594,11.035329593752042,10.736101504965928,1601357644_FL,Inflow,TSS,52,1,3.2572567887656447,48.07692307692308,heavy_right_skew,BCPEo,1.0
n=5,0.1,3.134600019454956,2.222588639231304,71.25082889020055,-1693589722_FL,Inflow,TSS,233,7,0.0,2.1459227467811157,heavy_right_skew,WEI2,1.0
n=5,0.25,4.670000076293945,2.9721045962474,50.566370321031215,-1693589722_FL,Inflow,TSS,233,7,0.0,2.1459227467811157,heavy_right_skew,WEI2,1.0
